 ,Time(s)
1,0.000
2,0.976
3,1.976
4,2.269
5,2.416
6,2.563
7,2.710
8,2.857
9,3.004
10,3.151
11,3.298
12,3.446
13,3.593
14,3.740
15,3.887
16,4.034
17,4.181
18,4.328
19,4.476
20,4.623
21,4.770
22,4.917
23,5.064
24,5.211
25,5.358
26,5.505
27,5.652
28,5.799
29,5.946
30,6.094
31,6.241
32,6.388
33,6.535
34,6.682
35,6.829
36,6.976
37,7.123
38,7.270
39,7.418
40,7.565
41,7.712
42,7.859
43,8.006
44,8.153
45,8.300
46,8.447
47,8.594
48,8.742
49,8.889
50,9.036
51,9.183
52,9.330
53,9.477
54,9.624
55,9.772
56,9.919
57,10.066
58,10.213
59,10.360
60,10.507
61,10.654
62,10.801
63,10.948
64,11.095
65,11.243
66,11.389
67,11.537
68,11.684
69,11.831
70,11.978
71,12.125
72,12.272
73,12.419
74,12.566
75,12.713
76,12.861
77,13.008
78,13.155
79,13.302
80,13.449
81,13.596
82,13.744
83,13.891
84,14.038
85,14.185
86,14.332
87,14.479
88,14.626
89,14.773
90,14.920
91,15.067
92,15.214
93,15.361
94,15.508
95,15.655
96,15.802
97,15.950
98,16.097
99,16.244
100,16.391
101,16.538
102,16.685
103,16.832
104,16.979
105,17.126
106,17.273
107,17.420
108,17.567
109,17.714
110,17.861
111,18.008
112,18.156
113,18.303
114,18.450
115,18.597
116,18.745
117,18.892
118,19.039
119,19.186
120,19.334
121,19.481
122,19.628
123,19.776
124,19.923
125,20.070
126,20.217
127,20.364
128,20.511
129,20.658
130,20.805
131,20.952
132,21.100
133,21.247
134,21.397
135,21.544
136,21.691
137,21.839
138,21.986
139,22.133
140,22.280
141,22.427
142,22.574
143,22.721
144,22.868
145,23.015
146,23.162
147,23.309
148,23.457
149,23.604
150,23.751
151,23.898
152,24.045
153,24.192
154,24.339
155,24.522
156,24.669
157,24.816
158,24.963
159,25.110
160,25.257
161,25.404
162,25.551
163,25.699
164,25.846
165,25.993
166,26.141
167,26.287
168,26.434
169,26.582
170,26.729
171,26.876
172,27.023
173,27.170
174,27.317
175,27.464
176,27.611
177,27.758
178,27.905
179,28.052
180,28.199
181,28.346
182,28.493
183,28.640
184,28.787
185,28.935
186,29.082
187,29.229
188,29.376
189,29.523
190,29.670
191,29.817
192,29.964
193,30.111
194,30.258
195,30.405
196,30.552
197,30.699
198,30.847
199,30.994
200,31.141
201,31.288
202,31.436
203,31.583
204,31.730
205,31.877
206,32.023
207,32.170
