 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,117.924,114.492,99.859,108.997
2,117.524,113.865,100.032,108.242
3,117.440,114.458,99.979,108.870
4,105.044,101.062,99.873,108.379
5,105.510,101.667,99.906,108.757
6,105.636,101.626,99.906,108.356
7,105.716,101.723,99.834,108.642
8,105.756,102.007,99.875,108.749
9,105.801,102.073,99.835,109.327
10,105.861,102.085,99.725,108.421
11,106.194,101.928,99.765,108.156
12,106.263,102.327,99.868,109.033
13,106.422,101.938,99.843,108.559
14,106.382,102.235,99.755,108.188
15,106.337,102.443,100.011,108.651
16,106.642,102.538,99.876,109.060
17,106.754,102.614,99.915,108.367
18,106.682,102.774,99.815,108.565
19,106.801,102.667,99.772,108.483
20,106.865,102.630,100.050,108.565
21,106.823,102.642,99.837,108.547
22,107.031,102.865,99.737,108.754
23,106.861,103.004,99.737,109.070
24,107.212,103.060,99.847,108.978
25,107.307,102.960,99.914,108.350
26,107.183,103.309,99.845,108.573
27,107.500,103.171,99.861,108.627
28,107.302,103.309,99.798,109.222
29,107.457,102.926,99.649,108.597
30,107.437,103.181,99.849,108.047
31,107.595,103.327,99.813,108.238
32,107.593,103.405,99.948,107.969
33,107.531,103.378,99.898,108.328
34,107.741,103.596,99.770,108.136
35,107.978,103.703,99.850,108.481
36,108.174,103.632,99.902,108.245
37,107.897,103.343,100.088,107.820
38,107.859,103.856,99.880,108.754
39,107.891,104.029,99.823,108.607
40,108.052,103.698,99.973,108.201
41,108.215,103.836,99.739,108.520
42,108.043,104.151,99.879,108.648
43,108.470,103.833,99.881,108.562
44,108.281,104.464,99.805,109.336
45,108.587,104.390,99.884,109.018
46,108.686,104.327,99.850,108.371
47,108.587,104.448,100.085,108.383
48,108.325,104.342,99.775,108.279
49,108.377,104.022,100.050,108.415
50,108.509,104.346,99.856,108.678
51,108.810,104.318,99.831,108.613
52,108.731,104.840,99.728,108.500
53,108.582,104.218,99.841,108.512
54,108.580,104.515,99.814,108.757
55,108.818,104.110,99.968,108.375
56,108.343,103.946,99.812,108.152
57,108.765,104.547,99.818,108.859
58,108.759,104.633,99.832,108.263
59,108.813,104.697,99.798,108.488
60,109.206,104.632,99.810,108.482
61,108.868,104.427,99.923,107.942
62,109.398,105.199,99.895,108.884
63,109.133,104.786,99.952,108.543
64,109.272,104.762,99.884,108.264
