"PARENT.ID","ID","LENGTH","START","END","CLASS","X.FIT..D","X..COG.","Y..COG.","FRACT..DIM.","TRAPPEDNESS","EFFICENCY","STRAIGHTNESS","SPEED","KURTOSIS","X.FIT..ALPHA","GAUSSIANITY","Asymmetry","MSDRatio","Loc..noise_sigma","Fit.Goodness","Alpha.Fit.Goodness","Confidence","COND"
446,876,15,253,267,"NORM. DIFFUSION",0.07095,0.675,1.816,1.858,-0.227,0.019,0.183,0.379,1.577,0.723,0.863,0.054,0.028,0.046,0.823,0.717,0.612,"BeforeLatB1"
447,879,25,254,278,"NORM. DIFFUSION",0.04919,4.846,7.394,1.849,0.977,0.027,0.222,0.448,1.851,0.706,0.465,0.214,0.206,0.041,0.773,0.909,0.567,"BeforeLatB1"
453,894,13,263,275,"NORM. DIFFUSION",0.0331,4.652,0.791,2.025,0.995,0.032,0.227,0.321,2.21,0.871,0.365,0.15,0.194,0.023,0.901,0.939,0.589,"BeforeLatB1"
455,896,11,259,269,"NORM. DIFFUSION",0.06451,5.091,0.313,1.499,0.982,0.022,0.225,0.43,1.616,0.759,0.691,0.468,0.407,0.063,0.333,0.599,0.526,"BeforeLatB1"
466,918,12,278,289,"NORM. DIFFUSION",0.04851,6.2,1.69,1.703,0.761,0.053,0.289,0.433,1.681,0.989,0.149,0.236,0.141,0.02,0.933,0.95,0.634,"BeforeLatB1"
478,933,15,276,290,"NORM. DIFFUSION",0.08634,7.789,2.141,2.173,0.624,0.0002442,0.019,0.049,1.615,0.757,0.316,0.128,0.075,0.072,0.919,0.891,0.613,"BeforeLatB1"
480,935,22,274,295,"NORM. DIFFUSION",0.03191,0.1,2.742,2.067,0.563,0.027,0.208,0.349,1.296,0.737,0.016,0.094,-0.012,0.021,0.388,0.669,0.622,"BeforeLatB1"
482,941,13,278,290,"NORM. DIFFUSION",0.02542,0.028,4.822,2.124,0.583,0.011,0.134,0.234,1.846,0.539,0.1,0.351,0.461,0.035,0.727,0.817,0.583,"BeforeLatB1"
486,947,12,284,295,"NORM. DIFFUSION",0.004147,3.147,3.247,1.819,-0.227,0.024,0.169,0.247,2.044,0.149,-0.308,0.331,0.648,0.041,0.326,0.087,0.549,"BeforeLatB1"
489,952,13,282,294,"NORM. DIFFUSION",0.1708,7.708,1.729,1.761,0.993,0.008,0.103,0.305,1.575,1.033,-0.339,0.215,-0.029,0.074,0.727,0.814,0.647,"BeforeLatB1"
