"Treatment","replicate","FracAboveThreeshold"
"BeforeNoco","1","9.28792569659443"
"BeforeNoco","2","12.7490039840637"
"BeforeNoco","3","10.7784431137725"
"AfterNoco","1","4.72636815920398"
"AfterNoco","2","5.97609561752988"
"AfterNoco","3","4.8"
