"CLASS","Freq","Cond"
"CONFINED",3.40557275541796,"BeforeNoco1"
"DIRECTED/ACTIVE",20.1238390092879,"BeforeNoco1"
"NORM. DIFFUSION",44.8916408668731,"BeforeNoco1"
"SUBDIFFUSION",31.578947368421,"BeforeNoco1"
"CONFINED",4.38247011952191,"BeforeNoco2"
"DIRECTED/ACTIVE",21.5139442231076,"BeforeNoco2"
"NORM. DIFFUSION",42.6294820717131,"BeforeNoco2"
"SUBDIFFUSION",31.4741035856574,"BeforeNoco2"
"CONFINED",3.59281437125748,"BeforeNoco3"
"DIRECTED/ACTIVE",22.1556886227545,"BeforeNoco3"
"NORM. DIFFUSION",44.9101796407186,"BeforeNoco3"
"SUBDIFFUSION",29.3413173652695,"BeforeNoco3"
"CONFINED",8.2089552238806,"AfterNoco1"
"DIRECTED/ACTIVE",16.4179104477612,"AfterNoco1"
"NORM. DIFFUSION",40.0497512437811,"AfterNoco1"
"SUBDIFFUSION",35.3233830845771,"AfterNoco1"
"CONFINED",8.56573705179283,"AfterNoco2"
"DIRECTED/ACTIVE",17.3306772908367,"AfterNoco2"
"NORM. DIFFUSION",39.2430278884462,"AfterNoco2"
"SUBDIFFUSION",34.8605577689243,"AfterNoco2"
"CONFINED",4,"AfterNoco3"
"DIRECTED/ACTIVE",18.4,"AfterNoco3"
"NORM. DIFFUSION",40.8,"AfterNoco3"
"SUBDIFFUSION",36.8,"AfterNoco3"
