"PARENT.ID","ID","LENGTH","START","END","CLASS","X.FIT..D","X..COG.","Y..COG.","FRACT..DIM.","TRAPPEDNESS","EFFICENCY","STRAIGHTNESS","SPEED","KURTOSIS","X.FIT..ALPHA","GAUSSIANITY","Asymmetry","MSDRatio","Loc..noise_sigma","Fit.Goodness","Alpha.Fit.Goodness","Confidence","COND"
9,15,12,14,25,"CONFINED",1.13e-10,3.18,1.697,3.363,-0.227,0,0,0,1.694,8.862e-13,-0.023,0.011,0.487,0.041,-0.267,-0.105,0.713,"BeforeNoco1"
55,90,14,16,29,"CONFINED",0.0001201,1.506,4.546,3.928,-0.227,0.003,0.066,0.052,1.385,1.029e-11,-0.23,0.021,0.39,0.028,-0.211,-0.083,0.802,"BeforeNoco1"
81,135,11,38,48,"CONFINED",0.002609,1.2,1.127,3.996,-0.227,0,0,0,2,5.467e-10,-0.389,0.009,3.2,0.036,-0.364,-0.125,0.753,"BeforeNoco1"
85,145,10,30,39,"CONFINED",3.886e-12,0.632,6.552,3.227,-0.227,0.001,0.043,0.076,1.789,2.052e-11,-0.237,0.137,0.265,0.064,-0.444,-0.143,0.713,"BeforeNoco1"
105,203,17,196,212,"CONFINED",1.64e-11,1.174,1.172,2.716,-0.227,0.001,0.042,0.06,1.958,2.795e-12,-0.01,0.313,0.405,0.043,-0.138,-0.059,0.711,"BeforeNoco1"
178,311,11,86,96,"CONFINED",0.107,1.716,7.516,3.202,0.973,0.012,0.127,0.215,1.453,0.614,-0.081,0.041,2.333,0.041,1,0.993,0.552,"BeforeNoco1"
221,384,15,108,122,"CONFINED",2.14e-11,5.056,0.384,2.804,0.95,0.008,0.099,0.248,2.162,2.106e-12,-0.106,0.25,0.366,0.074,-0.167,-0.071,0.568,"BeforeNoco1"
240,414,15,125,139,"CONFINED",0.0003036,6.056,7.44,2.739,0.857,0.022,0.167,0.137,2.804,0.055,-0.222,0.051,0.371,0.025,-0.167,-0.048,0.663,"BeforeNoco1"
255,447,14,188,201,"CONFINED",308.9,7.057,5.243,3.743,0.989,0.011,0.137,0.105,1.467,0.471,0.103,0.031,1.8,0.021,0.956,0.884,0.78,"BeforeNoco1"
388,645,14,246,259,"CONFINED",0.115,0.511,6.637,2.447,0.494,0.014,0.141,0.318,2.315,8.577e-14,-0.151,0.166,2.962,0.069,1,-0.083,0.749,"BeforeNoco1"
392,652,14,265,278,"CONFINED",3.971e-06,1.426,7.054,3.984,-0.227,0.001,0.036,0.074,1.407,0.391,-0.403,0.341,0.75,0.073,0.543,0.414,0.792,"BeforeNoco1"
8,12,10,105,114,"DIRECTED/ACTIVE",0.007616,7.156,1.776,1.278,0.372,0.167,0.555,0.338,1.578,0.767,-2.22e-16,0.5,-0.097,0.01,0.385,0.957,0.593,"BeforeNoco1"
