PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,(FIT) Velocity,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
3,7,14,132,145,DIRECTED/ACTIVE,2.422E-3,2.229E-6,7.203,0.203,1.771,0.918,0.000,0.000,0.000,4.108,0.449,0.083,0.288,1.031,0.016,-2.679,0.266,0.642
7,16,17,55,71,DIRECTED/ACTIVE,7.97E-2,0.402,2.501,0.788,1.472,0.830,0.055,0.295,0.526,1.942,1.269,0.188,0.162,-0.086,0.059,0.934,0.984,0.640
8,21,20,6,25,DIRECTED/ACTIVE,2.252E-2,1.190,3.864,1.064,1.580,0.960,0.003,0.067,0.113,2.169,1.057,0.049,0.356,-0.124,0.032,0.907,0.717,0.641
13,41,30,1,30,DIRECTED/ACTIVE,4.637E-2,0.313,0.511,1.580,1.626,0.719,0.010,0.120,0.189,1.867,0.954,0.433,0.344,0.018,0.028,0.646,0.877,0.632
14,50,11,163,173,DIRECTED/ACTIVE,5.44E-2,1.326,2.778,1.364,1.476,0.981,0.077,0.421,0.680,0.998,1.239,0.843,0.581,0.036,0.033,1.000,0.983,0.522
19,56,28,20,47,DIRECTED/ACTIVE,6.51E-2,1.002,1.063,1.991,1.498,0.809,0.047,0.281,0.571,2.896,1.221,1.355,0.149,0.005,0.040,0.936,0.978,0.582
21,59,11,1,11,DIRECTED/ACTIVE,1.428E-2,0.680,3.218,2.127,1.299,0.744,0.238,0.558,0.612,1.772,1.367,-0.285,0.418,-0.098,0.018,1.000,0.999,0.636
22,62,47,34,80,DIRECTED/ACTIVE,8.281E-2,3.105E-7,6.037,1.866,1.472,0.608,0.020,0.175,0.303,2.467,1.030,0.597,0.427,-0.054,0.026,0.522,0.804,0.650
28,80,17,0,16,DIRECTED/ACTIVE,1.104E-2,0.304,5.329,2.781,1.380,0.613,0.096,0.391,0.306,1.620,1.071,0.333,0.416,-0.006,0.014,0.991,0.992,0.562
33,88,11,5,15,DIRECTED/ACTIVE,8.636E-2,2.063,5.629,3.542,1.393,0.877,0.138,0.433,1.241,1.207,1.452,-0.236,0.348,0.010,0.060,1.000,0.999,0.550
43,118,13,0,12,DIRECTED/ACTIVE,3.819E-2,1.986,0.822,6.151,1.186,0.806,0.226,0.677,1.293,1.759,1.505,0.510,0.298,-0.122,0.073,0.999,0.980,0.607
43,120,19,26,44,DIRECTED/ACTIVE,3.97E-2,0.355,0.924,5.389,1.276,0.453,0.115,0.514,0.633,1.550,1.022,3.870,0.638,-0.016,0.026,0.967,0.971,0.589
52,136,11,6,16,DIRECTED/ACTIVE,2.04E-2,2.114E-5,1.869,2.142,1.548,0.151,0.043,0.295,0.304,1.897,0.881,1.517,0.403,0.220,0.023,-19.769,0.615,0.822
55,148,31,75,105,DIRECTED/ACTIVE,2.769E-2,0.333,6.037,4.769,1.418,-0.023,0.079,0.350,0.454,2.167,1.031,0.152,0.305,-0.036,0.021,0.867,0.895,0.582
57,153,11,0,10,DIRECTED/ACTIVE,7.48E-3,1.009,7.960,6.215,1.190,0.911,0.223,0.692,0.612,3.578,1.721,1.185,0.693,-0.119,0.027,1.000,1.000,0.591
70,189,12,12,23,DIRECTED/ACTIVE,4.171E-2,0.562,1.337,3.157,1.380,0.384,0.071,0.429,0.553,2.051,0.861,1.558,0.614,0.014,0.024,0.830,0.861,0.512
76,197,20,15,34,DIRECTED/ACTIVE,4.005E-11,1.366,6.184,1.256,1.408,0.754,0.005,0.093,0.148,1.712,1.341,0.277,0.467,-0.131,0.037,0.903,0.956,0.662
84,213,18,20,37,DIRECTED/ACTIVE,5.422E-2,1.102E-5,7.444,2.149,1.292,0.718,0.071,0.354,0.487,1.303,1.157,0.614,0.523,-0.022,0.036,0.987,0.986,0.607
