PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
2,2,23,2,24,NORM. DIFFUSION,2.072E-3,4.628,0.490,1.522,0.109,0.043,0.271,0.155,2.620,0.426,0.150,0.210,0.709,0.009,0.725,0.699,0.508
3,5,41,70,110,NORM. DIFFUSION,2.771E-13,7.205,0.200,2.435,-0.227,0.000,0.000,0.000,5.865,5.335E153,0.212,0.031,0.900,0.015,-0.016,0.000,0.579
3,8,15,146,160,NORM. DIFFUSION,2.822E-3,7.243,0.253,1.757,0.874,0.058,0.321,0.175,1.264,0.527,0.120,0.419,0.229,0.015,0.645,0.671,0.567
4,13,25,5,29,NORM. DIFFUSION,2.052E-2,0.438,0.506,1.494,0.770,0.052,0.350,0.313,8.473,0.719,2.125,0.470,1.106,0.024,0.508,0.482,0.474
5,14,11,0,10,NORM. DIFFUSION,5.444E-2,7.465,0.473,1.536,0.983,0.097,0.429,0.642,1.287,1.050,0.125,0.523,-0.032,0.050,0.692,0.851,0.510
7,15,53,2,54,NORM. DIFFUSION,2.71E-2,2.528,0.445,1.845,0.935,6.861E-4,0.031,0.052,2.605,0.648,0.428,0.386,0.017,0.035,0.523,0.677,0.588
7,17,36,72,107,NORM. DIFFUSION,2.157E-2,2.609,1.090,1.951,0.988,0.004,0.078,0.105,1.599,0.682,1.150,0.208,0.187,0.017,0.835,0.877,0.607
9,26,12,10,21,NORM. DIFFUSION,5.92E-13,5.423,0.957,2.026,-0.227,0.000,0.000,0.000,2.059,1.148E-11,0.222,0.483,0.209,0.017,-0.105,-0.105,0.550
9,29,10,72,81,NORM. DIFFUSION,1.77E-2,5.436,0.908,1.901,-0.227,0.006,0.098,0.169,1.919,0.059,0.456,0.291,9.244,0.023,0.084,-0.140,0.553
10,38,14,24,37,NORM. DIFFUSION,5.298E-2,7.643,1.063,1.907,0.999,0.001,0.042,0.052,1.827,1.342,-0.224,0.108,-0.037,0.032,0.880,0.939,0.694
12,39,11,0,10,NORM. DIFFUSION,5.245E-2,6.360,1.265,1.710,0.710,0.096,0.353,0.894,1.909,0.617,-0.315,0.285,0.019,0.049,0.924,0.970,0.492
14,45,18,13,30,NORM. DIFFUSION,3.009E-3,2.598,1.522,2.006,0.950,0.025,0.185,0.126,1.757,0.516,-0.204,0.051,0.355,0.014,0.206,0.452,0.611
14,48,29,81,109,NORM. DIFFUSION,2.892E-3,2.603,1.494,2.239,0.980,9.852E-4,0.038,0.024,1.655,0.523,0.630,0.052,0.060,0.012,0.609,0.596,0.544
18,54,18,2,19,NORM. DIFFUSION,7.02E-3,7.020,1.884,2.113,-0.227,0.001,0.045,0.040,1.545,0.570,0.274,0.259,0.162,0.022,0.826,0.512,0.583
19,55,20,0,19,NORM. DIFFUSION,7.759E-3,1.726,1.790,1.806,0.818,0.002,0.057,0.080,3.596,0.283,0.314,0.088,1.453,0.025,0.039,0.118,0.616
22,61,34,0,33,NORM. DIFFUSION,3.592E-2,6.114,2.129,1.788,0.969,0.018,0.180,0.235,2.343,0.910,0.476,0.171,0.075,0.022,0.796,0.930,0.606
26,76,11,2,12,NORM. DIFFUSION,3.87E-2,5.622,2.411,1.680,0.638,0.023,0.225,0.280,2.712,0.805,0.917,0.323,0.262,0.035,0.836,0.821,0.527
27,78,20,0,19,NORM. DIFFUSION,2.558E-3,1.128,2.610,1.872,0.999,0.009,0.140,0.179,7.539,0.032,2.532,0.059,2.800,0.025,-0.040,-0.047,0.589
30,85,57,0,56,NORM. DIFFUSION,1.776E-2,1.947,3.472,1.969,0.954,3.969E-4,0.026,0.027,1.570,0.876,0.829,0.054,-0.021,0.016,0.794,0.958,0.636
37,103,70,1,70,NORM. DIFFUSION,4.035E-3,2.200,5.420,1.855,0.033,0.001,0.046,0.042,8.192,0.383,4.295,0.085,0.482,0.025,0.334,0.601,0.603
38,105,14,0,13,NORM. DIFFUSION,1.531E-2,0.697,5.611,1.866,0.715,0.007,0.096,0.117,1.612,0.629,-0.270,0.338,0.114,0.023,0.209,0.380,0.608
42,115,12,0,11,NORM. DIFFUSION,8.046E-2,5.583,6.393,1.617,0.559,0.063,0.324,0.618,1.477,0.952,0.480,0.117,-0.026,0.017,0.879,0.891,0.601
43,119,13,13,25,NORM. DIFFUSION,3.394E-2,0.954,5.945,1.713,0.566,0.042,0.238,0.358,1.277,0.868,-0.208,0.346,0.257,0.041,0.903,0.923,0.636
44,123,31,0,30,NORM. DIFFUSION,1.33E-1,3.804,6.964,1.538,0.878,0.054,0.268,0.716,1.801,0.988,0.127,0.132,-0.029,0.066,0.824,0.930,0.622
47,131,27,9,35,NORM. DIFFUSION,3.423E-2,0.529,6.843,1.674,0.939,0.018,0.170,0.216,1.621,0.956,0.058,0.087,-0.069,0.026,0.588,0.826,0.638
55,144,34,1,34,NORM. DIFFUSION,3.252E-2,5.747,5.001,2.050,0.994,0.002,0.055,0.092,1.495,0.836,-0.034,0.089,-0.003,0.023,0.695,0.901,0.665
55,146,11,57,67,NORM. DIFFUSION,2.176E-2,5.775,4.942,2.536,0.991,0.025,0.185,0.215,2.085,0.926,-0.198,0.017,0.520,0.023,1.000,1.000,0.576
56,151,14,7,20,NORM. DIFFUSION,2.448E-2,7.780,5.669,1.830,0.578,0.047,0.295,0.422,1.896,0.581,0.838,0.286,0.191,0.021,0.941,0.920,0.566
58,155,18,6,23,NORM. DIFFUSION,7.36E-2,4.549,7.116,1.686,0.750,0.071,0.313,0.716,2.967,0.864,-0.064,0.147,-0.006,0.022,0.791,0.929,0.649
59,158,13,0,12,NORM. DIFFUSION,1.134E-1,2.742,4.329,1.791,0.908,0.015,0.156,0.401,1.223,0.838,0.515,0.194,0.061,0.050,0.928,0.958,0.653
62,168,20,14,33,NORM. DIFFUSION,1.323E-1,5.424,6.604,1.840,0.993,0.015,0.151,0.324,2.300,1.131,0.470,0.032,0.135,0.031,0.757,0.889,0.639
64,174,14,29,42,NORM. DIFFUSION,2.19E-2,7.009,0.874,1.590,0.783,0.103,0.386,0.422,2.069,0.975,0.014,0.165,0.031,0.012,0.952,0.984,0.587
72,190,18,10,27,NORM. DIFFUSION,1.129E-1,4.664,5.791,1.955,0.869,0.038,0.218,0.488,2.423,0.987,-0.262,0.024,0.023,0.045,0.656,0.807,0.644
73,194,14,30,43,NORM. DIFFUSION,2.142E-2,0.909,0.646,1.709,0.831,0.055,0.265,0.331,2.944,0.608,-0.256,0.065,0.148,0.020,0.473,0.304,0.682
74,196,11,14,24,NORM. DIFFUSION,3.338E-2,3.458,2.011,1.653,0.957,0.023,0.200,0.304,1.399,0.792,0.795,0.350,0.357,0.007,0.637,0.814,0.626
76,198,39,35,73,NORM. DIFFUSION,1.114E-2,6.492,1.274,2.323,1.000,0.002,0.052,0.101,1.963,0.454,0.159,0.315,0.108,0.031,0.096,0.412,0.624
77,200,16,17,32,NORM. DIFFUSION,1.12E-1,1.605,2.155,1.520,0.479,0.045,0.249,0.636,2.694,0.932,0.028,0.348,0.008,0.030,0.826,0.899,0.631
79,204,17,16,32,NORM. DIFFUSION,5.31E-2,5.296,3.682,1.905,0.967,0.035,0.228,0.554,1.775,0.561,-0.124,0.091,0.076,0.042,0.573,0.652,0.573
83,210,15,19,33,NORM. DIFFUSION,2.812E-2,2.528,7.904,2.056,0.985,0.009,0.121,0.146,1.795,0.945,0.387,0.030,0.066,0.018,0.940,0.984,0.595
90,224,15,36,50,NORM. DIFFUSION,3.349E-2,5.261,2.723,1.526,0.952,0.048,0.313,0.275,4.036,1.290,0.832,0.084,-0.047,0.029,0.948,0.980,0.581
91,231,12,27,38,NORM. DIFFUSION,1.1E-1,5.777,3.313,1.878,0.993,0.011,0.129,0.255,1.537,1.139,0.107,0.272,0.017,0.063,0.872,0.938,0.717
95,239,14,32,45,NORM. DIFFUSION,1.758E-2,0.077,0.237,1.692,0.598,0.038,0.242,0.282,2.103,0.739,0.223,0.228,0.102,0.027,0.618,0.806,0.719
96,243,14,41,54,NORM. DIFFUSION,3.925E-2,0.674,0.617,1.704,0.971,0.043,0.251,0.431,1.359,0.842,0.052,0.327,0.137,0.022,0.459,0.716,0.703
98,246,58,25,82,NORM. DIFFUSION,1.75E-2,4.274,1.121,1.739,0.817,0.011,0.131,0.179,2.556,0.719,0.341,0.251,0.159,0.024,0.775,0.924,0.601
99,250,15,46,60,NORM. DIFFUSION,6.777E-12,0.683,1.501,1.705,0.997,0.000,0.000,0.000,4.806,1.600E-11,-0.136,0.039,1.514,0.013,-0.071,-0.071,0.593
100,254,22,30,51,NORM. DIFFUSION,6.699E-3,7.571,1.818,1.692,0.942,0.013,0.135,0.130,1.619,0.626,-0.109,0.140,0.168,0.011,0.649,0.824,0.699
101,255,23,26,48,NORM. DIFFUSION,2.556E-2,1.850,2.155,1.974,-0.227,0.005,0.083,0.124,3.476,0.398,0.742,0.364,1.255,0.036,0.432,0.229,0.548
103,260,32,32,63,NORM. DIFFUSION,1.496E-2,1.164,3.425,1.781,0.865,0.010,0.134,0.140,2.619,0.749,0.776,0.232,0.143,0.029,0.733,0.905,0.565
106,266,12,30,41,NORM. DIFFUSION,2.836E-3,1.993,5.053,1.634,0.424,0.017,0.164,0.138,2.371,0.320,-0.003,0.240,0.305,0.017,0.646,0.816,0.577
107,271,12,27,38,NORM. DIFFUSION,2.424E-2,6.777,5.733,1.863,-0.046,0.002,0.062,0.124,1.085,0.364,0.621,0.460,0.184,0.052,0.772,0.712,0.586
108,272,65,25,89,NORM. DIFFUSION,3.355E-2,5.579,5.760,1.828,0.948,0.010,0.121,0.172,4.459,0.928,1.568,0.030,-0.034,0.012,0.921,0.973,0.608
109,281,15,27,41,NORM. DIFFUSION,2.085E-2,2.669,5.931,2.076,0.997,0.018,0.157,0.175,1.972,0.971,-0.063,0.391,0.338,0.021,0.493,0.733,0.560
