PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) CONF. RADIUS,(FIT) A [CONF. SHAPE],(FIT) B (CONF SHAPE),(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
3,4,57,13,69,CONFINED,0.454,0.994,931.183,1.002E-7,7.225,0.215,6.147,0.973,3.733E-4,0.024,0.012,1.572,5.335E153,-0.206,0.048,0.826,0.017,0.081,0.000,0.698
3,10,17,163,179,CONFINED,0.344,0.981,0.388,3.554E-3,7.292,0.292,3.417,0.915,0.002,0.063,0.042,1.669,0.147,0.041,0.091,0.738,0.026,0.827,0.511,0.723
8,22,12,26,37,CONFINED,0.039,0.009,0.006,6.457E-12,3.747,1.020,5.222,0.940,0.008,0.102,0.062,0.840,2.256E-12,-0.333,0.002,0.800,0.013,-0.267,-0.105,0.728
10,37,14,10,23,CONFINED,0.044,0.017,0.017,2.715E-11,7.763,1.117,3.470,0.986,0.005,0.081,0.052,2.410,3.261E-12,0.040,0.033,2.108,0.013,-0.211,-0.083,0.644
25,70,17,27,43,CONFINED,0.058,0.010,0.031,4.803E-11,0.584,2.419,3.190,-0.227,0.004,0.070,0.060,2.583,0.298,-0.167,0.009,0.229,0.031,-0.138,0.383,0.725
25,72,12,62,73,CONFINED,0.087,0.011,0.012,5.096E-12,0.577,2.400,1.918,-0.227,0.034,0.229,0.315,5.104,4.103E-12,0.017,0.175,1.739,0.044,-0.267,-0.105,0.853
34,90,13,20,32,CONFINED,2.245,1.000,266.184,6.388E-6,1.585,4.578,3.802,-0.227,0.015,0.160,0.080,1.195,0.079,-0.200,0.156,0.633,0.019,0.328,-0.061,0.691
45,126,21,1,21,CONFINED,0.054,0.011,0.032,3.528E-12,2.890,6.806,3.768,-0.227,0.000,0.000,0.000,2.304,5.470E-12,-0.167,0.005,0.800,0.030,-0.091,-0.042,0.736
61,165,18,42,59,CONFINED,0.061,2.593,1.603,1.494E-2,7.660,0.338,2.200,0.972,0.003,0.071,0.040,2.528,0.507,-0.333,0.048,0.300,0.009,0.474,0.536,0.627
73,193,11,19,29,CONFINED,0.049,0.017,0.016,8.794E-12,1.098,0.720,4.046,-0.227,0.005,0.079,0.068,2.106,2.240E-11,-0.331,0.003,3.200,0.026,-0.364,-0.125,0.811
83,211,14,34,47,CONFINED,0.115,0.014,0.022,2.994E-11,2.543,7.920,4.071,-0.227,0.005,0.082,0.148,1.882,6.977E-11,-0.243,0.017,2.672,0.063,-0.211,-0.083,0.705
131,313,19,61,79,CONFINED,0.041,0.012,0.015,5.749E-12,3.295,5.987,7.056,-0.227,0.003,0.059,0.038,1.791,1.557E-11,-0.429,0.018,0.967,0.026,-0.111,-0.049,0.782
133,324,15,56,70,CONFINED,0.052,0.026,0.057,1.572E-12,5.984,1.205,2.739,-0.227,0.021,0.167,0.137,1.815,2.589E-13,-0.144,0.062,1.657,0.028,-0.167,-0.071,0.704
