 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,115.922,111.218,99.903,113.855
2,115.763,110.270,99.811,113.543
3,115.753,110.624,100.099,114.129
4,101.541,101.484,99.932,114.116
5,102.546,103.036,99.906,114.253
6,103.451,103.794,99.989,114.098
7,103.733,104.716,99.999,114.909
8,103.905,105.651,100.102,114.535
9,104.376,106.489,100.074,115.026
10,104.388,106.139,99.889,115.021
11,104.689,106.611,99.892,114.789
12,105.445,107.319,99.849,114.838
13,105.433,107.216,99.904,114.712
14,106.223,107.631,100.067,114.910
15,106.059,108.127,99.835,114.672
16,106.520,108.510,99.970,114.363
17,106.564,108.438,99.821,114.341
18,107.007,108.448,100.044,114.541
19,107.048,108.263,100.078,115.290
20,107.282,108.642,99.950,114.969
21,107.830,109.599,100.030,114.788
22,108.103,109.586,99.911,114.307
23,108.109,108.613,99.865,113.998
24,108.468,108.505,99.839,114.851
25,108.281,109.216,99.977,114.707
26,108.613,109.642,99.968,114.500
27,108.759,109.598,99.924,114.889
28,108.665,109.891,100.077,114.950
29,108.534,109.906,99.908,115.029
30,108.973,109.888,99.961,114.614
31,108.993,109.803,99.952,114.684
32,109.202,110.697,100.013,114.678
33,108.899,109.845,100.008,114.756
34,109.316,110.784,99.855,114.441
35,109.528,110.473,100.003,114.086
36,109.369,110.286,99.870,113.939
37,109.665,110.643,99.877,114.566
38,109.514,110.614,100.015,114.151
39,109.123,109.880,99.862,114.623
40,109.741,110.134,99.985,114.975
41,109.829,109.573,99.929,114.221
42,110.055,110.391,99.834,114.087
43,110.062,109.305,99.926,114.361
44,110.315,109.459,99.918,114.387
45,110.757,108.758,99.926,114.709
46,110.256,109.835,99.969,114.431
47,110.549,110.008,99.884,113.996
48,110.287,109.738,99.805,114.214
49,110.307,109.787,99.896,114.085
50,110.161,109.350,99.930,114.109
51,110.459,109.902,99.835,114.158
52,110.671,110.199,99.884,114.449
53,111.002,110.130,99.910,114.160
54,110.941,110.048,99.823,113.697
55,110.696,109.852,99.980,114.081
56,111.031,110.289,99.798,113.987
57,110.976,109.998,99.892,113.610
58,110.601,110.781,99.935,113.764
59,110.652,110.741,99.855,113.677
60,110.687,110.365,99.806,113.334
61,111.261,110.855,99.824,113.144
62,111.112,110.918,99.693,113.361
63,111.021,110.769,99.850,113.185
64,111.260,110.729,99.951,113.796
