 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,111.006,114.239,99.979,110.247
2,110.219,113.892,99.865,110.129
3,110.418,113.841,100.034,109.445
4,102.547,101.688,99.892,108.623
5,103.365,103.099,99.995,109.494
6,104.057,103.291,100.012,109.755
7,104.286,103.602,100.065,108.862
8,104.601,104.389,100.078,108.738
9,105.154,105.038,100.021,109.502
10,105.042,104.995,99.925,109.079
11,105.420,105.524,100.040,109.647
12,105.494,105.559,100.009,109.457
13,105.843,106.366,99.990,108.926
14,106.488,106.304,99.965,109.485
15,106.241,106.530,99.986,109.050
16,106.761,106.888,99.944,109.180
17,106.586,106.906,100.014,109.352
18,107.118,107.381,99.881,109.541
19,107.397,107.462,99.991,109.398
20,107.362,107.918,99.854,109.775
21,107.426,107.664,99.921,108.863
22,107.841,107.920,100.009,108.661
23,107.376,108.310,100.037,109.175
24,107.576,109.025,99.998,109.185
25,108.232,108.887,99.832,109.017
26,107.698,109.207,100.041,109.645
27,108.025,109.692,99.858,109.186
28,107.441,109.276,99.885,108.559
29,107.573,109.306,99.870,109.938
30,107.370,109.592,99.965,110.001
31,107.638,109.111,99.911,109.098
32,107.954,109.349,99.972,109.573
33,107.918,109.267,99.967,109.305
34,108.440,109.615,99.938,109.933
35,107.979,109.669,99.892,109.502
36,108.361,109.308,100.062,108.598
37,108.404,109.685,99.897,108.693
38,108.800,109.651,99.799,108.597
39,108.523,109.976,99.892,109.064
40,108.854,109.716,99.942,109.222
41,109.077,109.941,99.972,109.279
42,109.396,109.566,100.058,109.085
43,108.747,109.599,99.943,109.241
44,109.050,109.272,99.739,109.461
45,108.743,109.411,99.841,108.680
46,108.774,109.871,99.881,108.788
47,108.214,110.236,99.923,108.825
48,108.180,110.503,99.972,109.092
49,108.266,110.114,99.994,108.923
50,108.084,110.221,99.943,108.868
51,108.169,109.719,99.852,109.428
52,108.027,110.530,99.950,109.253
53,108.272,110.746,100.035,109.794
54,108.438,110.655,99.993,109.506
55,108.772,110.693,99.969,109.237
56,108.464,110.771,99.922,108.779
57,108.322,110.821,99.900,109.633
58,108.529,110.542,99.981,110.065
59,108.307,110.363,99.958,108.543
60,108.228,111.017,99.905,108.564
61,108.257,110.564,99.973,108.587
62,108.337,110.550,99.952,108.881
63,108.922,110.877,99.942,109.199
64,109.081,110.943,99.855,108.451
