PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,(FIT) Velocity,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
295,649,21,190,210,DIRECTED/ACTIVE,1.835E-2,0.563,1.629,7.642,1.389,0.561,0.112,0.403,0.454,1.587,1.206,0.283,0.560,-0.045,0.033,0.962,0.965,0.644
302,665,12,177,188,DIRECTED/ACTIVE,2.787E-2,1.239,5.737,6.423,1.210,0.795,0.227,0.622,0.913,3.429,1.700,0.260,0.618,-0.142,0.040,1.000,0.992,0.645
306,672,18,171,188,DIRECTED/ACTIVE,1.261E-1,1.480,3.936,0.980,1.349,0.635,0.157,0.463,1.310,1.383,1.407,-0.073,0.529,-0.091,0.064,0.996,0.996,0.621
309,674,14,174,187,DIRECTED/ACTIVE,9.317E-2,1.979,2.463,0.789,1.201,0.694,0.303,0.643,1.748,1.293,1.669,-0.181,0.585,-0.126,0.077,0.994,0.997,0.606
312,675,11,173,183,DIRECTED/ACTIVE,4.737E-2,5.365E-6,0.702,5.524,1.367,0.124,0.113,0.385,0.723,1.193,1.025,-0.357,0.644,0.064,0.028,-2.242,0.713,0.842
317,680,15,185,199,DIRECTED/ACTIVE,3.268E-2,0.724,0.835,0.453,1.389,0.346,0.098,0.380,0.554,1.145,1.252,0.914,0.511,-0.063,0.014,0.842,0.903,0.670
321,687,11,176,186,DIRECTED/ACTIVE,8.704E-2,3.744E-5,4.844,6.658,1.739,0.840,0.066,0.336,0.693,1.627,0.601,-0.205,0.119,0.333,0.067,0.856,0.953,0.454
324,690,13,179,191,DIRECTED/ACTIVE,7.718E-2,1.702,0.431,1.058,1.053,0.473,0.528,0.883,2.068,1.403,1.623,0.393,0.652,-0.148,0.071,0.995,0.998,0.733
349,733,20,199,218,DIRECTED/ACTIVE,3.125E-2,1.026,3.290,3.540,1.585,0.827,0.044,0.264,0.467,1.259,1.089,0.144,0.518,-0.088,0.024,0.925,0.958,0.651
352,746,29,202,230,DIRECTED/ACTIVE,1.954E-1,0.818,1.897,6.313,1.640,0.905,1.844E-4,0.016,0.049,1.636,1.225,0.157,0.265,-0.070,0.053,0.973,0.984,0.640
359,752,12,200,211,DIRECTED/ACTIVE,9.468E-2,1.983,3.747,4.383,1.339,0.959,0.128,0.467,1.114,1.434,1.452,0.414,0.351,-0.042,0.058,0.981,0.938,0.677
360,757,28,206,233,DIRECTED/ACTIVE,1.195E-1,0.222,0.830,4.910,1.568,0.923,0.004,0.074,0.153,1.934,1.136,0.321,0.592,0.025,0.049,0.925,0.949,0.596
375,773,16,214,229,DIRECTED/ACTIVE,3.948E-2,1.959,2.575,4.638,1.150,0.629,0.244,0.632,1.387,1.155,1.610,0.758,0.655,-0.131,0.073,0.966,0.990,0.665
376,776,13,237,249,DIRECTED/ACTIVE,4.295E-2,1.053,3.471,0.954,1.140,0.481,0.257,0.687,1.100,1.960,1.363,0.402,0.669,-0.091,0.050,0.993,0.989,0.677
377,777,12,208,219,DIRECTED/ACTIVE,5.296E-2,2.504,1.300,0.553,1.355,0.516,0.160,0.517,1.557,1.313,1.074,0.034,0.526,-0.045,0.105,0.912,0.834,0.646
389,793,13,219,231,DIRECTED/ACTIVE,8.387E-2,9.326E-7,3.277,3.129,1.508,-0.075,0.065,0.325,0.795,1.037,0.627,0.956,0.428,-0.072,0.043,-0.265,0.721,0.635
394,795,11,220,230,DIRECTED/ACTIVE,1.231E-1,1.053,7.756,1.975,1.394,0.808,0.167,0.521,1.320,2.299,1.072,0.337,0.298,-0.063,0.078,1.000,0.994,0.547
400,808,21,229,249,DIRECTED/ACTIVE,4.638E-2,1.629E-5,2.560,2.145,1.257,0.369,0.117,0.477,0.625,1.538,0.987,1.340,0.615,0.042,0.027,0.930,0.977,0.577
403,814,11,225,235,DIRECTED/ACTIVE,1.782E-1,0.007,5.422,0.924,1.258,0.486,0.289,0.623,1.961,2.090,0.982,-0.304,0.547,-0.085,0.077,1.000,1.000,0.744
404,815,12,223,234,DIRECTED/ACTIVE,8.835E-2,0.217,3.413,1.560,1.514,0.369,0.070,0.348,0.742,1.439,0.755,0.557,0.333,0.052,0.038,0.838,0.887,0.509
409,821,12,227,238,DIRECTED/ACTIVE,1.591E-1,0.998,3.540,5.503,1.292,0.485,0.256,0.582,1.859,1.440,1.114,-0.157,0.487,-0.062,0.108,0.994,0.993,0.698
410,822,12,229,240,DIRECTED/ACTIVE,4.041E-2,1.492,5.340,3.653,1.422,0.874,0.078,0.357,0.680,1.610,1.147,0.400,0.415,-0.077,0.015,0.993,0.863,0.660
411,823,14,230,243,DIRECTED/ACTIVE,3.243E-2,0.900,5.654,1.469,1.240,0.708,0.213,0.608,0.827,1.535,1.398,0.371,0.408,-0.088,0.022,1.000,1.000,0.568
420,842,11,236,246,DIRECTED/ACTIVE,8.092E-2,0.527,5.204,4.022,1.440,0.841,0.114,0.456,0.852,1.159,1.082,0.164,0.210,-0.034,0.052,1.000,1.000,0.666
436,865,15,246,260,DIRECTED/ACTIVE,8.905E-2,2.630E-6,3.179,3.037,1.257,0.723,0.141,0.499,1.001,1.745,0.771,0.100,0.355,0.154,0.054,0.656,0.803,0.735
450,891,12,286,297,DIRECTED/ACTIVE,8.546E-3,1.677,0.687,5.880,1.282,0.406,0.150,0.453,0.900,1.110,1.340,0.016,0.641,-0.081,0.062,0.920,0.918,0.695
473,925,19,269,287,DIRECTED/ACTIVE,1.742E-11,2.094,4.587,4.977,1.061,0.378,0.454,0.826,1.553,1.767,1.865,0.384,0.683,-0.155,0.069,0.996,0.997,0.683
474,928,11,269,279,DIRECTED/ACTIVE,9.52E-2,3.811E-6,3.564,4.764,1.577,0.089,0.119,0.427,1.088,1.712,0.133,0.477,0.386,0.045,0.072,-19.769,0.834,0.494
475,929,11,274,284,DIRECTED/ACTIVE,1.446E-1,5.154E-5,4.236,5.545,1.514,0.777,0.144,0.458,1.254,1.641,1.355,0.322,0.291,-0.025,0.028,1.000,0.933,0.516
477,932,12,272,283,DIRECTED/ACTIVE,1.613E-2,1.066,7.903,0.483,1.167,0.327,0.310,0.710,0.991,1.538,1.389,0.345,0.381,-0.106,0.042,0.936,0.936,0.734
485,945,17,281,297,DIRECTED/ACTIVE,8.82E-2,0.569,2.751,5.802,1.368,0.849,0.032,0.236,0.425,1.511,1.275,0.148,0.282,-0.076,0.044,0.983,0.993,0.636
