 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,109.545,103.083,112.170
2,109.219,102.953,111.282
3,108.676,102.929,111.806
4,102.758,102.877,111.192
5,103.639,103.017,112.037
6,104.577,103.035,111.729
7,105.062,102.914,111.110
8,105.528,102.907,111.946
9,106.010,102.963,111.590
10,106.199,102.945,111.692
11,107.017,102.969,111.416
12,106.583,102.914,111.169
13,106.805,102.795,111.654
14,106.601,103.015,111.724
15,107.046,102.999,111.617
16,106.761,103.082,111.708
17,106.963,102.956,111.667
18,106.654,103.030,111.828
19,107.138,103.054,111.757
20,107.133,103.000,111.123
21,107.176,103.128,111.507
22,107.546,103.000,110.964
23,107.270,103.007,111.130
24,107.471,103.003,111.501
25,107.576,102.959,111.627
26,107.652,102.813,111.300
27,107.975,102.972,110.900
28,107.745,102.853,110.789
29,107.550,102.896,111.182
30,107.523,102.959,111.220
31,107.802,103.053,111.457
32,107.432,103.101,110.815
33,107.947,102.985,110.420
34,107.438,102.859,110.482
35,107.821,102.840,110.637
36,108.099,102.895,110.377
37,108.066,103.072,110.038
38,107.927,102.919,110.876
39,107.406,102.938,110.937
40,107.858,102.963,111.176
41,107.678,102.849,110.660
42,108.065,102.829,111.203
43,107.860,102.824,110.876
44,107.550,102.841,110.717
45,107.787,102.777,110.892
46,107.965,102.915,111.100
47,107.898,102.857,111.075
48,107.922,102.901,110.649
49,107.924,102.855,111.238
50,108.046,102.939,111.213
51,107.989,103.009,110.988
52,108.116,102.850,111.324
53,107.900,103.115,111.712
54,108.084,102.919,111.640
55,108.090,103.014,111.100
56,108.138,102.947,111.034
57,108.371,102.851,111.088
58,107.905,103.033,111.186
59,107.877,103.053,110.861
60,108.009,102.924,110.833
61,107.732,102.910,111.270
62,107.729,102.871,111.465
63,107.867,103.171,111.586
64,107.435,102.618,111.232
