 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,112.306,102.642,110.007
2,111.479,102.784,110.029
3,111.471,102.833,109.696
4,103.031,102.641,109.067
5,104.343,102.781,109.340
6,105.312,102.662,109.515
7,105.273,102.842,109.570
8,106.196,102.877,109.559
9,106.265,102.698,109.200
10,107.020,102.590,110.147
11,107.246,102.641,109.531
12,107.726,102.771,109.684
13,107.824,102.644,109.653
14,107.956,102.883,109.782
15,107.635,102.897,109.711
16,108.477,102.822,109.777
17,108.331,102.838,109.645
18,108.501,102.727,109.778
19,108.818,102.954,109.955
20,108.971,102.699,110.039
21,109.184,102.706,109.978
22,109.028,102.728,109.726
23,108.999,102.889,109.743
24,108.985,102.694,109.476
25,109.004,102.903,109.888
26,109.244,102.798,109.845
27,109.234,102.676,109.792
28,109.312,102.825,110.334
29,109.347,102.949,109.979
30,109.453,102.841,109.924
31,109.259,102.769,109.715
32,109.398,102.871,110.054
33,109.504,102.794,110.044
34,109.527,102.622,109.861
35,109.841,102.806,109.872
36,109.702,102.589,109.487
37,109.404,102.712,109.748
38,109.784,102.708,109.958
39,109.938,102.718,109.629
40,109.644,102.723,109.607
41,110.135,102.816,109.535
42,110.073,102.681,109.799
43,109.584,102.857,109.448
44,110.090,102.587,109.508
45,109.604,102.707,109.599
46,109.581,102.656,109.322
47,109.584,102.732,109.901
48,109.509,102.724,109.625
49,109.705,102.866,110.046
50,109.413,102.613,109.813
51,109.472,102.832,109.593
52,109.579,102.818,109.570
53,109.776,102.945,109.520
54,109.776,102.806,109.775
55,109.844,102.824,109.792
56,110.098,102.629,109.690
57,109.889,102.874,109.411
58,109.725,102.787,109.523
59,110.113,102.653,109.896
60,109.747,102.824,109.883
61,110.155,102.752,109.971
62,109.576,102.760,109.680
63,110.034,102.890,109.907
64,109.973,102.593,110.037
