 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,106.397,102.915,107.991
2,106.477,102.804,107.933
3,106.654,102.804,107.782
4,102.429,102.521,107.434
5,103.012,102.639,107.597
6,103.157,102.653,107.316
7,103.488,102.664,106.868
8,103.792,102.653,107.258
9,103.982,102.604,107.381
10,104.313,102.759,107.408
11,104.274,102.761,107.357
12,104.433,102.703,107.367
13,104.613,102.724,107.231
14,104.591,102.964,107.307
15,104.512,102.766,107.357
16,104.912,102.830,107.339
17,104.863,102.810,107.158
18,104.848,102.991,107.276
19,104.912,102.861,107.390
20,104.793,102.840,107.248
21,104.950,102.670,107.355
22,104.868,102.620,107.294
23,104.955,102.788,107.387
24,105.201,102.801,107.439
25,105.199,102.833,107.417
26,105.191,102.832,107.626
27,105.083,102.761,107.543
28,105.459,102.680,107.649
29,105.501,102.824,107.592
30,105.299,102.641,107.307
31,105.373,102.733,107.813
32,105.560,102.676,107.219
33,105.431,102.809,107.206
34,105.464,102.736,107.272
35,105.547,102.773,107.477
36,105.479,102.834,107.394
37,105.786,102.877,107.472
38,105.516,102.874,107.233
39,105.550,102.768,106.924
40,105.553,102.953,107.475
41,105.371,102.855,107.164
42,105.688,102.827,107.392
43,105.710,102.876,107.514
44,105.982,102.666,107.361
45,105.912,102.666,107.335
46,105.809,102.770,107.288
47,105.877,102.826,107.394
48,105.807,102.829,107.040
49,105.734,102.718,107.627
50,105.901,102.735,107.445
51,105.714,102.712,107.529
52,105.656,102.818,107.694
53,105.859,102.765,107.767
54,105.624,102.712,107.823
55,105.680,102.870,107.664
56,105.676,102.811,107.315
57,105.771,102.802,107.712
58,105.757,102.835,107.438
59,105.720,102.730,107.463
60,105.562,102.806,107.639
61,105.865,102.827,107.550
62,105.782,102.732,107.429
63,105.843,102.789,107.755
64,105.820,102.756,107.639
