 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,106.169,102.911,109.597
2,106.009,102.841,109.184
3,106.144,102.685,109.459
4,102.923,102.790,109.593
5,103.464,102.652,109.938
6,103.568,102.680,109.524
7,103.968,102.859,109.105
8,104.088,102.802,109.035
9,104.192,102.872,109.322
10,104.465,102.794,109.337
11,104.374,102.933,109.641
12,104.473,102.807,109.333
13,104.520,102.942,109.388
14,104.350,102.733,108.973
15,104.775,102.731,109.314
16,104.823,102.728,108.990
17,104.893,102.937,108.915
18,104.986,102.784,108.993
19,105.231,102.831,109.327
20,105.083,102.885,109.332
21,105.124,102.951,109.164
22,104.829,102.889,109.325
23,104.992,102.700,109.233
24,105.131,102.748,109.176
25,105.080,102.733,109.107
26,104.936,102.729,108.933
27,104.990,102.773,108.673
28,105.027,102.810,108.431
29,105.015,102.798,108.406
30,105.061,102.784,109.359
31,104.982,102.696,108.880
32,105.194,102.685,109.053
33,105.110,102.773,109.530
34,105.111,102.664,109.529
35,105.419,102.648,109.360
36,105.546,102.747,109.927
37,105.215,102.910,108.993
38,105.336,102.684,108.900
39,105.364,102.896,108.848
40,105.151,102.911,108.795
41,105.329,102.828,108.692
42,105.238,102.747,108.584
43,105.473,102.813,108.841
44,105.260,102.859,108.732
45,105.162,102.884,108.685
46,105.175,102.998,108.408
47,105.291,102.805,109.067
48,105.126,102.892,108.985
49,105.235,102.626,108.723
50,105.053,102.726,108.541
51,105.312,102.679,108.932
52,105.152,102.688,108.488
53,105.423,102.844,109.482
54,105.173,102.617,109.195
55,105.391,102.801,109.190
56,105.422,102.785,109.134
57,105.432,102.656,108.982
58,105.224,102.891,108.916
59,105.316,102.665,109.055
60,105.796,102.577,109.121
61,105.653,102.882,109.375
62,105.488,102.854,108.616
63,105.557,102.763,109.088
64,105.650,102.825,108.951
