 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,110.585,102.784,112.393
2,110.506,102.888,112.190
3,109.975,102.865,111.994
4,103.216,102.648,111.767
5,104.688,102.820,112.729
6,105.678,102.864,112.225
7,106.133,102.859,112.537
8,106.680,102.820,111.708
9,106.912,102.864,111.796
10,106.919,102.518,112.020
11,107.156,102.802,111.961
12,107.470,102.906,111.816
13,107.542,102.597,111.336
14,107.266,102.706,111.549
15,107.726,102.837,111.447
16,107.651,102.781,111.399
17,107.906,102.943,112.418
18,107.649,102.714,111.703
19,107.978,102.771,111.508
20,107.654,102.746,111.414
21,107.772,102.820,111.736
22,108.131,102.706,111.636
23,108.400,102.883,111.640
24,108.252,102.650,111.533
25,108.283,102.775,111.266
26,108.194,102.609,111.071
27,108.166,102.777,111.382
28,108.306,102.671,111.128
29,108.607,102.627,111.418
30,108.390,102.787,111.657
31,108.419,102.841,111.376
32,108.680,102.579,111.464
33,108.260,102.919,110.795
34,108.034,102.676,110.870
35,107.895,102.825,111.183
36,108.326,102.853,110.649
37,107.821,102.615,110.700
38,108.872,102.783,111.185
39,108.517,102.804,111.170
40,108.200,102.678,111.076
41,108.397,102.808,110.910
42,108.406,102.764,111.205
43,108.510,102.672,111.240
44,108.485,102.756,110.673
45,108.575,102.839,111.160
46,108.722,102.707,111.070
47,108.896,102.863,110.888
48,108.715,102.818,110.856
49,108.585,102.794,110.776
50,108.651,102.956,110.897
51,108.674,102.534,111.471
52,108.973,102.797,110.886
53,108.887,102.699,110.641
54,108.801,102.691,111.229
55,108.846,102.876,111.016
56,109.085,102.573,111.764
57,108.960,102.752,110.973
58,108.655,102.721,110.468
59,108.914,102.883,110.570
60,108.704,102.902,110.989
61,108.882,102.787,110.754
62,109.116,102.835,110.805
63,108.947,102.808,110.865
64,108.452,102.807,110.900
