 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,111.143,102.653,109.830
2,110.967,102.853,109.847
3,110.724,102.767,110.073
4,103.176,102.838,110.092
5,104.179,102.807,109.791
6,104.702,102.741,109.816
7,105.288,102.641,110.169
8,105.532,102.668,109.848
9,105.790,102.582,109.029
10,106.454,102.697,109.572
11,106.265,102.733,109.597
12,106.774,102.844,109.314
13,107.008,102.835,109.264
14,107.120,102.773,109.418
15,107.184,102.739,109.429
16,107.439,102.882,109.500
17,107.678,102.818,109.721
18,107.718,102.815,109.664
19,107.842,102.782,109.888
20,107.937,102.728,109.467
21,107.576,102.858,110.069
22,107.961,102.763,109.300
23,107.815,102.915,109.405
24,108.203,102.857,109.547
25,107.928,102.883,109.797
26,108.129,102.855,109.746
27,108.159,102.957,109.871
28,108.146,103.001,110.391
29,108.185,102.911,109.921
30,108.432,102.707,109.896
31,108.398,102.733,110.018
32,108.704,102.885,110.112
33,108.507,102.969,110.331
34,108.879,102.850,110.298
35,108.405,102.874,109.966
36,108.431,102.751,109.480
37,108.580,102.728,109.515
38,108.504,102.861,110.289
39,108.573,102.829,110.260
40,108.906,102.757,109.966
41,108.834,102.886,109.887
42,108.515,102.719,110.332
43,108.666,102.777,110.303
44,108.684,102.853,110.034
45,109.111,102.922,109.492
46,109.215,102.676,109.963
47,109.041,102.721,110.006
48,109.051,102.641,109.453
49,108.727,103.028,109.782
50,108.888,102.911,109.582
51,108.888,102.926,109.877
52,108.794,102.803,109.254
53,108.846,103.010,109.946
54,109.073,102.908,109.218
55,109.186,102.833,109.637
56,109.294,102.781,109.776
57,109.289,102.841,110.055
58,109.505,102.810,110.140
59,109.495,102.812,110.230
60,109.065,102.872,109.985
61,109.125,102.748,110.320
62,109.363,103.031,110.187
63,109.197,102.954,109.767
64,108.896,102.879,109.556
