 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,113.310,103.085,114.638
2,112.571,103.117,113.951
3,112.408,103.112,114.617
4,103.031,102.954,114.310
5,104.836,103.024,114.013
6,106.281,102.947,113.684
7,107.018,102.974,114.621
8,107.780,102.888,113.850
9,107.888,103.018,113.588
10,108.591,102.924,114.687
11,108.357,102.969,114.296
12,109.129,102.880,113.870
13,109.074,102.782,113.644
14,108.889,102.943,114.395
15,109.345,102.929,114.165
16,109.099,103.014,114.509
17,109.711,102.866,114.616
18,110.099,102.943,114.819
19,110.182,102.802,114.250
20,110.051,102.936,114.451
21,110.709,102.938,114.431
22,110.485,102.869,113.724
23,110.367,102.844,113.912
24,110.552,102.967,113.788
25,110.445,102.999,114.055
26,110.550,102.947,114.485
27,110.255,102.960,114.634
28,110.992,102.863,113.798
29,110.877,102.926,114.335
30,110.315,103.097,114.386
31,111.371,102.976,114.585
32,111.115,102.963,113.324
33,110.854,103.020,113.654
34,110.518,102.930,114.344
35,111.159,102.828,113.912
36,110.935,102.797,113.995
37,110.843,102.907,113.211
38,110.775,102.923,114.172
39,111.192,103.009,113.766
40,111.265,102.754,112.829
41,111.078,102.935,113.376
42,110.953,103.064,113.693
43,111.393,102.915,114.074
44,111.159,103.024,113.576
45,110.924,102.910,113.307
46,110.714,103.003,113.533
47,110.651,102.964,113.147
48,110.880,102.972,113.679
49,111.390,102.891,113.323
50,111.309,102.788,113.344
51,111.011,102.952,113.319
52,111.547,103.109,113.937
53,111.015,102.984,114.096
54,111.042,102.884,113.581
55,111.100,102.961,113.439
56,110.839,102.752,113.843
57,111.558,102.912,113.726
58,111.308,102.788,114.138
59,111.371,102.923,113.162
60,111.107,102.766,113.131
61,110.831,103.014,112.738
62,110.373,102.783,113.396
63,110.595,102.866,113.275
64,111.063,102.944,113.066
