 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,116.263,102.659,111.502
2,116.109,102.620,111.909
3,115.319,102.829,111.789
4,103.400,102.572,111.520
5,105.835,102.444,111.215
6,107.260,102.599,111.842
7,107.712,102.423,111.271
8,108.653,102.604,111.194
9,109.317,102.665,111.575
10,109.307,102.595,111.185
11,109.665,102.726,111.912
12,110.045,102.676,111.107
13,110.440,102.611,111.512
14,110.171,102.757,111.330
15,110.875,102.662,111.598
16,111.342,102.596,111.286
17,111.294,102.636,111.647
18,111.057,102.577,111.992
19,111.674,102.657,111.442
20,111.619,102.498,111.688
21,111.299,102.617,111.096
22,111.012,102.807,111.629
23,111.391,102.570,111.475
24,111.276,102.684,111.254
25,112.254,102.641,111.147
26,111.724,102.602,111.722
27,111.888,102.591,111.359
28,112.888,102.605,111.666
29,112.015,102.513,111.483
30,112.342,102.664,111.476
31,111.868,102.690,111.383
32,112.561,102.620,111.106
33,112.102,102.511,112.174
34,112.280,102.527,112.317
35,112.106,102.679,111.684
36,112.312,102.629,112.314
37,112.864,102.686,112.330
38,112.321,102.614,112.980
39,112.274,102.570,112.609
40,111.645,102.581,111.927
41,111.971,102.805,112.288
42,112.663,102.701,112.150
43,112.159,102.565,112.213
44,111.756,102.689,111.924
45,112.016,102.594,111.053
46,112.690,102.632,111.451
47,112.099,102.541,111.885
48,112.573,102.739,111.512
49,112.207,102.709,111.676
50,112.253,102.657,111.552
51,112.688,102.766,111.509
52,113.017,102.517,111.122
53,112.726,102.514,111.302
54,112.777,102.700,110.872
55,112.882,102.582,111.219
56,112.759,102.608,111.297
57,113.079,102.490,111.402
58,112.886,102.601,111.912
59,112.202,102.749,111.894
60,112.268,102.867,111.838
61,112.433,102.581,111.853
62,112.536,102.679,112.507
63,113.100,102.836,111.879
64,113.161,102.778,112.334
