 ,Time(s)
1,0.066
2,1.067
3,2.066
4,2.397
5,3.398
6,4.397
7,5.397
8,6.398
9,7.397
10,8.398
11,9.398
12,10.397
13,11.397
14,12.397
15,13.398
16,14.397
17,15.398
18,16.396
19,17.396
20,18.398
21,19.398
22,20.397
23,21.398
24,22.397
25,23.397
26,24.397
27,25.397
28,26.397
29,27.397
30,28.397
31,29.397
32,30.398
33,31.397
34,32.396
35,33.397
36,34.398
37,35.397
38,36.398
39,37.397
40,38.397
41,39.397
42,40.398
43,41.397
44,42.397
45,43.397
46,44.397
47,45.398
48,46.397
49,47.397
50,48.396
51,49.397
52,50.397
53,51.397
54,52.397
55,53.397
56,54.397
57,55.397
58,56.397
59,57.397
60,58.397
61,59.397
62,60.397
63,61.396
64,62.397
