 ,Time(s)
1,0.072
2,1.073
3,2.072
4,2.404
5,3.404
6,4.405
7,5.405
8,6.405
9,7.405
10,8.404
11,9.404
12,10.404
13,11.404
14,12.405
15,13.405
16,14.405
17,15.404
18,16.405
19,17.405
20,18.404
21,19.404
22,20.405
23,21.404
24,22.404
25,23.405
26,24.404
27,25.405
28,26.404
29,27.405
30,28.403
31,29.405
32,30.403
33,31.405
34,32.405
35,33.405
36,34.405
37,35.405
38,36.404
39,37.404
40,38.404
41,39.404
42,40.404
43,41.404
44,42.405
45,43.405
46,44.405
47,45.405
48,46.404
49,47.404
50,48.403
51,49.404
52,50.404
53,51.404
54,52.404
55,53.404
56,54.405
57,55.404
58,56.404
59,57.405
60,58.404
61,59.404
62,60.404
63,61.404
64,62.404
