 ,Time(s)
1,0.060
2,1.060
3,2.060
4,2.400
5,3.400
6,4.400
7,5.401
8,6.400
9,7.401
10,8.400
11,9.400
12,10.401
13,11.400
14,12.401
15,13.400
16,14.400
17,15.401
18,16.399
19,17.400
20,18.401
21,19.400
22,20.400
23,21.400
24,22.400
25,23.400
26,24.400
27,25.401
28,26.400
29,27.400
30,28.400
31,29.400
32,30.400
33,31.400
34,32.400
35,33.400
36,34.400
37,35.399
38,36.400
39,37.400
40,38.399
41,39.399
42,40.400
43,41.400
44,42.400
45,43.400
46,44.400
47,45.400
48,46.400
49,47.400
50,48.400
51,49.400
52,50.401
53,51.400
54,52.400
55,53.400
56,54.400
57,55.400
58,56.400
59,57.400
60,58.400
61,59.399
62,60.400
63,61.400
64,62.399
