 ,Time(s)
1,0.070
2,1.070
3,2.070
4,2.404
5,3.405
6,4.405
7,5.405
8,6.405
9,7.405
10,8.405
11,9.405
12,10.405
13,11.404
14,12.405
15,13.405
16,14.405
17,15.405
18,16.405
19,17.405
20,18.405
21,19.405
22,20.405
23,21.405
24,22.404
25,23.404
26,24.404
27,25.404
28,26.405
29,27.405
30,28.405
31,29.405
32,30.404
33,31.405
34,32.405
35,33.405
36,34.404
37,35.405
38,36.405
39,37.405
40,38.404
41,39.404
42,40.404
43,41.404
44,42.405
45,43.405
46,44.405
47,45.404
48,46.405
49,47.405
50,48.405
51,49.404
52,50.404
53,51.405
54,52.405
55,53.405
56,54.404
57,55.405
58,56.404
59,57.405
60,58.405
61,59.404
62,60.405
63,61.405
64,62.404
