 ,Time(s)
1,0.000
2,0.955
3,1.955
4,2.228
5,3.229
6,4.229
7,5.229
8,6.229
9,7.229
10,8.229
11,9.228
12,10.228
13,11.229
14,12.230
15,13.229
16,14.229
17,15.229
18,16.229
19,17.229
20,18.229
21,19.229
22,20.228
23,21.229
24,22.229
25,23.229
26,24.229
27,25.229
28,26.229
29,27.229
30,28.228
31,29.229
32,30.229
33,31.229
34,32.229
35,33.229
36,34.228
37,35.229
38,36.228
39,37.228
40,38.229
41,39.229
42,40.228
43,41.229
44,42.229
45,43.228
46,44.228
47,45.229
48,46.229
49,47.229
50,48.229
51,49.229
52,50.228
53,51.229
54,52.228
55,53.229
56,54.229
57,55.228
58,56.228
59,57.229
60,58.228
61,59.228
62,60.229
63,61.228
64,62.228
