 ,Time(s)
1,0.000
2,0.979
3,1.980
4,2.251
5,3.252
6,4.252
7,5.252
8,6.252
9,7.252
10,8.252
11,9.252
12,10.252
13,11.252
14,12.252
15,13.251
16,14.252
17,15.252
18,16.252
19,17.253
20,18.253
21,19.252
22,20.252
23,21.252
24,22.252
25,23.252
26,24.252
27,25.252
28,26.252
29,27.252
30,28.252
31,29.252
32,30.252
33,31.252
34,32.251
35,33.252
36,34.251
37,35.253
38,36.252
39,37.252
40,38.252
41,39.252
42,40.251
43,41.251
44,42.252
45,43.252
46,44.252
47,45.252
48,46.252
49,47.252
50,48.252
51,49.251
52,50.251
53,51.251
54,52.251
55,53.252
56,54.251
57,55.251
58,56.251
59,57.251
60,58.252
61,59.252
62,60.252
63,61.252
64,62.251
