 ,Time(s)
1,0.000
2,0.953
3,1.954
4,2.226
5,3.228
6,4.227
7,5.227
8,6.227
9,7.227
10,8.228
11,9.227
12,10.227
13,11.228
14,12.227
15,13.227
16,14.227
17,15.227
18,16.227
19,17.228
20,18.226
21,19.228
22,20.227
23,21.228
24,22.228
25,23.228
26,24.227
27,25.227
28,26.227
29,27.227
30,28.227
31,29.227
32,30.227
33,31.227
34,32.227
35,33.227
36,34.228
37,35.227
38,36.227
39,37.227
40,38.227
41,39.227
42,40.227
43,41.227
44,42.227
45,43.227
46,44.227
47,45.227
48,46.226
49,47.227
50,48.227
51,49.227
52,50.226
53,51.226
54,52.226
55,53.227
56,54.227
57,55.227
58,56.227
59,57.227
60,58.227
61,59.226
62,60.227
63,61.226
64,62.227
