 ,Time(s)
1,0.000
2,0.972
3,1.973
4,2.246
5,3.247
6,4.247
7,5.247
8,6.246
9,7.247
10,8.247
11,9.246
12,10.247
13,11.246
14,12.246
15,13.247
16,14.246
17,15.246
18,16.246
19,17.246
20,18.246
21,19.246
22,20.246
23,21.246
24,22.246
25,23.246
26,24.246
27,25.246
28,26.246
29,27.246
30,28.246
31,29.246
32,30.246
33,31.247
34,32.246
35,33.246
36,34.246
37,35.246
38,36.246
39,37.246
40,38.247
41,39.247
42,40.246
43,41.246
44,42.246
45,43.246
46,44.246
47,45.246
48,46.246
49,47.246
50,48.246
51,49.245
52,50.246
53,51.247
54,52.246
55,53.247
56,54.247
57,55.246
58,56.246
59,57.247
60,58.246
61,59.246
62,60.246
63,61.247
64,62.247
