 ,Mean(cell_0),Mean(Background),Mean(Reference),Mean(area1_cell0),Mean(area2_cell0),Mean(entire_cell0)
266,99.799,99.690,99.690,101.701,101.846,101.629
267,99.809,99.737,99.737,101.617,101.886,101.610
268,99.734,99.781,99.781,101.834,101.770,101.586
269,99.766,99.893,99.893,101.904,101.823,101.600
270,99.718,99.737,99.737,101.635,101.527,101.529
271,99.793,99.813,99.813,101.666,101.488,101.533
272,99.745,99.805,99.805,101.703,101.550,101.507
273,99.780,99.781,99.781,101.489,101.482,101.460
274,99.753,99.793,99.793,101.464,101.408,101.445
275,99.850,99.833,99.833,101.649,101.489,101.489
276,99.854,99.740,99.740,101.656,101.390,101.448
277,99.806,99.785,99.785,101.356,101.410,101.398
278,99.773,99.838,99.838,101.453,101.440,101.383
279,99.714,99.769,99.769,101.454,101.214,101.359
280,99.754,99.732,99.732,101.486,101.346,101.362
281,99.830,99.635,99.635,101.506,101.292,101.315
282,99.827,99.707,99.707,101.479,101.472,101.291
283,99.793,99.776,99.776,101.343,101.342,101.280
284,99.881,99.677,99.677,101.402,101.397,101.354
285,99.804,99.888,99.888,101.340,101.238,101.326
286,99.923,99.722,99.722,101.339,101.095,101.336
287,99.825,99.819,99.819,101.332,101.085,101.260
288,99.780,99.742,99.742,101.369,101.117,101.247
289,99.845,99.784,99.784,101.204,101.140,101.244
290,99.898,99.719,99.719,101.230,101.040,101.207
291,99.806,99.734,99.734,101.219,100.941,101.148
292,99.871,99.759,99.759,101.293,101.159,101.110
293,99.793,99.734,99.734,101.074,100.933,101.096
294,99.809,99.841,99.841,101.122,100.846,101.087
295,99.900,99.707,99.707,101.126,101.082,101.039
296,99.762,99.813,99.813,101.126,100.958,101.144
297,99.790,99.768,99.768,101.013,100.937,101.073
298,99.859,99.894,99.894,101.249,100.974,101.071
299,99.775,99.868,99.868,100.900,101.025,101.066
300,99.761,99.834,99.834,101.023,101.007,101.022
