 ,Mean(cell_0),Mean(Background),Mean(Reference),Mean(area1_cell0),Mean(area2_cell0),Mean(entire_cell0)
1,109.256,99.692,99.692,107.997,106.786,106.188
2,109.130,99.705,99.705,108.091,106.850,106.112
3,109.129,99.641,99.641,108.074,106.531,106.081
4,100.703,99.605,99.605,107.931,106.633,105.543
5,100.362,99.633,99.633,107.494,106.346,105.455
6,100.295,99.741,99.741,108.000,106.526,105.346
7,100.318,99.712,99.712,107.643,106.577,105.320
8,100.296,99.704,99.704,107.255,106.402,105.162
9,100.233,99.753,99.753,107.633,106.105,105.088
10,100.105,99.863,99.863,107.237,106.143,105.058
11,100.198,99.741,99.741,106.993,106.183,104.913
12,100.247,99.715,99.715,107.578,105.967,104.962
13,100.151,99.814,99.814,107.572,105.940,104.923
14,100.194,99.796,99.796,106.955,105.883,104.868
15,100.216,99.743,99.743,106.979,106.102,104.707
16,100.082,99.729,99.729,107.134,106.156,104.651
17,100.118,99.832,99.832,107.024,105.781,104.593
18,100.200,99.793,99.793,107.327,105.618,104.599
19,100.077,99.706,99.706,107.120,105.825,104.461
20,100.120,99.815,99.815,107.164,105.735,104.470
21,99.945,99.690,99.690,107.239,106.197,104.341
22,100.088,99.843,99.843,106.999,106.335,104.320
23,99.995,99.775,99.775,107.071,106.319,104.231
24,100.085,99.813,99.813,107.107,106.139,104.176
25,100.037,99.795,99.795,107.466,106.262,104.172
26,100.043,99.833,99.833,107.091,105.664,104.150
27,99.896,99.860,99.860,106.965,105.783,104.062
28,100.008,99.838,99.838,107.222,105.648,104.043
29,99.995,99.797,99.797,106.880,105.387,103.992
30,100.057,99.688,99.688,106.920,105.404,103.953
31,99.948,99.737,99.737,106.939,105.210,103.866
32,99.787,99.776,99.776,106.870,105.474,103.859
33,99.850,99.723,99.723,106.703,105.785,103.801
34,100.000,99.763,99.763,106.972,105.954,103.809
35,99.931,99.764,99.764,106.530,105.753,103.736
36,99.966,99.843,99.843,106.648,105.757,103.745
37,100.060,99.811,99.811,107.062,105.814,103.712
38,99.968,99.850,99.850,106.780,106.266,103.655
39,99.934,99.748,99.748,106.398,106.097,103.581
40,99.940,99.712,99.712,106.154,106.062,103.477
41,99.995,99.710,99.710,105.825,106.135,103.459
42,99.856,99.784,99.784,105.898,105.973,103.441
43,99.944,99.755,99.755,105.968,106.070,103.394
44,99.925,99.759,99.759,105.983,106.259,103.392
45,99.905,99.732,99.732,105.811,106.015,103.360
