 ,Time(s)
1,0.000
2,0.939
3,1.938
4,2.277
5,6.432
6,9.771
7,13.110
8,16.464
9,19.858
10,23.201
11,26.543
12,29.915
13,33.256
14,36.653
15,40.163
16,43.535
17,46.932
18,50.270
19,53.694
20,57.032
21,60.462
22,63.972
23,67.481
24,70.991
25,74.499
26,78.026
27,81.484
28,84.975
29,88.576
30,92.277
31,95.958
32,99.423
33,103.086
34,106.770
35,110.490
36,114.179
37,117.857
38,121.534
39,125.272
40,128.982
41,132.689
42,136.381
43,140.115
44,143.829
45,147.335
46,150.831
47,154.337
48,158.106
49,161.835
50,165.352
51,169.080
52,172.606
53,176.340
54,180.092
55,183.842
56,187.595
57,191.362
58,195.115
59,198.867
60,202.378
61,205.927
62,209.295
63,212.833
64,216.391
65,219.728
66,223.285
67,226.834
68,230.171
69,233.800
70,237.325
71,240.925
72,244.486
73,248.063
74,251.588
75,255.156
76,258.653
77,262.160
78,265.499
79,269.011
80,272.592
81,276.115
82,279.684
83,283.276
84,286.753
85,290.284
86,293.830
87,297.364
88,300.882
89,304.409
90,307.777
91,311.310
92,314.653
93,318.231
94,321.753
95,325.362
96,328.925
97,332.261
98,335.777
99,339.257
100,342.794
101,346.397
102,350.044
103,353.580
104,356.923
105,360.546
106,364.114
107,367.668
108,371.069
109,374.668
110,378.010
111,381.603
112,385.146
113,388.690
114,392.033
115,395.592
116,398.933
117,402.269
118,405.814
119,409.157
120,412.743
121,416.251
122,419.818
123,423.166
124,426.505
125,429.843
126,433.248
127,436.796
128,440.393
129,443.961
130,447.526
131,451.122
132,454.695
133,458.042
134,461.639
135,465.209
136,468.610
137,472.188
138,475.812
139,479.176
140,482.546
141,486.144
142,489.770
143,493.384
144,496.988
145,500.541
146,503.915
147,507.588
148,511.046
149,514.709
150,518.430
151,521.808
152,525.504
153,529.119
154,532.790
155,536.536
156,540.250
157,543.982
158,547.443
159,550.879
160,554.370
161,558.123
162,561.812
163,565.247
164,568.836
165,572.543
166,576.267
167,579.910
168,583.593
169,587.095
170,590.560
171,594.334
172,598.069
173,601.564
174,605.046
175,608.724
176,612.449
177,615.909
178,619.668
179,623.448
180,626.933
181,630.669
182,634.356
183,637.799
184,641.442
185,644.903
186,648.584
187,652.303
188,656.009
189,659.640
190,663.332
191,666.809
192,670.548
193,674.325
194,677.899
195,681.679
196,685.196
197,689.007
198,692.514
199,696.261
200,700.040
201,703.683
202,707.166
203,710.695
204,714.312
205,717.868
206,721.469
207,724.971
208,728.495
209,732.076
210,735.451
211,738.991
212,742.544
213,745.966
214,749.305
215,753.028
216,756.426
217,760.266
218,764.017
219,767.548
220,771.102
221,774.864
222,778.387
223,782.118
224,785.684
225,789.482
226,793.086
227,796.661
228,800.213
229,803.979
230,807.797
231,811.332
232,815.104
233,818.520
234,822.086
235,825.485
236,829.404
237,832.885
238,836.431
239,840.370
240,843.708
241,847.414
242,851.222
243,855.016
244,858.554
245,862.273
246,866.046
247,869.453
248,872.791
249,876.300
250,879.833
251,883.370
252,886.968
253,890.838
254,894.635
255,898.193
256,901.811
257,905.168
258,908.613
259,912.203
260,915.727
261,919.257
262,923.021
263,926.703
264,930.517
265,934.066
266,937.846
267,941.365
268,945.211
269,948.819
270,952.419
271,955.955
272,959.376
273,962.750
274,966.349
275,969.697
276,973.295
277,976.842
278,980.246
279,983.582
280,986.921
281,990.367
282,993.936
283,997.288
284,1000.764
285,1004.214
286,1007.801
287,1011.343
288,1014.949
289,1018.756
290,1022.349
291,1026.239
292,1030.061
293,1033.668
294,1037.195
295,1040.984
296,1044.596
297,1048.061
298,1051.698
299,1055.245
300,1058.764
