 ,Mean(cell_0),Mean(Background),Mean(Reference),Mean(area1_cell0),Mean(area2_cell0),Mean(entire_cell0)
1,107.964,99.915,99.915,108.581,107.881,106.572
2,108.126,99.964,99.964,108.030,108.105,106.465
3,108.082,99.905,99.905,107.881,108.079,106.441
4,100.514,99.957,99.957,107.662,107.512,105.899
5,100.329,100.025,100.025,107.594,107.585,105.761
6,100.262,99.907,99.907,107.540,107.421,105.588
7,100.030,99.999,99.999,107.583,107.513,105.466
8,100.088,99.938,99.938,107.141,107.647,105.389
9,100.168,100.055,100.055,107.106,107.399,105.237
10,99.972,99.898,99.898,107.517,107.283,105.118
11,100.076,99.995,99.995,106.741,107.589,105.014
12,100.059,100.020,100.020,107.481,107.618,105.017
13,99.919,99.987,99.987,107.403,107.188,104.896
14,99.879,99.976,99.976,107.362,107.219,104.774
15,99.979,100.033,100.033,106.777,107.251,104.673
16,99.857,99.919,99.919,106.899,107.508,104.670
17,99.961,100.051,100.051,106.758,107.620,104.561
18,99.949,99.852,99.852,106.281,107.238,104.460
19,99.793,100.005,100.005,106.077,107.356,104.433
20,99.849,99.981,99.981,106.315,107.051,104.325
21,99.919,99.935,99.935,105.786,107.114,104.260
22,99.993,100.002,100.002,105.771,107.183,104.208
23,99.843,100.038,100.038,105.679,107.259,104.193
24,99.870,99.992,99.992,105.469,107.419,104.076
25,99.855,100.034,100.034,105.599,107.315,104.040
26,99.805,100.067,100.067,105.289,106.894,103.931
27,99.846,99.955,99.955,104.854,106.943,103.907
28,99.809,100.075,100.075,105.038,107.699,103.870
29,99.863,100.003,100.003,105.045,107.432,103.857
30,99.792,100.025,100.025,104.847,106.992,103.775
31,99.854,99.942,99.942,104.273,107.116,103.684
32,99.780,99.933,99.933,104.773,107.446,103.610
33,99.827,100.095,100.095,104.723,107.219,103.615
34,99.835,100.003,100.003,104.035,107.125,103.514
35,99.825,99.878,99.878,104.003,106.833,103.507
36,99.726,99.910,99.910,104.089,106.281,103.417
37,99.786,99.955,99.955,103.749,106.050,103.383
38,99.748,99.937,99.937,103.933,106.269,103.305
39,99.866,100.032,100.032,103.749,105.988,103.258
40,99.868,99.960,99.960,103.528,105.763,103.282
41,99.826,100.070,100.070,103.262,106.241,103.234
42,99.835,100.017,100.017,103.553,106.169,103.223
43,99.836,99.918,99.918,103.559,105.997,103.118
44,99.798,99.911,99.911,103.273,105.909,103.089
45,99.805,99.992,99.992,103.299,105.955,103.049
