 ,Mean(cell_0),Mean(Background),Mean(Reference),Mean(area1_cell0),Mean(area2_cell0),Mean(entire_cell0)
1,107.379,99.628,99.628,106.870,106.394,106.387
2,107.247,99.571,99.571,106.811,106.577,106.169
3,107.009,99.648,99.648,107.006,106.045,106.124
4,100.712,99.656,99.656,107.040,105.788,105.648
5,100.432,99.654,99.654,106.462,106.414,105.541
6,100.369,99.731,99.731,106.753,106.461,105.470
7,100.294,99.733,99.733,106.446,106.458,105.353
8,100.217,99.734,99.734,106.442,106.183,105.229
9,100.116,99.705,99.705,106.144,106.426,105.194
10,100.041,99.742,99.742,106.394,106.549,105.146
11,100.103,99.662,99.662,106.323,106.171,104.976
12,100.050,99.693,99.693,106.104,106.070,104.907
13,100.056,99.706,99.706,106.288,106.187,104.847
14,99.971,99.650,99.650,105.751,105.832,104.722
15,99.906,99.693,99.693,106.446,105.841,104.709
16,99.999,99.679,99.679,106.314,106.442,104.679
17,99.937,99.754,99.754,106.349,106.128,104.577
18,100.024,99.666,99.666,106.687,105.815,104.546
19,100.009,99.654,99.654,107.212,105.603,104.480
20,99.984,99.683,99.683,106.986,105.820,104.480
21,100.081,99.765,99.765,106.705,105.905,104.446
22,99.972,99.722,99.722,107.002,106.507,104.428
23,99.947,99.716,99.716,107.055,106.062,104.368
24,100.028,99.678,99.678,107.050,106.089,104.311
25,99.980,99.777,99.777,107.405,105.895,104.271
26,99.846,99.791,99.791,106.931,105.880,104.193
27,99.813,99.768,99.768,107.058,106.392,104.179
28,99.901,99.744,99.744,107.014,106.408,104.218
29,99.914,99.683,99.683,106.547,106.259,104.078
30,99.759,99.768,99.768,106.731,106.205,104.085
31,99.898,99.797,99.797,107.149,106.401,104.144
32,100.002,99.812,99.812,107.434,106.470,104.062
33,99.891,99.721,99.721,106.901,106.550,104.023
34,99.842,99.816,99.816,106.734,106.736,103.995
35,99.805,99.690,99.690,107.127,106.671,103.949
36,99.892,99.818,99.818,107.091,106.980,103.953
