 ,Mean(cell_0),Mean(Background),Mean(Reference),Mean(area1_cell0),Mean(area2_cell0),Mean(entire_cell0)
1,108.778,99.582,99.582,108.393,104.311,107.033
2,108.685,99.561,99.561,108.689,104.256,106.831
3,108.464,99.648,99.648,108.257,104.478,106.842
4,100.596,99.619,99.619,107.776,104.442,106.237
5,100.318,99.583,99.583,108.229,104.555,106.070
6,100.137,99.718,99.718,108.568,104.592,105.974
7,100.068,99.545,99.545,108.284,104.726,105.837
8,100.024,99.655,99.655,108.620,104.797,105.715
9,100.055,99.665,99.665,108.317,104.802,105.617
10,100.079,99.824,99.824,108.063,104.180,105.517
11,100.031,99.623,99.623,108.435,104.387,105.423
12,99.926,99.704,99.704,108.052,104.315,105.359
13,99.964,99.687,99.687,108.187,104.250,105.258
14,99.970,99.777,99.777,107.777,103.732,105.247
15,99.859,99.691,99.691,108.197,104.192,105.203
16,99.963,99.605,99.605,107.934,104.494,105.181
17,100.036,99.726,99.726,108.080,104.404,105.042
18,99.881,99.691,99.691,107.544,104.296,104.954
19,100.014,99.687,99.687,107.775,104.074,104.986
20,99.971,99.731,99.731,107.654,103.884,104.941
21,99.880,99.863,99.863,107.530,104.077,104.886
22,99.897,99.764,99.764,107.142,104.117,104.832
23,99.958,99.685,99.685,107.142,104.309,104.829
24,99.915,99.741,99.741,107.350,104.106,104.732
25,99.934,99.802,99.802,106.786,104.287,104.597
26,99.798,99.733,99.733,106.886,104.616,104.592
27,99.772,99.696,99.696,107.040,104.678,104.562
28,99.900,99.714,99.714,106.831,104.354,104.515
29,99.798,99.659,99.659,106.761,104.483,104.455
30,99.753,99.764,99.764,107.116,104.129,104.505
31,99.849,99.695,99.695,107.109,104.255,104.372
32,99.824,99.705,99.705,107.497,103.917,104.380
33,99.794,99.666,99.666,107.845,103.925,104.374
34,99.805,99.723,99.723,107.913,103.930,104.239
35,99.949,99.629,99.629,107.725,103.830,104.264
36,99.888,99.686,99.686,107.684,103.999,104.201
37,99.798,99.712,99.712,107.869,104.089,104.149
38,99.756,99.695,99.695,107.913,103.956,104.119
39,99.800,99.707,99.707,107.637,104.272,104.077
40,99.765,99.643,99.643,107.337,104.092,104.010
41,99.769,99.620,99.620,106.713,104.186,103.942
42,99.769,99.760,99.760,106.918,104.040,103.987
43,99.775,99.716,99.716,106.638,104.200,103.887
44,99.763,99.662,99.662,106.312,104.030,103.834
45,99.820,99.818,99.818,106.085,103.742,103.826
46,99.860,99.679,99.679,106.377,104.029,103.811
47,99.767,99.584,99.584,106.419,103.905,103.734
48,99.918,99.730,99.730,106.345,104.048,103.717
49,99.810,99.746,99.746,106.334,103.944,103.703
50,99.821,99.693,99.693,106.158,103.792,103.602
51,99.842,99.771,99.771,106.346,103.540,103.536
52,99.796,99.699,99.699,106.132,103.888,103.492
53,99.784,99.756,99.756,105.812,103.637,103.482
54,99.764,99.696,99.696,105.569,103.716,103.474
55,99.809,99.621,99.621,105.728,103.382,103.409
56,99.706,99.658,99.658,105.535,103.707,103.375
57,99.659,99.580,99.580,105.167,103.628,103.265
58,99.640,99.668,99.668,105.073,103.661,103.299
59,99.805,99.773,99.773,104.958,103.331,103.299
60,99.735,99.749,99.749,104.934,103.409,103.256
61,99.793,99.600,99.600,104.784,103.323,103.213
62,99.697,99.666,99.666,104.790,103.374,103.193
63,99.741,99.688,99.688,104.671,103.769,103.158
64,99.786,99.748,99.748,104.395,103.681,103.113
65,99.683,99.700,99.700,104.511,103.386,103.129
66,99.724,99.721,99.721,104.489,102.919,103.087
67,99.772,99.657,99.657,104.479,102.818,103.031
68,99.715,99.695,99.695,104.524,103.074,103.077
69,99.828,99.681,99.681,104.756,102.853,103.019
70,99.840,99.698,99.698,104.549,102.773,102.980
71,99.781,99.602,99.602,104.344,102.747,102.957
72,99.768,99.781,99.781,104.326,102.704,102.959
73,99.695,99.591,99.591,104.415,102.474,102.843
74,99.718,99.571,99.571,104.432,102.606,102.873
75,99.780,99.744,99.744,104.319,102.449,102.841
76,99.759,99.749,99.749,104.038,102.384,102.809
77,99.898,99.724,99.724,104.185,102.859,102.843
78,99.814,99.670,99.670,104.174,102.871,102.828
79,99.766,99.707,99.707,103.983,102.557,102.726
80,99.776,99.668,99.668,103.878,102.523,102.710
81,99.905,99.723,99.723,103.995,102.720,102.771
82,99.787,99.703,99.703,104.037,102.461,102.675
83,99.841,99.782,99.782,104.004,102.573,102.669
84,99.776,99.734,99.734,104.071,102.499,102.623
85,99.699,99.759,99.759,103.650,102.286,102.597
86,99.744,99.694,99.694,103.907,102.271,102.574
