 ,Mean(cell_0),Mean(Background),Mean(Reference),Mean(area1_cell0),Mean(area2_cell0),Mean(entire_cell0)
1,111.672,100.110,100.110,110.499,104.662,107.946
2,110.706,100.014,100.014,110.036,104.736,107.577
3,110.915,100.027,100.027,109.852,104.409,107.409
4,101.274,99.975,99.975,109.588,104.309,106.733
5,101.145,99.949,99.949,109.941,104.807,106.627
6,100.781,99.994,99.994,109.254,104.655,106.366
7,100.662,100.008,100.008,109.210,104.916,106.236
8,100.671,99.831,99.831,109.262,104.212,105.980
9,100.677,99.968,99.968,109.156,104.457,105.912
10,100.719,99.954,99.954,109.475,104.362,105.785
11,100.630,100.042,100.042,108.738,103.963,105.655
12,100.524,99.928,99.928,108.858,103.979,105.560
13,100.512,99.975,99.975,108.700,104.458,105.526
14,100.444,99.933,99.933,108.378,104.030,105.400
15,100.409,99.838,99.838,107.985,104.160,105.373
16,100.369,99.841,99.841,107.791,103.757,105.257
17,100.408,99.946,99.946,107.972,103.858,105.170
18,100.444,99.938,99.938,107.853,103.744,105.155
19,100.479,99.936,99.936,107.487,103.816,105.052
20,100.360,99.899,99.899,107.843,103.921,104.970
21,100.459,99.935,99.935,107.791,103.998,104.967
22,100.401,99.842,99.842,107.244,103.831,104.847
23,100.367,99.938,99.938,107.060,103.649,104.804
24,100.278,99.848,99.848,107.111,103.437,104.751
25,100.380,99.969,99.969,107.042,103.652,104.715
26,100.319,99.852,99.852,107.023,103.570,104.617
27,100.363,99.925,99.925,106.569,103.443,104.604
28,100.406,99.927,99.927,106.788,103.342,104.522
29,100.346,99.919,99.919,106.219,103.242,104.511
30,100.322,99.870,99.870,106.705,103.426,104.510
31,100.302,99.850,99.850,105.994,103.142,104.370
32,100.298,99.954,99.954,106.122,103.205,104.380
33,100.069,99.754,99.754,106.413,102.971,104.260
34,100.297,99.950,99.950,106.291,103.078,104.289
35,100.249,99.908,99.908,106.217,102.936,104.302
36,100.251,99.866,99.866,106.082,102.721,104.263
37,100.268,99.800,99.800,105.956,102.761,104.201
38,100.268,99.870,99.870,106.326,102.917,104.177
39,100.145,99.892,99.892,106.014,102.498,104.138
40,100.200,99.947,99.947,106.162,102.648,104.169
41,100.090,99.728,99.728,105.821,102.426,104.057
42,100.327,99.822,99.822,105.985,102.652,104.052
43,100.185,99.773,99.773,105.888,102.592,104.078
44,100.273,99.869,99.869,105.945,102.756,104.006
45,100.204,99.895,99.895,105.722,102.780,103.972
46,100.202,99.747,99.747,105.818,102.909,103.952
47,100.145,99.834,99.834,105.618,102.619,103.851
48,100.195,99.932,99.932,105.959,102.593,103.856
49,100.144,99.723,99.723,105.701,102.639,103.805
50,100.275,99.955,99.955,105.625,102.725,103.772
51,100.350,99.825,99.825,105.570,102.591,103.731
52,100.215,99.794,99.794,105.495,102.874,103.743
53,100.254,99.955,99.955,105.654,102.556,103.671
54,100.105,99.862,99.862,105.674,102.638,103.627
55,100.164,99.839,99.839,105.275,102.282,103.616
56,100.023,99.735,99.735,105.237,102.096,103.566
57,100.242,99.768,99.768,105.001,102.117,103.560
58,100.152,99.753,99.753,105.461,102.377,103.577
59,100.252,99.786,99.786,105.516,102.229,103.505
60,100.227,99.896,99.896,105.289,102.484,103.516
61,100.106,99.771,99.771,105.342,102.104,103.435
62,100.012,99.969,99.969,105.419,102.159,103.418
63,100.193,99.820,99.820,105.470,102.380,103.399
64,100.100,99.769,99.769,105.399,102.212,103.393
65,100.143,99.924,99.924,105.596,102.248,103.386
66,100.185,99.929,99.929,105.625,102.166,103.343
67,100.199,99.830,99.830,105.718,102.186,103.350
68,100.227,99.744,99.744,105.467,101.941,103.206
69,100.057,99.883,99.883,105.325,101.927,103.240
70,100.079,99.787,99.787,105.325,102.229,103.239
71,100.090,99.723,99.723,105.247,101.919,103.177
72,100.102,99.806,99.806,105.343,102.006,103.213
73,100.176,99.876,99.876,105.188,101.980,103.162
74,100.075,99.827,99.827,105.416,102.149,103.111
75,100.166,99.843,99.843,105.212,102.309,103.138
76,100.318,99.882,99.882,104.921,102.271,103.188
77,100.177,99.929,99.929,104.858,102.239,103.092
78,100.077,99.873,99.873,104.909,102.159,103.072
79,100.065,99.771,99.771,104.566,102.147,103.030
80,100.076,99.781,99.781,104.334,101.916,102.960
81,100.127,99.858,99.858,104.815,102.242,102.994
82,100.066,99.701,99.701,104.559,102.023,102.947
83,100.287,99.688,99.688,104.436,101.728,102.887
84,100.242,99.878,99.878,104.408,101.646,102.946
85,100.157,99.819,99.819,104.586,101.865,102.904
86,100.094,99.748,99.748,104.776,101.705,102.845
87,100.138,99.778,99.778,104.349,102.057,102.814
88,100.191,99.839,99.839,104.557,101.634,102.769
89,100.170,99.899,99.899,104.581,101.760,102.792
90,100.140,99.778,99.778,104.419,101.685,102.746
91,100.108,99.835,99.835,104.156,101.770,102.737
92,100.102,99.797,99.797,104.297,101.756,102.756
93,100.168,99.824,99.824,104.400,101.646,102.761
94,100.099,99.775,99.775,104.307,101.853,102.723
95,100.085,99.789,99.789,104.402,101.845,102.704
96,100.046,99.823,99.823,104.126,101.836,102.650
97,100.017,99.845,99.845,104.124,101.715,102.603
98,100.170,99.802,99.802,104.056,101.870,102.633
99,100.043,99.761,99.761,103.837,101.949,102.599
100,100.042,99.732,99.732,103.838,101.953,102.556
101,100.012,99.817,99.817,103.820,101.975,102.500
102,100.206,99.803,99.803,103.915,101.966,102.554
103,100.003,99.735,99.735,103.594,101.788,102.433
104,100.026,99.723,99.723,103.669,101.950,102.487
105,100.030,99.808,99.808,103.680,101.827,102.445
106,100.081,99.826,99.826,103.803,101.652,102.406
107,100.110,99.703,99.703,103.578,101.655,102.391
108,100.070,99.830,99.830,103.744,101.768,102.382
109,100.060,99.729,99.729,103.635,101.722,102.331
110,100.000,99.747,99.747,103.573,101.732,102.280
111,100.094,99.766,99.766,103.457,101.698,102.337
112,100.001,99.748,99.748,103.621,101.755,102.272
113,100.036,99.786,99.786,103.463,101.597,102.248
114,100.040,99.779,99.779,103.444,101.566,102.234
115,100.124,99.716,99.716,103.409,101.466,102.291
116,100.155,99.722,99.722,103.661,101.415,102.252
117,100.086,99.706,99.706,103.508,101.283,102.225
118,100.107,99.757,99.757,103.448,101.596,102.234
119,100.063,99.717,99.717,103.658,101.618,102.187
120,100.073,99.795,99.795,103.582,101.617,102.208
121,100.029,99.898,99.898,103.442,101.696,102.171
122,100.065,99.898,99.898,103.635,101.721,102.174
123,100.144,99.767,99.767,103.379,101.518,102.106
124,100.056,99.698,99.698,103.451,101.420,102.121
125,100.030,99.839,99.839,103.399,101.590,102.074
126,100.119,99.774,99.774,103.511,101.673,102.086
127,100.067,99.633,99.633,103.200,101.755,102.048
128,100.077,99.776,99.776,103.737,101.696,102.077
129,100.042,99.956,99.956,103.326,101.749,102.075
130,99.990,99.800,99.800,103.280,101.830,102.017
131,100.189,99.741,99.741,103.579,101.874,102.006
132,100.065,99.781,99.781,103.296,101.892,102.005
133,99.985,99.825,99.825,103.420,101.964,102.002
134,100.026,99.820,99.820,103.361,102.047,101.953
135,99.911,99.683,99.683,103.298,101.910,101.893
136,99.955,99.714,99.714,103.350,101.834,101.931
137,99.964,99.674,99.674,103.205,101.939,101.893
138,99.855,99.781,99.781,103.075,101.730,101.872
139,99.992,99.764,99.764,103.202,101.837,101.850
140,99.940,99.799,99.799,103.409,101.767,101.869
141,99.932,99.679,99.679,103.180,101.658,101.815
142,99.860,99.718,99.718,103.233,101.799,101.771
143,99.943,99.672,99.672,103.215,101.546,101.758
144,99.851,99.654,99.654,103.105,101.706,101.749
145,99.894,99.638,99.638,102.956,101.645,101.748
146,99.949,99.763,99.763,103.000,101.575,101.720
147,100.014,99.725,99.725,103.055,101.756,101.785
148,99.933,99.804,99.804,102.886,101.451,101.657
149,99.995,99.751,99.751,102.772,101.676,101.642
150,99.960,99.754,99.754,103.141,101.462,101.671
151,100.092,99.702,99.702,102.783,101.524,101.639
152,99.882,99.629,99.629,103.000,101.587,101.590
153,99.930,99.728,99.728,102.895,101.397,101.621
154,99.981,99.654,99.654,102.985,101.371,101.571
155,99.945,99.692,99.692,102.919,101.333,101.580
156,100.020,99.688,99.688,103.064,101.394,101.564
157,100.020,99.685,99.685,102.968,101.430,101.544
158,99.946,99.663,99.663,103.104,101.232,101.553
159,99.849,99.683,99.683,102.934,101.243,101.514
160,99.918,99.696,99.696,102.915,101.388,101.466
161,99.923,99.685,99.685,102.964,101.367,101.482
162,99.933,99.712,99.712,102.849,101.334,101.463
163,99.985,99.756,99.756,102.974,101.339,101.490
164,100.015,99.744,99.744,102.961,101.389,101.489
165,100.055,99.711,99.711,103.052,101.439,101.492
166,99.898,99.658,99.658,103.022,101.330,101.496
167,99.986,99.763,99.763,102.696,101.440,101.512
168,99.997,99.798,99.798,102.754,101.367,101.451
169,99.835,99.732,99.732,102.779,101.428,101.358
170,99.864,99.721,99.721,102.742,101.402,101.398
171,99.865,99.723,99.723,102.721,101.228,101.376
172,99.862,99.696,99.696,102.696,101.240,101.350
173,99.837,99.634,99.634,102.874,101.465,101.332
174,99.868,99.674,99.674,102.507,101.255,101.292
175,99.906,99.682,99.682,102.837,101.220,101.320
176,99.811,99.688,99.688,102.902,101.264,101.301
177,100.007,99.739,99.739,102.731,101.237,101.327
178,99.985,99.782,99.782,102.599,101.415,101.361
179,99.866,99.677,99.677,102.485,101.183,101.278
180,99.742,99.713,99.713,102.797,101.364,101.288
181,99.858,99.733,99.733,102.572,101.266,101.311
182,99.946,99.803,99.803,102.580,101.266,101.313
183,99.739,99.681,99.681,102.564,101.386,101.295
184,99.873,99.650,99.650,102.364,101.272,101.257
185,99.886,99.720,99.720,102.385,101.111,101.215
186,99.833,99.679,99.679,102.317,101.105,101.221
187,99.919,99.739,99.739,102.287,101.167,101.208
188,99.830,99.716,99.716,102.192,101.024,101.180
189,99.835,99.668,99.668,102.537,101.160,101.154
190,99.761,99.608,99.608,102.359,101.180,101.122
191,99.866,99.741,99.741,102.371,101.133,101.157
192,99.873,99.719,99.719,102.237,101.158,101.116
193,99.794,99.664,99.664,102.367,101.302,101.129
194,99.832,99.620,99.620,102.070,101.125,101.063
195,99.835,99.671,99.671,102.244,101.306,101.141
196,99.857,99.812,99.812,102.288,101.176,101.108
197,99.879,99.686,99.686,102.184,101.276,101.112
