 ,Mean(cell_0),Mean(Background),Mean(Reference),Mean(area1_cell0),Mean(area2_cell0),Mean(entire_cell0)
1,108.518,99.722,99.722,111.427,105.788,108.539
2,108.426,99.835,99.835,110.863,105.673,108.337
3,107.942,99.711,99.711,111.149,106.019,108.246
4,100.854,99.781,99.781,110.534,105.677,107.651
5,100.445,99.771,99.771,110.439,105.860,107.409
6,100.344,99.796,99.796,110.945,105.820,107.301
7,100.219,99.872,99.872,110.832,105.928,107.078
8,100.101,99.722,99.722,110.757,105.749,106.955
9,100.177,99.721,99.721,111.087,105.701,106.820
10,100.009,99.820,99.820,110.803,105.324,106.634
11,99.931,99.744,99.744,110.041,105.241,106.455
12,100.021,99.707,99.707,110.137,105.618,106.393
13,99.923,99.863,99.863,110.868,105.543,106.429
14,99.850,99.784,99.784,110.868,105.570,106.353
15,99.854,99.834,99.834,110.423,105.709,106.269
16,100.007,99.864,99.864,110.854,105.541,106.219
17,99.867,99.860,99.860,110.988,106.002,106.177
18,99.949,99.794,99.794,111.008,106.143,106.112
19,99.928,99.802,99.802,110.253,105.944,105.931
20,99.835,99.785,99.785,110.729,105.996,105.941
21,99.934,99.712,99.712,110.601,105.607,105.897
22,99.888,99.813,99.813,110.430,105.828,105.845
23,99.848,99.759,99.759,110.575,106.060,105.793
24,99.789,99.794,99.794,110.476,106.105,105.708
25,99.776,99.721,99.721,110.724,105.943,105.688
26,99.813,99.799,99.799,109.914,105.987,105.652
27,99.818,99.784,99.784,110.478,105.796,105.635
28,99.900,99.758,99.758,110.022,105.491,105.555
29,99.856,99.841,99.841,109.853,105.593,105.545
30,99.774,99.799,99.799,110.160,105.434,105.494
31,99.816,99.755,99.755,109.988,105.790,105.404
32,99.700,99.652,99.652,109.915,105.350,105.345
33,99.785,99.716,99.716,110.003,105.343,105.325
34,99.867,99.745,99.745,109.685,105.534,105.279
35,99.847,99.748,99.748,109.946,105.107,105.205
36,99.798,99.713,99.713,109.776,105.601,105.150
37,99.744,99.692,99.692,109.765,105.078,105.135
38,99.836,99.772,99.772,110.093,105.480,104.999
39,99.835,99.746,99.746,110.062,105.197,104.922
40,99.725,99.781,99.781,109.884,105.020,104.892
41,99.849,99.839,99.839,109.278,105.386,104.840
42,99.815,99.777,99.777,109.247,105.453,104.841
43,99.669,99.877,99.877,109.250,105.186,104.708
44,99.676,99.716,99.716,109.279,105.034,104.629
45,99.771,99.850,99.850,109.623,105.230,104.587
46,99.733,99.768,99.768,109.221,105.323,104.539
47,99.756,99.736,99.736,109.057,105.107,104.465
48,99.758,99.800,99.800,108.767,105.137,104.460
49,99.628,99.687,99.687,109.071,104.957,104.410
50,99.825,99.781,99.781,109.255,105.284,104.461
51,99.794,99.653,99.653,109.042,105.556,104.439
52,99.815,99.813,99.813,108.829,105.638,104.353
53,99.675,99.746,99.746,108.948,105.873,104.356
54,99.687,99.621,99.621,108.729,105.328,104.257
55,99.817,99.798,99.798,108.834,106.269,104.318
56,99.747,99.745,99.745,108.687,105.835,104.218
57,99.798,99.784,99.784,108.326,105.531,104.239
58,99.763,99.703,99.703,108.427,105.294,104.223
59,99.661,99.712,99.712,108.351,105.498,104.158
60,99.820,99.671,99.671,107.934,105.455,104.143
61,99.810,99.750,99.750,108.190,105.809,104.112
62,99.744,99.674,99.674,108.277,105.504,104.056
63,99.833,99.736,99.736,107.778,105.401,104.029
64,99.838,99.604,99.604,107.511,105.567,103.973
65,99.793,99.726,99.726,107.799,105.636,103.947
66,99.754,99.799,99.799,107.388,105.337,103.933
67,99.815,99.788,99.788,107.639,105.520,103.939
68,99.833,99.801,99.801,107.321,105.744,103.913
69,99.787,99.783,99.783,107.133,105.548,103.911
70,99.808,99.868,99.868,107.503,105.198,103.945
71,99.693,99.621,99.621,107.917,105.439,103.893
