 ,Mean(cell_0),Mean(Background),Mean(Reference),Mean(area1_cell0),Mean(area2_cell0),Mean(entire_cell0)
1,110.871,99.738,99.738,110.833,107.738,108.342
2,110.457,99.732,99.732,110.143,107.663,108.076
3,110.603,99.797,99.797,110.262,107.615,108.049
4,100.741,99.647,99.647,110.081,107.422,107.287
5,100.367,99.764,99.764,109.468,107.336,107.041
6,100.324,99.807,99.807,109.643,107.206,106.904
7,100.229,99.790,99.790,109.310,107.378,106.806
8,100.351,99.772,99.772,109.664,106.981,106.660
9,100.138,99.777,99.777,109.451,107.239,106.467
10,100.169,99.706,99.706,109.196,107.648,106.368
11,100.147,99.888,99.888,109.479,107.693,106.252
12,100.103,99.804,99.804,109.899,107.454,106.210
13,100.049,99.773,99.773,109.735,106.770,106.040
14,99.999,99.800,99.800,109.580,106.813,105.954
15,100.008,99.739,99.739,109.020,106.967,105.735
16,99.923,99.811,99.811,109.588,106.921,105.719
17,99.902,99.716,99.716,109.239,107.285,105.685
18,100.025,99.722,99.722,108.920,107.290,105.682
19,99.989,99.770,99.770,109.306,107.663,105.654
20,99.974,99.879,99.879,108.864,107.799,105.569
21,99.820,99.719,99.719,109.195,106.979,105.422
22,100.037,99.749,99.749,108.449,107.625,105.364
23,99.818,99.652,99.652,108.362,108.006,105.189
24,99.885,99.793,99.793,108.667,107.791,105.122
25,99.845,99.796,99.796,108.394,107.460,105.032
26,99.898,99.711,99.711,108.086,107.966,105.048
27,99.917,99.712,99.712,107.749,107.896,104.988
28,99.875,99.750,99.750,107.757,107.848,104.884
29,99.920,99.673,99.673,107.703,108.040,104.794
30,99.849,99.737,99.737,107.688,108.251,104.711
31,99.876,99.842,99.842,107.251,107.907,104.655
32,99.892,99.815,99.815,107.000,108.228,104.569
33,99.809,99.831,99.831,106.975,108.199,104.465
34,99.793,99.743,99.743,106.769,108.441,104.454
35,99.836,99.749,99.749,106.822,107.927,104.404
36,99.762,99.734,99.734,106.521,108.474,104.359
37,99.888,99.763,99.763,106.488,108.440,104.328
38,99.847,99.695,99.695,106.250,108.177,104.267
39,99.872,99.834,99.834,106.140,108.703,104.274
40,99.820,99.793,99.793,105.920,108.815,104.194
41,99.818,99.662,99.662,106.192,108.620,104.143
42,99.798,99.764,99.764,106.127,108.278,104.060
43,99.860,99.880,99.880,106.171,108.082,104.085
44,99.867,99.710,99.710,106.416,108.206,104.076
45,99.813,99.623,99.623,106.003,108.268,103.971
46,99.801,99.813,99.813,106.359,107.950,103.949
47,99.852,99.858,99.858,106.417,107.929,103.998
48,99.759,99.728,99.728,106.488,107.995,103.912
49,99.850,99.820,99.820,106.585,107.880,103.827
50,99.923,99.875,99.875,106.287,107.315,103.854
51,99.846,99.818,99.818,106.497,107.276,103.814
52,99.802,99.852,99.852,106.320,108.207,103.797
53,99.865,99.845,99.845,105.867,107.344,103.767
54,99.796,99.782,99.782,106.125,107.387,103.768
55,99.885,99.875,99.875,106.157,107.209,103.705
56,99.731,99.862,99.862,105.775,106.923,103.630
57,99.754,99.769,99.769,105.878,107.078,103.574
58,99.893,99.812,99.812,105.853,106.677,103.536
59,99.828,99.796,99.796,106.384,107.546,103.626
60,99.838,99.766,99.766,106.175,106.969,103.535
61,99.751,99.776,99.776,106.242,106.785,103.436
62,99.788,99.716,99.716,105.932,106.605,103.356
63,99.727,99.818,99.818,106.758,106.515,103.404
64,99.827,99.752,99.752,106.023,106.222,103.332
65,99.830,99.776,99.776,105.653,106.360,103.288
66,99.814,99.704,99.704,105.683,106.127,103.275
67,99.793,99.708,99.708,105.646,106.095,103.248
68,99.917,99.777,99.777,105.824,106.174,103.295
69,99.786,99.755,99.755,105.633,105.731,103.193
70,99.863,99.829,99.829,105.827,105.899,103.128
71,99.766,99.710,99.710,105.425,105.656,103.083
72,99.793,99.802,99.802,104.730,105.338,103.032
73,99.870,99.902,99.902,105.172,105.386,103.101
74,99.745,99.706,99.706,105.284,105.056,102.970
75,99.823,99.743,99.743,105.183,104.941,102.981
76,99.804,99.747,99.747,105.238,104.813,102.964
77,99.841,99.715,99.715,105.274,104.558,102.933
78,99.825,99.836,99.836,105.047,104.506,102.927
79,99.840,99.639,99.639,105.330,104.664,102.912
80,99.810,99.717,99.717,105.156,104.795,102.892
81,99.759,99.681,99.681,104.848,104.165,102.879
82,99.713,99.627,99.627,104.721,104.218,102.841
83,99.789,99.779,99.779,104.808,104.004,102.893
84,99.824,99.704,99.704,104.937,104.022,102.843
85,99.772,99.736,99.736,104.575,103.767,102.779
86,99.793,99.795,99.795,104.505,103.470,102.747
87,99.805,99.724,99.724,104.934,103.315,102.733
88,99.765,99.765,99.765,104.901,103.536,102.787
89,99.817,99.726,99.726,104.565,103.703,102.702
90,99.792,99.778,99.778,104.455,103.771,102.698
91,99.691,99.609,99.609,104.580,103.536,102.685
92,99.869,99.849,99.849,104.698,103.451,102.771
93,99.859,99.716,99.716,104.676,103.540,102.721
94,99.843,99.730,99.730,104.607,103.507,102.619
95,99.861,99.806,99.806,104.774,103.575,102.699
96,99.905,99.768,99.768,104.474,103.766,102.654
97,99.731,99.767,99.767,104.448,103.675,102.620
98,99.777,99.756,99.756,104.557,103.771,102.566
99,99.756,99.765,99.765,104.592,103.938,102.609
100,99.805,99.797,99.797,104.162,103.766,102.559
101,99.808,99.717,99.717,104.312,103.883,102.565
102,99.873,99.761,99.761,104.207,103.723,102.570
103,99.912,99.715,99.715,104.498,103.844,102.615
104,99.962,99.852,99.852,104.345,103.860,102.647
105,99.861,99.748,99.748,104.284,104.029,102.617
106,99.801,99.672,99.672,104.256,104.209,102.617
107,99.900,99.856,99.856,104.438,103.973,102.625
108,99.888,99.703,99.703,104.326,103.980,102.612
109,99.902,99.740,99.740,104.333,104.017,102.653
110,99.867,99.679,99.679,104.032,104.072,102.599
111,99.872,99.713,99.713,104.204,104.134,102.613
112,99.966,99.816,99.816,104.209,104.248,102.650
113,99.774,99.753,99.753,104.479,104.307,102.649
114,99.783,99.781,99.781,104.332,104.330,102.631
115,99.849,99.766,99.766,104.261,104.306,102.661
116,99.836,99.758,99.758,104.130,104.330,102.638
117,99.896,99.745,99.745,104.149,104.440,102.635
118,99.794,99.758,99.758,104.193,104.455,102.627
119,99.822,99.683,99.683,104.140,104.373,102.601
120,99.821,99.730,99.730,104.201,104.271,102.625
121,99.939,99.734,99.734,103.949,104.267,102.646
122,99.806,99.741,99.741,103.678,104.140,102.559
123,99.860,99.836,99.836,103.905,104.361,102.612
124,99.698,99.707,99.707,103.914,104.571,102.581
125,99.713,99.707,99.707,104.096,104.354,102.590
126,99.911,99.812,99.812,104.155,104.598,102.580
127,99.827,99.777,99.777,104.128,104.600,102.579
128,99.820,99.781,99.781,103.919,104.287,102.604
129,99.819,99.674,99.674,103.919,104.691,102.655
130,99.772,99.763,99.763,103.914,104.633,102.595
131,99.776,99.805,99.805,103.544,104.456,102.538
132,99.857,99.731,99.731,103.907,104.367,102.538
133,99.868,99.737,99.737,103.580,104.529,102.579
134,99.825,99.741,99.741,104.007,104.609,102.575
135,99.746,99.631,99.631,103.457,104.446,102.470
136,99.794,99.762,99.762,103.572,104.495,102.486
137,99.686,99.800,99.800,103.698,104.658,102.477
138,99.775,99.860,99.860,103.702,104.277,102.507
139,99.812,99.733,99.733,103.658,104.429,102.511
140,99.749,99.789,99.789,103.572,104.380,102.477
141,99.869,99.693,99.693,103.860,104.267,102.485
142,99.930,99.824,99.824,103.617,104.454,102.471
143,99.707,99.726,99.726,103.636,104.381,102.419
144,99.733,99.699,99.699,103.613,104.269,102.386
145,99.726,99.728,99.728,103.638,104.325,102.424
146,99.727,99.688,99.688,103.372,104.063,102.327
147,99.804,99.664,99.664,103.474,104.136,102.357
148,99.763,99.613,99.613,103.641,103.986,102.348
149,99.762,99.639,99.639,103.483,104.037,102.310
150,99.802,99.628,99.628,103.372,103.912,102.301
151,99.660,99.745,99.745,103.204,103.758,102.277
152,99.869,99.741,99.741,103.340,104.066,102.332
153,99.787,99.725,99.725,103.421,103.756,102.254
154,99.790,99.750,99.750,103.649,103.800,102.248
155,99.668,99.643,99.643,103.269,103.910,102.234
156,99.825,99.783,99.783,103.553,103.928,102.299
157,99.724,99.787,99.787,103.170,103.656,102.225
158,99.677,99.622,99.622,103.256,103.781,102.267
159,99.709,99.702,99.702,103.292,103.436,102.219
160,99.658,99.722,99.722,103.289,103.659,102.216
161,99.746,99.710,99.710,103.052,103.447,102.208
162,99.591,99.668,99.668,103.135,103.218,102.118
163,99.726,99.626,99.626,103.211,103.273,102.114
164,99.648,99.747,99.747,103.140,103.254,102.154
165,99.704,99.690,99.690,102.764,103.063,102.099
166,99.681,99.717,99.717,103.101,102.912,102.102
167,99.716,99.718,99.718,102.920,103.133,102.052
168,99.761,99.631,99.631,103.083,102.811,102.084
169,99.729,99.767,99.767,102.878,102.908,102.069
170,99.740,99.683,99.683,103.057,102.928,102.051
171,99.776,99.738,99.738,103.022,102.691,102.018
172,99.701,99.545,99.545,102.812,102.898,101.989
173,99.688,99.626,99.626,102.792,102.928,101.974
174,99.734,99.776,99.776,102.945,102.802,101.976
175,99.656,99.653,99.653,102.903,102.548,101.907
176,99.708,99.663,99.663,102.678,102.585,101.931
177,99.754,99.685,99.685,102.857,102.591,101.915
178,99.669,99.675,99.675,102.830,102.476,101.932
179,99.687,99.656,99.656,102.739,102.646,101.893
180,99.758,99.721,99.721,102.796,102.572,101.896
181,99.742,99.661,99.661,102.751,102.459,101.874
182,99.685,99.741,99.741,102.564,102.547,101.888
183,99.679,99.663,99.663,102.354,102.213,101.773
184,99.555,99.692,99.692,102.834,102.324,101.785
185,99.783,99.634,99.634,102.489,102.106,101.798
186,99.632,99.668,99.668,102.559,102.391,101.791
187,99.560,99.625,99.625,102.754,102.332,101.782
188,99.730,99.663,99.663,102.701,102.370,101.813
189,99.701,99.484,99.484,102.513,102.239,101.767
190,99.686,99.782,99.782,102.528,102.264,101.778
191,99.654,99.647,99.647,102.474,102.149,101.700
192,99.743,99.715,99.715,102.610,102.247,101.762
193,99.765,99.533,99.533,102.511,102.219,101.723
194,99.727,99.698,99.698,102.359,102.142,101.731
195,99.686,99.660,99.660,102.477,102.206,101.690
196,99.676,99.611,99.611,102.386,102.196,101.653
197,99.771,99.739,99.739,102.180,102.350,101.686
198,99.653,99.662,99.662,102.449,102.008,101.619
199,99.675,99.609,99.609,102.323,101.919,101.622
200,99.734,99.625,99.625,102.275,102.237,101.629
201,99.775,99.715,99.715,102.299,102.189,101.630
202,99.707,99.682,99.682,102.180,102.341,101.589
203,99.571,99.691,99.691,102.102,102.114,101.592
204,99.603,99.620,99.620,102.259,101.974,101.531
205,99.663,99.703,99.703,102.270,102.178,101.541
206,99.715,99.735,99.735,102.315,102.007,101.570
207,99.643,99.725,99.725,102.067,102.002,101.540
208,99.655,99.688,99.688,102.106,102.102,101.483
209,99.708,99.683,99.683,102.113,102.085,101.516
210,99.723,99.779,99.779,102.406,102.132,101.612
211,99.786,99.754,99.754,102.321,102.213,101.534
212,99.546,99.723,99.723,102.137,102.087,101.467
213,99.748,99.674,99.674,102.268,101.796,101.512
214,99.704,99.761,99.761,102.110,101.906,101.494
215,99.695,99.760,99.760,102.008,102.052,101.447
216,99.659,99.626,99.626,102.028,102.114,101.398
217,99.748,99.656,99.656,101.953,101.871,101.403
218,99.724,99.595,99.595,101.974,102.048,101.400
219,99.619,99.653,99.653,102.033,102.024,101.347
220,99.670,99.637,99.637,102.040,101.892,101.337
221,99.621,99.578,99.578,101.889,101.831,101.346
222,99.588,99.779,99.779,101.891,101.929,101.319
223,99.664,99.559,99.559,101.865,101.880,101.313
224,99.673,99.653,99.653,101.923,101.815,101.329
225,99.779,99.699,99.699,101.993,101.766,101.354
226,99.692,99.617,99.617,101.950,101.706,101.287
227,99.725,99.767,99.767,102.106,101.785,101.341
228,99.765,99.714,99.714,102.014,101.794,101.326
229,99.736,99.739,99.739,101.921,101.825,101.338
230,99.686,99.736,99.736,102.047,101.686,101.338
231,99.813,99.735,99.735,101.838,101.826,101.286
232,99.697,99.677,99.677,101.978,101.699,101.255
233,99.738,99.601,99.601,102.015,101.715,101.227
234,99.712,99.646,99.646,101.616,101.667,101.172
235,99.677,99.678,99.678,101.773,101.699,101.200
236,99.690,99.631,99.631,101.893,101.452,101.208
237,99.686,99.810,99.810,101.694,101.589,101.238
238,99.752,99.575,99.575,101.741,101.530,101.138
239,99.748,99.620,99.620,101.471,101.441,101.135
240,99.788,99.613,99.613,101.721,101.429,101.111
241,99.660,99.636,99.636,101.789,101.549,101.132
242,99.641,99.579,99.579,101.631,101.493,101.083
243,99.693,99.541,99.541,101.771,101.456,101.095
244,99.709,99.659,99.659,101.787,101.545,101.113
245,99.601,99.676,99.676,101.706,101.406,101.066
246,99.779,99.648,99.648,101.667,101.229,101.064
247,99.689,99.610,99.610,101.686,101.335,101.021
248,99.804,99.766,99.766,101.612,101.293,101.039
249,99.649,99.730,99.730,101.603,101.254,101.020
250,99.646,99.779,99.779,101.559,101.214,101.000
251,99.678,99.531,99.531,101.602,101.018,100.976
252,99.641,99.589,99.589,101.621,100.997,100.933
253,99.841,99.582,99.582,101.368,101.057,100.933
254,99.703,99.489,99.489,101.510,101.013,100.912
255,99.693,99.563,99.563,101.441,100.980,100.852
256,99.706,99.724,99.724,101.514,101.017,100.892
257,99.627,99.590,99.590,101.347,100.880,100.825
258,99.653,99.663,99.663,101.359,100.800,100.857
259,99.823,99.841,99.841,101.423,100.870,100.887
260,99.783,99.650,99.650,101.286,100.790,100.826
261,99.753,99.616,99.616,101.379,100.685,100.809
262,99.817,99.603,99.603,101.517,100.882,100.834
263,99.657,99.563,99.563,101.282,100.795,100.752
264,99.669,99.737,99.737,101.222,100.817,100.760
265,99.693,99.763,99.763,101.291,100.801,100.723
266,99.619,99.640,99.640,101.136,100.727,100.722
267,99.833,99.758,99.758,101.182,100.853,100.786
268,99.721,99.709,99.709,101.204,100.557,100.707
269,99.722,99.636,99.636,101.318,100.841,100.722
270,99.608,99.660,99.660,101.090,100.553,100.627
271,99.687,99.691,99.691,101.267,100.620,100.639
272,99.771,99.646,99.646,101.229,100.755,100.686
273,99.658,99.580,99.580,101.175,100.616,100.623
274,99.823,99.651,99.651,101.159,100.789,100.667
275,99.711,99.697,99.697,101.008,100.642,100.594
276,99.603,99.599,99.599,101.027,100.588,100.548
277,99.670,99.764,99.764,101.100,100.617,100.561
278,99.748,99.645,99.645,101.109,100.615,100.592
279,99.686,99.634,99.634,101.021,100.527,100.538
280,99.802,99.748,99.748,100.997,100.633,100.594
281,99.798,99.696,99.696,100.930,100.455,100.530
282,99.711,99.661,99.661,100.868,100.624,100.473
283,99.677,99.641,99.641,100.825,100.355,100.420
284,99.730,99.613,99.613,100.852,100.422,100.479
285,99.565,99.723,99.723,100.910,100.528,100.466
286,99.666,99.528,99.528,100.658,100.497,100.414
287,99.701,99.661,99.661,100.710,100.551,100.445
288,99.696,99.710,99.710,100.794,100.385,100.404
289,99.713,99.686,99.686,100.745,100.512,100.432
290,99.664,99.575,99.575,100.747,100.289,100.381
291,99.649,99.706,99.706,100.636,100.464,100.425
292,99.686,99.706,99.706,100.786,100.541,100.445
293,99.671,99.743,99.743,100.691,100.501,100.376
294,99.723,99.627,99.627,100.640,100.387,100.338
295,99.748,99.623,99.623,100.800,100.439,100.382
296,99.713,99.600,99.600,100.718,100.478,100.385
297,99.728,99.685,99.685,100.769,100.492,100.400
298,99.566,99.653,99.653,100.683,100.309,100.322
299,99.770,99.695,99.695,100.712,100.482,100.353
300,99.666,99.569,99.569,100.633,100.460,100.285
