 ,Time(s)
1,0.016
2,1.016
3,2.016
4,2.309
5,2.456
6,2.602
7,2.749
8,2.895
9,3.042
10,3.188
11,3.334
12,3.481
13,3.628
14,3.774
15,3.920
16,4.067
17,4.213
18,4.360
19,4.506
20,4.653
21,4.799
22,4.946
23,5.093
24,5.239
25,5.386
26,5.532
27,5.679
28,5.826
29,5.972
30,6.119
31,6.266
32,6.412
33,6.559
34,6.706
35,6.852
36,6.999
37,7.145
38,7.292
39,7.438
40,7.585
41,7.731
42,7.878
43,8.024
44,8.170
45,8.317
46,8.463
47,8.610
48,8.757
49,8.903
50,9.050
51,9.198
52,9.345
53,9.491
54,9.638
55,9.785
56,9.931
57,10.078
58,10.224
59,10.371
60,10.518
61,10.664
62,10.810
63,10.957
64,11.104
65,11.250
66,11.397
67,11.543
68,11.690
69,11.836
70,11.983
71,12.129
72,12.276
73,12.422
74,12.569
75,12.715
76,12.862
77,13.008
78,13.155
79,13.302
80,13.449
81,13.595
82,13.742
83,13.889
84,14.035
85,14.182
86,14.328
87,14.475
88,14.621
89,14.768
90,14.914
91,15.061
92,15.207
93,15.354
94,15.500
95,15.647
96,15.794
97,15.940
98,16.087
99,16.233
100,16.380
101,16.527
102,16.673
103,16.820
104,16.966
105,17.113
106,17.259
107,17.405
108,17.552
109,17.699
110,17.846
111,17.992
112,18.139
113,18.285
114,18.432
115,18.579
116,18.725
117,18.871
118,19.018
119,19.165
120,19.312
121,19.459
122,19.607
123,19.753
124,19.900
125,20.046
126,20.192
127,20.339
128,20.485
129,20.632
130,20.778
131,20.924
132,21.071
133,21.218
134,21.364
135,21.511
136,21.657
137,21.804
138,21.951
139,22.097
140,22.244
141,22.391
142,22.537
143,22.685
144,22.831
145,22.978
146,23.126
147,23.272
148,23.419
149,23.565
150,23.712
151,23.858
152,24.005
153,24.151
154,24.298
155,24.481
156,24.627
157,24.773
158,24.920
159,25.067
160,25.214
161,25.360
162,25.506
163,25.653
164,25.799
165,25.945
166,26.092
167,26.239
168,26.385
169,26.532
170,26.678
171,26.825
172,26.971
173,27.118
174,27.264
175,27.411
176,27.557
177,27.705
178,27.851
179,27.998
180,28.145
181,28.291
182,28.438
183,28.585
184,28.731
185,28.878
186,29.024
187,29.170
188,29.317
189,29.463
190,29.610
191,29.757
192,29.903
193,30.050
194,30.196
195,30.343
196,30.489
197,30.636
198,30.782
199,30.928
200,31.075
201,31.221
202,31.368
203,31.514
204,31.661
205,31.807
206,31.954
207,32.100
208,32.247
