 ,Time(s)
1,0.069
2,1.069
3,2.069
4,2.399
5,2.546
6,2.693
7,2.840
8,2.987
9,3.135
10,3.283
11,3.430
12,3.580
13,3.729
14,3.876
15,4.023
16,4.170
17,4.317
18,4.464
19,4.612
20,4.759
21,4.906
22,5.052
23,5.201
24,5.348
25,5.495
26,5.642
27,5.789
28,5.937
29,6.084
30,6.232
31,6.379
32,6.526
33,6.673
34,6.820
35,6.967
36,7.114
37,7.261
38,7.409
39,7.556
40,7.703
41,7.850
42,7.998
43,8.145
44,8.292
45,8.440
46,8.587
47,8.734
48,8.881
49,9.028
50,9.176
51,9.322
52,9.469
53,9.616
54,9.764
55,9.911
56,10.058
57,10.206
58,10.353
59,10.500
60,10.647
61,10.797
62,10.944
63,11.092
64,11.239
65,11.386
66,11.533
67,11.680
68,11.827
69,11.974
70,12.123
71,12.270
72,12.417
73,12.565
74,12.712
75,12.860
76,13.007
77,13.154
78,13.301
79,13.448
80,13.599
81,13.746
82,13.893
83,14.040
84,14.189
85,14.337
86,14.484
87,14.631
88,14.778
89,14.925
90,15.074
91,15.221
92,15.369
93,15.516
94,15.663
95,15.811
96,15.958
97,16.105
98,16.252
99,16.399
100,16.548
101,16.696
102,16.843
103,16.990
104,17.138
105,17.285
106,17.432
107,17.579
108,17.727
109,17.874
110,18.022
111,18.168
112,18.316
113,18.463
114,18.610
115,18.758
116,18.905
117,19.052
118,19.200
119,19.353
120,19.501
121,19.648
122,19.795
123,19.942
124,20.090
125,20.237
126,20.385
127,20.531
128,20.680
129,20.828
130,20.975
131,21.122
132,21.269
133,21.416
134,21.564
135,21.712
136,21.859
137,22.005
138,22.155
139,22.303
140,22.450
141,22.597
142,22.744
143,22.892
144,23.039
145,23.187
146,23.334
147,23.483
148,23.630
149,23.777
150,23.924
151,24.072
152,24.219
153,24.367
154,24.514
155,24.662
156,24.809
157,24.958
158,25.105
159,25.252
160,25.399
161,25.547
162,25.694
163,25.842
164,25.991
165,26.137
166,26.284
167,26.433
168,26.582
169,26.729
170,26.877
171,27.024
172,27.172
173,27.319
174,27.466
175,27.613
176,27.760
177,27.909
178,28.056
179,28.203
180,28.350
181,28.497
182,28.645
183,28.792
184,28.939
185,29.085
186,29.232
187,29.381
188,29.529
189,29.679
190,29.826
191,29.973
192,30.120
193,30.267
194,30.414
195,30.561
196,30.708
197,30.858
198,31.005
199,31.153
200,31.300
201,31.447
202,31.594
203,31.743
204,31.890
205,32.037
206,32.184
207,32.374
