 ,Time(s)
1,0.048
2,1.049
3,2.049
4,2.344
5,2.491
6,2.637
7,2.785
8,2.932
9,3.079
10,3.226
11,3.373
12,3.520
13,3.667
14,3.814
15,3.961
16,4.108
17,4.255
18,4.402
19,4.549
20,4.696
21,4.843
22,4.990
23,5.138
24,5.284
25,5.432
26,5.578
27,5.726
28,5.873
29,6.020
30,6.167
31,6.314
32,6.461
33,6.608
34,6.755
35,6.902
36,7.049
37,7.197
38,7.344
39,7.491
40,7.638
41,7.785
42,7.931
43,8.079
44,8.226
45,8.373
46,8.520
47,8.667
48,8.814
49,8.961
50,9.108
51,9.255
52,9.402
53,9.549
54,9.696
55,9.843
56,9.990
57,10.137
58,10.284
59,10.431
60,10.578
61,10.726
62,10.873
63,11.019
64,11.167
65,11.313
66,11.461
67,11.608
68,11.754
69,11.901
70,12.048
71,12.195
72,12.343
73,12.490
74,12.637
75,12.784
76,12.931
77,13.078
78,13.225
79,13.372
80,13.519
81,13.666
82,13.813
83,13.960
84,14.107
85,14.254
86,14.401
87,14.548
88,14.695
89,14.842
90,14.989
91,15.136
92,15.283
93,15.430
94,15.577
95,15.725
96,15.872
97,16.019
98,16.166
99,16.312
100,16.460
101,16.607
102,16.754
103,16.901
104,17.048
105,17.195
106,17.342
107,17.489
108,17.636
109,17.783
110,17.930
111,18.077
112,18.224
113,18.371
114,18.519
115,18.666
116,18.813
117,18.960
118,19.108
119,19.255
120,19.402
121,19.549
122,19.696
123,19.843
124,19.990
125,20.137
126,20.284
127,20.431
128,20.578
129,20.725
130,20.872
131,21.019
132,21.166
133,21.313
134,21.460
135,21.607
136,21.754
137,21.901
138,22.048
139,22.196
140,22.342
141,22.490
142,22.637
143,22.784
144,22.931
145,23.078
146,23.225
147,23.372
148,23.519
149,23.666
150,23.813
151,23.960
152,24.107
153,24.254
154,24.401
155,24.584
156,24.731
157,24.878
158,25.025
159,25.172
160,25.319
161,25.466
162,25.613
163,25.760
164,25.907
165,26.054
166,26.201
167,26.348
168,26.498
169,26.645
170,26.792
171,26.940
172,27.087
173,27.234
174,27.381
175,27.528
176,27.675
177,27.822
178,27.969
179,28.116
180,28.263
181,28.411
182,28.557
183,28.705
184,28.852
185,28.999
186,29.146
187,29.293
188,29.440
189,29.587
190,29.734
191,29.881
192,30.028
193,30.176
194,30.323
195,30.470
196,30.617
197,30.764
198,30.911
199,31.058
200,31.205
201,31.352
202,31.500
203,31.646
204,31.793
205,31.940
206,32.088
207,32.235
