 ,Time(s)
1,0.046
2,1.046
3,2.046
4,2.339
5,2.486
6,2.633
7,2.780
8,2.927
9,3.074
10,3.221
11,3.368
12,3.515
13,3.662
14,3.809
15,3.956
16,4.103
17,4.250
18,4.397
19,4.545
20,4.692
21,4.839
22,4.986
23,5.134
24,5.281
25,5.428
26,5.575
27,5.722
28,5.869
29,6.016
30,6.163
31,6.310
32,6.457
33,6.604
34,6.751
35,6.898
36,7.045
37,7.193
38,7.340
39,7.487
40,7.634
41,7.781
42,7.928
43,8.075
44,8.222
45,8.369
46,8.516
47,8.663
48,8.810
49,8.957
50,9.104
51,9.251
52,9.398
53,9.545
54,9.692
55,9.839
56,9.986
57,10.133
58,10.280
59,10.427
60,10.574
61,10.722
62,10.869
63,11.016
64,11.163
65,11.310
66,11.457
67,11.605
68,11.752
69,11.899
70,12.046
71,12.193
72,12.341
73,12.488
74,12.635
75,12.782
76,12.929
77,13.076
78,13.224
79,13.370
80,13.518
81,13.665
82,13.812
83,13.959
84,14.106
85,14.253
86,14.400
87,14.547
88,14.694
89,14.841
90,14.988
91,15.136
92,15.283
93,15.430
94,15.577
95,15.724
96,15.871
97,16.018
98,16.165
99,16.312
100,16.460
101,16.607
102,16.754
103,16.901
104,17.049
105,17.195
106,17.343
107,17.490
108,17.637
109,17.784
110,17.931
111,18.078
112,18.226
113,18.373
114,18.520
115,18.666
116,18.814
117,18.961
118,19.108
119,19.255
120,19.402
121,19.549
122,19.696
123,19.843
124,19.990
125,20.137
126,20.284
127,20.431
128,20.578
129,20.726
130,20.873
131,21.020
132,21.167
133,21.314
134,21.461
135,21.608
136,21.755
137,21.903
138,22.049
139,22.197
140,22.344
141,22.491
142,22.638
143,22.785
144,22.932
145,23.079
146,23.226
147,23.373
148,23.520
149,23.667
150,23.814
151,23.962
152,24.109
153,24.256
154,24.402
155,24.586
156,24.733
157,24.880
158,25.027
159,25.174
160,25.321
161,25.468
162,25.615
163,25.762
164,25.909
165,26.056
166,26.204
167,26.351
168,26.498
169,26.645
170,26.792
171,26.939
172,27.086
173,27.233
174,27.380
175,27.527
176,27.674
177,27.821
178,27.969
179,28.116
180,28.263
181,28.410
182,28.557
183,28.704
184,28.851
185,28.998
186,29.146
187,29.292
188,29.440
189,29.587
190,29.734
191,29.882
192,30.029
193,30.176
194,30.323
195,30.470
196,30.617
197,30.764
198,30.911
199,31.058
200,31.205
201,31.353
202,31.500
203,31.647
204,31.794
205,31.941
206,32.088
207,32.235
