 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,263.053,1053.204,112.305,1084.887
2,260.462,1045.100,111.977,1063.568
3,260.531,1036.915,112.333,1060.332
4,153.523,524.971,111.570,1018.663
5,173.219,640.016,111.452,1028.712
6,185.014,709.454,111.933,1034.990
7,192.240,751.967,111.862,1030.803
8,197.770,787.271,111.527,1034.591
9,200.028,811.642,111.699,1036.759
10,203.400,827.078,111.290,1039.685
11,205.504,842.638,111.524,1033.211
12,207.624,856.748,111.750,1033.527
13,208.947,862.782,111.489,1031.981
14,209.485,867.144,111.219,1028.368
15,211.143,874.149,111.675,1029.120
16,213.368,883.287,111.510,1032.616
17,212.935,884.905,111.256,1028.550
18,214.128,891.700,111.537,1031.405
19,215.135,893.105,111.455,1029.764
20,216.788,893.985,111.563,1030.707
21,217.360,899.834,111.247,1031.361
22,218.290,904.434,111.358,1032.030
23,218.980,905.331,111.708,1036.442
24,220.428,907.770,111.533,1033.489
25,219.978,908.630,111.512,1030.863
26,221.772,911.206,111.440,1036.271
27,221.254,913.747,111.626,1034.445
28,222.005,915.521,111.417,1035.289
29,222.169,915.754,111.247,1038.348
30,221.931,914.817,111.521,1037.901
31,222.654,915.192,111.246,1039.288
32,222.855,917.839,111.562,1039.328
33,224.000,923.590,111.174,1038.751
34,223.367,923.914,111.306,1040.018
35,224.043,928.241,111.583,1036.755
36,224.412,925.412,111.411,1034.794
37,225.176,924.523,111.136,1032.619
38,225.365,924.643,111.289,1034.406
39,224.716,920.126,111.324,1034.884
40,224.399,925.370,111.576,1028.878
41,226.534,922.430,111.208,1029.635
42,225.555,922.905,111.550,1027.818
43,225.515,926.131,111.399,1027.795
44,225.954,929.823,111.311,1028.171
45,225.577,929.910,111.236,1028.641
46,225.939,925.421,111.535,1026.460
47,227.879,926.185,111.536,1031.938
48,228.100,928.246,111.258,1029.313
49,227.676,925.840,111.006,1026.348
50,228.590,927.093,111.227,1028.692
51,227.978,929.640,111.303,1031.241
52,227.811,930.940,111.254,1028.792
53,229.157,932.004,111.295,1031.748
54,228.947,931.831,111.453,1031.865
55,229.616,933.035,111.299,1032.641
56,229.323,935.877,110.883,1034.673
57,228.058,933.353,111.002,1033.102
58,229.535,934.109,111.105,1030.970
59,229.734,932.837,110.852,1029.922
60,230.216,933.770,110.925,1025.812
61,230.262,933.523,111.102,1029.397
62,229.574,933.765,110.879,1026.162
63,230.257,930.257,110.973,1028.432
64,230.434,931.445,111.218,1029.924
65,230.564,931.593,111.196,1028.300
66,231.123,932.288,110.996,1029.715
67,231.005,929.857,110.918,1029.250
68,230.651,928.843,110.564,1029.318
69,232.275,931.409,111.162,1026.313
70,233.038,937.312,110.608,1027.651
71,232.285,937.403,111.195,1026.121
72,233.172,936.898,110.904,1023.913
73,232.546,933.896,110.804,1024.187
74,231.619,936.029,110.830,1023.860
75,233.320,939.464,111.094,1028.632
76,232.476,940.232,110.996,1024.571
77,232.157,939.733,111.205,1022.887
78,232.802,942.235,110.913,1024.430
79,234.086,945.253,111.084,1025.574
80,232.665,948.074,111.129,1021.492
81,234.369,952.627,111.336,1024.935
82,233.818,953.463,111.100,1022.752
83,233.683,950.251,111.011,1020.932
84,234.174,950.632,111.142,1022.763
85,233.935,951.648,111.058,1019.786
86,234.229,952.100,111.268,1025.920
87,232.843,955.606,110.994,1027.100
88,234.669,953.159,111.160,1026.744
89,234.584,952.066,111.251,1028.189
90,234.880,949.068,111.065,1026.398
91,234.826,951.468,111.215,1026.650
92,234.197,951.242,110.896,1028.658
93,235.134,949.318,111.048,1023.589
94,234.280,951.652,111.043,1027.155
95,234.311,946.911,111.221,1026.396
96,234.516,946.362,110.737,1024.581
97,235.152,949.978,110.913,1028.380
98,236.201,951.065,111.480,1031.675
99,235.684,951.155,111.097,1031.171
100,236.158,950.587,111.215,1029.377
101,236.425,951.854,111.140,1026.956
102,236.277,951.586,111.150,1026.653
103,236.480,951.847,111.295,1024.335
104,236.497,952.679,111.284,1025.070
