 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,206.479,218.456,100.054,128.039
2,202.979,216.867,100.047,128.144
3,203.374,217.452,100.066,128.181
4,142.435,138.085,100.146,127.689
5,155.116,153.564,100.035,127.728
6,163.413,165.208,100.084,126.940
7,168.843,172.522,100.083,127.080
8,172.418,177.792,99.841,127.318
9,175.590,181.798,100.169,127.075
10,178.284,183.735,100.221,126.876
11,179.808,186.229,99.992,126.493
12,181.848,188.694,99.930,126.562
13,182.505,190.394,100.072,126.210
14,184.198,192.191,99.830,126.868
15,185.432,194.013,100.087,126.753
16,185.560,194.726,99.941,126.897
17,186.504,196.225,100.010,126.410
18,186.690,195.601,100.103,125.710
19,187.197,197.407,100.023,126.005
20,188.225,196.264,99.968,126.076
21,188.696,198.227,100.108,125.830
22,188.694,198.305,100.112,125.964
23,188.380,198.644,100.009,126.220
24,189.317,198.654,100.029,126.253
25,189.492,199.777,100.165,126.298
26,189.582,198.930,100.172,125.756
27,190.006,201.181,100.017,126.436
28,191.724,200.766,100.046,126.569
29,191.728,201.287,100.116,126.676
30,191.190,202.278,100.206,126.423
31,191.994,202.147,99.989,126.756
32,192.085,202.401,99.987,126.512
33,192.440,202.198,100.041,126.492
34,192.460,202.332,99.998,126.724
35,192.362,202.523,99.985,126.389
36,192.719,203.248,100.058,126.699
37,192.738,202.913,100.037,126.349
38,192.299,203.314,99.994,126.230
39,192.981,202.774,100.019,126.350
40,193.954,202.549,100.171,126.456
41,192.147,202.431,100.058,126.571
42,192.586,203.557,99.970,126.661
43,193.803,203.688,100.199,126.550
44,193.099,203.686,99.994,126.531
45,194.194,203.849,99.868,126.523
46,194.148,204.136,100.095,126.437
47,192.524,204.747,100.171,126.288
48,192.460,204.018,99.779,125.995
49,193.585,205.231,100.115,125.815
50,192.845,204.683,100.052,126.314
51,193.243,205.398,100.026,126.048
52,193.555,205.248,100.024,126.089
53,193.359,205.129,100.046,126.165
54,193.280,204.575,100.110,126.400
55,193.376,204.319,99.972,126.222
56,192.896,204.672,100.023,125.508
57,192.166,204.205,100.007,125.943
58,192.045,204.394,99.974,125.994
59,193.678,204.870,100.088,125.871
60,193.403,204.665,100.163,126.287
61,194.053,204.723,100.159,126.093
62,194.182,204.795,100.192,125.964
63,193.625,205.666,99.974,125.962
64,192.852,204.974,100.130,126.018
65,193.846,204.747,100.040,126.314
66,193.915,204.726,99.855,126.472
67,194.232,205.002,100.122,126.041
68,194.738,205.746,100.002,126.247
69,193.612,205.905,100.039,126.365
70,193.314,206.794,100.120,126.566
71,193.258,207.234,99.971,126.543
72,193.815,206.429,99.971,126.793
73,194.300,205.439,100.077,126.401
74,194.543,205.278,99.957,126.839
75,194.609,206.037,100.129,126.330
76,195.584,205.943,99.997,125.799
77,194.711,204.831,100.006,126.064
78,193.994,206.206,100.001,125.744
79,194.207,206.086,99.985,125.069
80,194.748,206.537,100.044,126.070
81,194.169,204.836,99.938,125.872
82,194.339,205.920,100.009,126.143
83,194.652,207.157,99.971,126.033
84,194.512,205.892,99.926,125.882
85,193.923,206.542,99.962,125.623
86,194.845,206.511,100.103,125.822
87,193.750,205.993,99.919,126.427
88,195.104,204.839,100.213,126.347
89,193.929,205.044,99.967,126.171
90,195.122,205.764,99.925,125.535
91,194.368,206.426,99.969,126.390
92,195.463,206.730,99.841,126.268
93,193.594,206.750,100.034,125.950
94,194.272,206.901,99.916,125.984
95,195.078,205.481,99.945,126.261
96,195.170,205.901,99.910,126.104
97,193.808,206.055,100.018,125.968
98,194.190,206.845,99.985,125.947
99,194.448,206.076,100.065,126.276
100,194.276,206.040,100.005,126.760
101,194.493,206.175,100.006,126.211
102,194.128,207.117,100.058,125.958
103,194.457,207.129,100.071,125.710
104,195.091,206.388,99.871,125.385
105,194.022,208.071,100.001,125.462
106,194.548,207.065,99.897,125.874
107,193.804,207.168,100.108,125.797
108,194.628,207.140,100.090,125.654
109,194.324,206.594,99.962,124.990
110,194.500,206.101,99.950,125.718
111,195.529,205.799,100.081,126.237
112,195.291,205.072,99.897,125.725
113,194.959,205.440,99.983,125.745
114,194.816,206.070,100.109,125.642
115,194.517,206.774,100.064,125.742
116,195.410,206.556,99.939,126.029
117,195.210,206.083,99.894,126.149
118,193.787,206.308,99.935,126.484
119,193.870,206.152,100.100,126.171
120,194.808,207.035,100.045,126.119
