 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
176,192.129,177.876,109.810,217.340
177,191.668,177.261,110.029,218.034
178,190.195,178.317,110.087,217.778
179,190.193,176.876,109.945,218.259
180,191.466,177.200,109.760,216.813
181,191.655,177.936,109.883,216.445
182,190.808,177.605,109.724,216.421
183,190.890,177.058,109.986,216.411
184,190.253,177.906,110.065,217.745
185,190.386,177.039,109.782,217.516
186,190.490,177.873,109.823,215.675
187,190.549,177.445,110.062,216.189
188,191.332,177.645,109.698,217.440
189,190.603,177.309,109.832,216.803
190,190.948,177.865,109.895,216.030
191,190.447,178.211,109.633,217.147
192,191.127,178.851,109.987,216.100
193,191.049,177.976,110.321,215.991
194,190.586,178.272,109.753,216.312
195,190.367,178.165,110.083,216.242
196,189.916,178.191,109.944,216.789
197,190.272,179.006,110.037,217.229
198,190.150,178.708,109.818,216.465
199,189.910,178.806,110.167,217.092
200,189.695,178.390,109.869,217.058
201,189.725,178.313,110.194,216.586
202,190.359,177.374,110.084,216.291
203,189.712,177.064,110.256,216.429
204,190.681,176.559,110.125,216.015
205,190.160,177.129,110.128,216.679
206,189.255,177.343,109.700,217.070
207,190.044,175.996,109.854,216.080
