 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,267.858,286.084,100.618,141.725
2,268.241,279.841,100.482,140.826
3,265.413,280.459,100.569,140.554
4,143.142,160.487,100.500,140.018
5,167.991,179.731,100.513,139.898
6,184.282,195.228,100.535,139.440
7,195.026,204.136,100.612,139.252
8,203.087,213.853,100.515,139.600
9,209.504,220.171,100.711,139.504
10,213.406,226.925,100.559,139.016
11,216.611,231.718,100.541,138.182
12,220.725,236.560,100.474,138.363
13,223.139,240.293,100.507,138.924
14,223.982,241.353,100.641,138.013
15,224.352,241.965,100.512,137.900
16,226.584,245.353,100.390,137.530
17,227.428,248.220,100.394,137.864
18,229.066,247.232,100.415,138.306
19,232.359,248.458,100.387,138.796
20,233.705,248.175,100.394,139.620
21,235.330,249.151,100.418,138.703
22,237.798,251.776,100.552,138.833
23,236.699,252.386,100.316,139.386
24,236.218,253.571,100.562,139.316
25,237.860,254.995,100.541,139.356
26,237.603,254.098,100.470,139.678
27,240.234,255.400,100.349,139.539
28,238.961,255.941,100.494,139.857
29,241.609,255.207,100.411,139.949
30,243.278,255.359,100.289,139.885
31,242.218,255.548,100.289,140.199
32,242.663,256.622,100.557,139.686
33,242.277,256.155,100.457,139.974
34,243.325,257.257,100.419,140.546
35,242.762,257.227,100.660,140.085
36,241.731,258.700,100.497,139.429
37,242.248,259.116,100.445,139.912
38,242.456,260.217,100.394,139.107
39,242.685,258.818,100.239,139.764
40,243.105,259.293,100.501,140.024
41,243.149,258.726,100.530,139.066
42,246.175,258.347,100.515,139.097
43,246.554,259.068,100.398,138.404
44,247.412,257.461,100.284,139.595
45,246.326,259.561,100.401,139.036
46,245.922,260.557,100.346,139.342
47,246.838,261.003,100.360,139.125
48,244.281,260.421,100.363,138.441
49,245.052,259.915,100.530,138.752
50,244.968,260.447,100.417,138.957
51,245.210,260.850,100.431,139.062
52,246.402,261.111,100.283,138.689
53,245.877,260.186,100.370,139.191
54,247.282,260.676,100.356,139.526
55,248.193,261.263,100.440,138.984
56,248.610,259.680,100.406,139.896
57,248.298,260.682,100.456,138.899
58,248.287,260.535,100.484,139.013
59,248.991,259.270,100.347,139.798
60,249.532,259.321,100.479,139.447
61,248.831,259.670,100.270,139.563
62,248.501,258.672,100.424,139.368
63,248.911,259.122,100.400,139.340
64,248.568,259.595,100.465,139.091
65,249.888,261.158,100.454,139.077
66,250.403,259.601,100.457,139.697
67,249.489,258.496,100.447,139.321
68,250.029,258.362,100.406,139.244
69,250.048,258.487,100.419,138.586
70,248.978,257.989,100.296,138.913
71,250.251,258.243,100.342,139.066
72,248.241,257.700,100.317,140.220
73,249.903,259.710,100.363,139.514
74,250.086,257.620,100.405,139.845
75,252.154,257.325,100.438,138.984
76,248.823,259.349,100.486,139.347
77,249.413,258.400,100.372,139.472
78,249.622,258.678,100.306,139.097
79,252.116,256.683,100.423,139.172
80,251.100,258.841,100.216,139.086
81,250.193,259.355,100.394,138.980
82,251.603,259.007,100.331,139.239
83,249.302,260.909,100.320,139.258
84,251.156,261.172,100.490,138.810
85,251.598,259.724,100.376,138.838
86,250.396,260.664,100.339,138.862
87,249.800,259.937,100.389,139.280
88,251.223,259.994,100.364,138.539
89,250.215,259.995,100.417,139.120
90,250.360,261.313,100.360,139.019
91,250.935,260.283,100.405,139.635
92,250.973,259.404,100.394,138.869
93,250.388,259.622,100.278,139.222
94,250.532,261.178,100.272,139.355
95,251.288,260.659,100.309,138.503
96,251.052,259.826,100.335,138.673
97,250.239,261.972,100.344,138.550
98,250.107,261.105,100.382,138.524
99,250.870,259.311,100.272,139.022
100,251.026,260.637,100.206,138.687
101,250.924,259.983,100.376,139.075
102,250.220,259.787,100.310,138.748
103,252.216,259.527,100.308,138.876
104,251.908,258.520,100.321,139.362
105,253.438,258.633,100.268,139.285
106,251.757,257.806,100.263,139.932
107,252.693,258.005,100.445,138.744
108,254.208,258.601,100.210,139.806
109,253.008,258.591,100.228,138.982
110,253.638,258.090,100.446,139.833
111,253.938,257.118,100.404,139.242
112,253.818,256.873,100.511,139.561
113,255.493,256.684,100.342,139.495
114,255.002,255.148,100.361,139.647
115,254.963,257.050,100.419,139.476
116,253.961,257.397,100.378,139.455
117,254.582,255.728,100.273,139.389
118,255.931,255.375,100.106,138.872
119,254.889,256.859,100.413,139.663
120,255.594,257.142,100.308,139.129
121,253.575,258.173,100.331,139.571
122,254.708,256.785,100.433,139.368
123,255.312,257.063,100.307,139.641
124,253.027,257.712,100.329,139.449
125,251.354,258.052,100.492,138.985
126,252.283,256.516,100.473,139.589
127,253.840,254.952,100.406,138.657
128,255.322,255.215,100.344,139.209
129,255.718,254.442,100.472,139.347
130,254.775,255.721,100.434,139.559
131,254.804,256.340,100.286,138.938
132,254.529,257.224,100.282,138.612
133,254.213,258.460,100.378,138.634
134,253.553,258.496,100.359,138.888
135,251.198,258.219,100.370,139.094
136,251.498,259.947,100.446,138.642
137,250.524,258.202,100.272,138.865
138,250.550,260.096,100.452,138.697
139,250.928,259.623,100.349,138.640
140,251.512,259.067,100.388,138.971
141,252.358,259.686,100.312,138.874
142,252.732,259.057,100.441,138.620
143,250.862,260.458,100.361,138.473
144,251.128,261.886,100.229,138.731
145,250.439,260.065,100.372,137.579
146,250.516,260.472,100.192,138.358
147,251.874,260.668,100.261,137.829
148,251.956,258.846,100.309,138.455
149,253.829,260.216,100.344,138.200
150,251.755,260.238,100.147,138.378
151,252.505,261.641,100.293,138.343
152,250.530,262.143,100.511,137.915
153,249.431,261.039,100.394,138.106
154,249.451,261.935,100.229,137.874
155,247.714,262.648,100.418,137.983
156,249.272,262.722,100.291,138.085
157,251.539,262.998,100.289,138.100
158,250.993,261.912,100.412,137.462
159,252.150,261.820,100.275,138.665
160,253.006,262.565,100.380,138.241
161,253.715,261.106,100.460,138.915
162,252.836,258.477,100.200,139.403
163,250.551,259.583,100.253,137.870
164,251.203,261.359,100.350,138.028
165,251.807,261.237,100.334,137.908
166,251.900,261.356,100.126,139.014
167,250.904,261.717,100.337,138.636
168,251.395,261.346,100.229,138.812
169,250.962,262.780,100.420,138.747
170,251.474,259.101,100.445,138.192
171,252.844,258.431,100.418,138.467
172,252.000,258.927,100.371,138.920
173,251.893,257.672,100.437,139.183
174,251.474,258.871,100.381,139.504
175,251.507,257.246,100.274,139.258
176,250.717,258.390,100.347,138.909
177,251.665,258.759,100.447,137.586
178,252.766,257.806,100.261,138.458
179,252.064,257.536,100.415,138.686
180,253.128,257.523,100.211,138.973
181,251.754,258.319,100.312,138.455
182,251.322,257.859,100.247,138.770
183,251.013,257.353,100.324,138.326
184,252.521,258.057,100.336,139.080
185,253.895,258.606,100.345,139.176
186,254.166,258.363,100.368,138.400
187,253.321,255.065,100.372,138.900
188,254.012,254.947,100.189,139.218
189,255.293,254.603,100.390,138.690
190,252.939,256.098,100.320,138.818
191,253.676,255.237,100.285,139.046
192,253.353,255.723,100.406,139.292
193,253.236,255.418,100.310,139.212
194,254.635,256.834,100.301,138.263
195,254.535,257.532,100.396,138.606
196,254.219,256.232,100.296,137.638
197,253.266,256.332,100.188,138.454
198,252.315,256.854,100.218,138.239
199,251.803,256.730,100.334,138.344
200,253.100,255.156,100.590,138.721
201,252.725,255.398,100.290,137.729
202,253.095,255.505,100.300,138.069
203,253.205,256.105,100.234,138.335
204,252.577,255.936,100.319,138.980
205,251.018,257.582,100.226,138.447
206,252.351,258.691,100.295,138.237
207,251.900,258.668,100.317,137.844
