Time,004_Cond1_cell1,004_Cond1_cell2,004_Cond1_cell3,004_Cond1_cell4,004_Cond1_cell5,005_Cond1_cell1,005_Cond1_cell2,005_Cond1_cell3,005_Cond1_cell4
21.0002,1.103139199,1.186967082,1.210065415,1.123647492,1.038488138,1.319104983,1.212388689,1.294354029,1.197717108
21.5004,1.095379713,1.181700224,1.205683766,1.121811359,1.034425055,1.318366873,1.209846473,1.29380106,1.196791491
21.9994,1.103286717,1.187107702,1.215127829,1.124244963,1.03957492,1.320098415,1.210769624,1.293990433,1.199684044
22.4995,1.10196495,1.18731224,1.210158247,1.123829648,1.038167043,1.322651626,1.213853896,1.296645444,1.201917985
23.0005,1.102289491,1.18787472,1.214471819,1.12680972,1.040173885,1.319680616,1.20911742,1.294425991,1.197895112
23.5004,1.102614032,1.19096836,1.215319681,1.128026522,1.042026354,1.320906158,1.20689949,1.29121801,1.197134148
23.9995,1.101044433,1.192924257,1.217974663,1.12960035,1.04471861,1.320242323,1.206856883,1.294020733,1.19506041
24.5005,1.103115596,1.187209971,1.213141234,1.127764217,1.040031862,1.322210617,1.207346863,1.29302463,1.200178003
24.9996,1.10149289,1.193218281,1.216124221,1.128536559,1.042687069,1.319606341,1.203519336,1.289703025,1.204151926
25.4994,1.111394347,1.198446788,1.225475452,1.131720646,1.044397515,1.322229186,1.202608021,1.293157191,1.202331843
26.0003,1.102861863,1.193416427,1.218513086,1.130926445,1.039920714,1.320562635,1.205112364,1.292623159,1.200809915
26.4994,1.105717826,1.191697028,1.221545583,1.130547561,1.044502488,1.321384305,1.201029195,1.290195395,1.195376366
26.9994,1.106685549,1.193186322,1.224658535,1.129804364,1.044823583,1.32325047,1.202532275,1.292301224,1.193213626
27.5003,1.106201688,1.191716203,1.22131041,1.133476629,1.045317575,1.324476011,1.202579616,1.292331524,1.196911644
27.9994,1.108461675,1.198152764,1.230723529,1.135247186,1.047552888,1.321857809,1.200288307,1.289824224,1.196809292
28.5003,1.109358589,1.194509428,1.227294951,1.132871871,1.045644845,1.32449458,1.199078742,1.289998447,1.196671339
28.9994,1.107552959,1.19409396,1.222560542,1.133855514,1.04590419,1.329902746,1.199535584,1.289646213,1.204547983
29.5,1.107423143,1.193921381,1.226719395,1.134197967,1.047065071,1.327131351,1.196761396,1.287642645,1.200907817
30.0008,1.108160736,1.193084052,1.223377459,1.133163321,1.045397849,1.329665994,1.199334384,1.288737222,1.204743787
