PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
4,4,30,6,35,NORM. DIFFUSION,3.392E-2,3.475,6.917,1.893,0.983,0.022,0.189,0.353,2.180,0.653,0.781,0.092,0.036,0.023,0.546,0.717,0.562
6,6,19,3,21,NORM. DIFFUSION,5.663E-2,0.366,6.735,1.989,0.982,0.026,0.190,0.514,1.242,0.632,-0.160,0.095,0.159,0.064,0.518,0.764,0.556
7,8,16,7,22,NORM. DIFFUSION,1.122E-2,4.097,7.285,1.923,0.694,0.002,0.055,0.101,2.344,0.306,-0.109,0.351,0.361,0.045,0.237,0.305,0.546
14,22,11,0,10,NORM. DIFFUSION,2.147E-2,6.364,2.218,1.969,0.294,0.008,0.102,0.096,3.260,0.959,-0.167,0.064,2.200,0.028,0.699,0.624,0.772
18,29,13,0,12,NORM. DIFFUSION,7.886E-2,4.360,4.240,1.531,0.695,0.047,0.286,0.569,1.628,0.860,-0.066,0.459,0.018,0.054,0.940,0.965,0.484
19,30,12,0,11,NORM. DIFFUSION,9.499E-3,7.413,4.470,1.418,0.933,0.012,0.156,0.062,1.530,1.471,0.048,0.393,-0.109,0.006,0.979,0.996,0.759
20,31,15,0,14,NORM. DIFFUSION,1.452E-1,2.304,5.949,1.839,0.980,0.015,0.142,0.291,2.421,1.132,0.022,0.207,-0.124,0.021,0.588,0.810,0.734
21,35,23,8,30,NORM. DIFFUSION,3.217E-2,4.892,0.163,1.682,0.913,0.038,0.256,0.496,2.239,0.611,0.318,0.191,0.201,0.026,0.506,0.768,0.620
23,44,15,8,22,NORM. DIFFUSION,5.554E-2,3.760,2.787,1.779,0.992,0.018,0.178,0.418,3.328,0.541,0.743,0.282,0.127,0.046,0.182,0.227,0.524
25,49,29,4,32,NORM. DIFFUSION,1.964E-2,4.510,2.985,1.891,0.993,0.009,0.118,0.142,1.823,0.794,0.543,0.069,0.053,0.025,0.861,0.915,0.641
