PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
3,2,20,4,23,SUBDIFFUSION,2.071E-3,2.534,6.476,2.688,0.943,0.002,0.056,0.072,1.990,9.496E-12,0.054,0.111,0.518,0.031,-0.048,-0.048,0.614
12,16,32,0,31,SUBDIFFUSION,1.618E-3,2.201,1.516,2.852,0.649,0.003,0.063,0.069,1.938,0.011,0.172,0.011,0.465,0.033,-0.023,-0.023,0.626
12,18,32,50,81,SUBDIFFUSION,1.14E-3,2.085,1.446,2.973,0.707,0.005,0.087,0.079,2.197,4.407E-11,0.162,0.020,0.192,0.031,-0.024,-0.024,0.614
15,24,16,0,15,SUBDIFFUSION,1.055E-2,4.658,2.778,2.385,-0.165,0.005,0.083,0.203,2.371,0.155,0.208,0.118,0.161,0.083,0.005,0.005,0.641
27,52,13,24,36,SUBDIFFUSION,2.069E-3,3.477,3.440,2.625,-0.227,0.002,0.050,0.080,2.592,6.432E-13,0.469,0.083,2.467,0.059,-0.087,-0.087,0.621
30,54,47,3,49,SUBDIFFUSION,2.073E-3,0.498,5.040,2.737,0.927,5.750E-4,0.028,0.021,2.293,0.407,-0.048,0.020,0.357,0.021,0.644,0.644,0.635
32,62,14,10,23,SUBDIFFUSION,5.25E-3,1.057,0.009,2.197,0.978,0.008,0.117,0.105,1.897,0.533,0.444,0.105,1.185,0.027,0.749,0.749,0.553
35,69,13,10,22,SUBDIFFUSION,5.295E-4,5.218,7.803,2.233,-0.227,0.004,0.085,0.057,2.266,6.226E-12,0.905,0.365,0.675,0.024,-0.087,-0.087,0.624
41,74,13,21,33,SUBDIFFUSION,2.698E-3,0.597,3.065,2.745,0.093,0.003,0.069,0.080,1.791,0.143,0.169,0.080,0.443,0.034,0.282,0.282,0.609
43,77,15,14,28,SUBDIFFUSION,1.761E-3,2.717,2.989,1.835,-0.227,0.017,0.146,0.194,2.286,8.535E-11,-0.198,0.397,1.629,0.036,-0.071,-0.071,0.606
49,96,16,20,35,SUBDIFFUSION,2.79E-3,2.852,2.158,2.385,-0.227,0.007,0.103,0.163,2.445,9.173E-11,0.583,0.274,0.240,0.052,-0.065,-0.065,0.603
54,99,11,10,20,SUBDIFFUSION,1.007E-3,1.120,7.065,3.151,-0.227,0.023,0.186,0.192,1.584,2.365E-11,-0.010,0.033,1.400,0.039,-0.125,-0.125,0.574
68,112,14,30,43,SUBDIFFUSION,2.094E-3,1.400,5.620,3.114,0.823,0.002,0.055,0.074,2.015,2.446E-11,0.050,0.113,5.031,0.040,-0.083,-0.083,0.565
82,120,17,32,48,SUBDIFFUSION,6.054E-3,7.478,3.308,2.267,0.936,0.005,0.078,0.134,1.764,0.233,-0.091,0.166,0.252,0.042,0.184,0.184,0.655
85,126,21,32,52,SUBDIFFUSION,1.1E-3,5.162,6.210,2.143,-0.227,6.184E-4,0.033,0.034,3.598,5.144E-12,1.035,0.005,0.827,0.036,-0.042,-0.042,0.562
87,129,18,34,51,SUBDIFFUSION,1.383E-3,5.271,0.431,2.930,-0.227,6.105E-4,0.031,0.040,2.903,1.065E-12,0.028,0.005,0.565,0.050,-0.054,-0.054,0.590
93,140,16,41,56,SUBDIFFUSION,2.722E-3,7.240,0.112,2.252,-0.227,0.010,0.132,0.163,1.754,0.073,0.098,0.177,1.345,0.041,-0.040,-0.040,0.572
96,150,10,61,70,SUBDIFFUSION,3.585E-2,3.004,2.048,1.922,0.983,0.014,0.152,0.385,3.226,0.490,0.892,0.024,0.856,0.079,0.439,0.439,0.503
105,162,12,46,57,SUBDIFFUSION,6.162E-3,7.837,0.187,2.160,-0.227,0.016,0.164,0.315,2.196,0.108,0.040,0.290,0.055,0.054,-0.020,-0.020,0.587
115,168,15,70,84,SUBDIFFUSION,8.876E-4,0.488,5.053,2.546,0.595,0.002,0.049,0.049,2.274,6.005E-12,-0.002,0.208,4.800,0.030,-0.071,-0.071,0.606
118,176,18,69,86,SUBDIFFUSION,1.553E-2,3.778,3.436,2.235,0.673,0.010,0.118,0.165,2.174,0.694,0.349,0.087,0.130,0.035,0.857,0.857,0.573
121,179,11,58,68,SUBDIFFUSION,8.435E-4,3.767,7.458,2.169,-0.227,0.017,0.160,0.136,1.722,1.382E-11,-0.036,0.014,0.167,0.026,-0.125,-0.125,0.744
124,183,13,62,74,SUBDIFFUSION,1.881E-3,2.102,6.280,2.680,-0.055,0.009,0.111,0.127,1.731,0.070,-0.064,0.015,2.300,0.034,-0.073,-0.073,0.644
133,188,13,72,84,SUBDIFFUSION,2.452E-2,4.511,2.898,2.403,0.986,0.015,0.151,0.380,1.244,0.391,0.226,0.196,1.020,0.074,0.548,0.548,0.594
142,204,40,84,123,SUBDIFFUSION,1.038E-3,5.247,7.760,2.906,-0.227,0.001,0.040,0.035,2.900,0.085,-0.020,0.081,2.056,0.032,0.015,0.015,0.675
