"dataid","filename","dee","alpha"
"op01_1","track_3D_0000.tif",0.0243376966147416,0.920574639111337
"op01_2","track_3D_0001.tif",0.0301271582556958,0.918826601050223
"op01_3","track_3D_0002.tif",0.0310324377339582,0.936519561500466
"op01_4","track_3D_0003.tif",0.0318556924962718,0.946961838478534
"op01_5","track_3D_0004.tif",0.0347787550445896,0.949554229514801
"op01_6","track_3D_0005.tif",0.0387617751331886,0.960830672464599
"op01_7","track_3D_0006.tif",0.0674641313281219,0.970730193389021
"op01_8","track_3D_0007.tif",0.0847853992600988,0.935761277281094
"op01_9","track_3D_0008.tif",0.0917886793442366,0.962662807137694
"op01_10","track_3D_0009.tif",0.0948376083636729,0.950791013454144
"op01_11","track_3D_0010.tif",0.10946734725082,0.956428057279794
"op01_12","track_3D_0011.tif",0.136534108562095,0.963275337521222
"op01_13","track_3D_0012.tif",0.117089777155114,0.981269279271232
"op01_14","track_3D_0013.tif",0.14324911288511,0.957224436719168
"op01_15","track_3D_0014.tif",0.155843527898777,0.954582459624457
"op01_16","track_3D_0015.tif",0.165368940884158,0.960505248633469
"op01_17","track_3D_0016.tif",0.186015269526801,0.963727918926729
"op01_18","track_3D_0017.tif",0.242268304083779,0.967852620631289
"op01_19","track_3D_0018.tif",0.280751323628372,0.946739438687265
"op01_20","track_3D_0019.tif",0.31659591191009,0.965528041064589
"op01_21","track_3D_0020.tif",0.342580823335023,0.96883638073814
"op01_22","track_3D_0021.tif",0.373601368988576,0.973194781957471
"op01_23","track_3D_0022.tif",0.420115756319076,0.974961335657757
"op01_24","track_3D_0023.tif",0.549995781832905,0.97563665638424
"op01_25","track_3D_0024.tif",0.545848160524119,0.961249569908197
"op01_26","track_3D_0025.tif",0.636269358722834,0.973684877722592
"op01_27","track_3D_0026.tif",0.717291988473837,0.976846942227474
"op01_28","track_3D_0027.tif",0.760497924854944,0.97253325624906
"op01_29","track_3D_0028.tif",0.843848432163932,0.967310317736974
"op01_30","track_3D_0029.tif",0.984666181404327,0.972542700873793
"op01_31","track_3D_0030.tif",0.837279490597909,0.986257041077965
"op01_32","track_3D_0031.tif",1.01748662438308,0.974506797651588
"op01_33","track_3D_0032.tif",1.13803463268828,0.977834593951994
"op01_34","track_3D_0033.tif",1.19340835049137,0.976819848875549
"op01_35","track_3D_0034.tif",1.25043025150291,0.970673672153403
"op01_36","track_3D_0035.tif",1.30221243585064,0.964187422242292
"op01_37","track_3D_0036.tif",1.1560225841107,0.971994029444089
"op01_38","track_3D_0037.tif",1.41916476697198,0.974668567950803
"op01_39","track_3D_0038.tif",1.56035947246903,0.973430540113193
"op01_40","track_3D_0039.tif",1.55505110259884,0.9672325920959
"op01_41","track_3D_0040.tif",1.60854062104899,0.956748515540668
"op01_42","track_3D_0041.tif",1.56442483381275,0.962395459121639
"op01_43","track_3D_0042.tif",1.78355349824084,0.994574095533361
"op01_44","track_3D_0043.tif",2.33998917652506,0.976372855340053
"op01_45","track_3D_0044.tif",2.31887524500082,0.972132113052552
"op01_46","track_3D_0045.tif",2.30345428420865,0.961551175299754
"op01_47","track_3D_0046.tif",2.17867008958121,0.95474377626945
"op01_48","track_3D_0047.tif",1.87434608628681,0.932104044584532
"op01_49","track_3D_0048.tif",2.67664252382011,0.990745079231326
"op01_50","track_3D_0049.tif",3.17565657426745,0.971072738589461
