PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
2,3,12,38,49,SUBDIFFUSION,2.374E-2,4.033,0.600,2.157,0.945,0.009,0.134,0.276,1.640,0.423,0.428,0.261,1.029,0.074,0.633,0.633,0.612
8,10,22,0,21,SUBDIFFUSION,7.082E-3,5.200,0.985,2.336,-0.227,0.010,0.122,0.305,2.815,6.794E-11,0.186,0.051,1.990,0.073,-0.039,-0.039,0.678
10,15,22,12,33,SUBDIFFUSION,2.499E-3,6.782,1.158,2.668,0.425,0.010,0.123,0.134,1.389,0.154,0.274,0.175,0.351,0.032,0.084,0.084,0.599
10,17,13,55,67,SUBDIFFUSION,4.116E-3,6.797,1.215,2.406,-0.227,0.009,0.111,0.170,2.048,0.202,-0.224,0.308,0.030,0.042,0.242,0.242,0.621
13,21,18,3,20,SUBDIFFUSION,1.616E-3,7.242,1.544,2.248,0.930,0.003,0.066,0.040,2.266,0.453,-0.027,0.081,0.219,0.016,0.708,0.708,0.614
15,30,62,17,78,SUBDIFFUSION,2.987E154,3.813,1.645,3.249,0.877,0.000,0.000,0.000,2.730,5.335E153,0.064,0.055,0.727,0.021,0.000,0.000,0.620
15,33,29,108,136,SUBDIFFUSION,2.987E154,3.799,1.637,2.983,0.847,0.003,0.069,0.034,2.992,5.335E153,-0.222,0.002,Infinity,0.014,0.000,0.000,0.568
15,40,26,228,253,SUBDIFFUSION,3.924E-4,3.835,1.628,2.884,0.917,0.003,0.077,0.038,2.660,1.206E-11,0.042,0.002,0.600,0.014,-0.031,-0.031,0.569
15,42,36,264,299,SUBDIFFUSION,2.987E154,3.869,1.541,3.119,-0.227,8.681E-4,0.035,0.027,3.790,5.335E153,0.117,0.002,0.714,0.023,0.000,0.000,0.593
18,47,13,0,12,SUBDIFFUSION,3.226E-3,6.354,1.778,1.829,0.569,0.077,0.324,0.289,3.073,0.459,-0.266,0.222,0.883,0.021,0.803,0.803,0.674
