PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) CONF. RADIUS,(FIT) A [CONF. SHAPE],(FIT) B (CONF SHAPE),(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
15,29,14,3,16,CONFINED,1.603,1.000,0.007,1.989E-1,3.806,1.629,4.385,-0.227,0.000,0.000,0.000,1.644,2.161E-10,-0.278,0.065,1.646,0.022,0.149,-0.083,0.732
15,32,12,96,107,CONFINED,0.042,0.011,0.016,7.799E-12,3.830,1.623,8.309,-0.227,0.000,0.000,0.000,1.143,8.116E-12,-0.476,0.013,2.345,0.025,-0.267,-0.105,0.820
20,55,12,21,32,CONFINED,0.047,4689.343,142.212,6.594E-4,2.780,2.020,5.738,0.999,0.000,0.000,0.000,0.840,4.231E-13,-0.389,-0.000,0.891,0.017,0.185,-0.105,0.709
37,106,14,28,41,CONFINED,0.043,0.012,0.012,1.499E-11,4.780,4.991,3.136,-0.227,0.009,0.110,0.074,2.388,8.728E-11,-0.052,0.092,2.262,0.024,-0.211,-0.083,0.660
40,117,12,6,17,CONFINED,0.070,0.016,0.019,1.285E-11,3.090,5.917,4.112,0.617,0.000,0.000,0.000,1.553,7.891E-11,-0.328,0.148,5.982,0.037,-0.267,-0.105,0.742
94,246,10,35,44,CONFINED,0.042,0.009,0.010,2.277E-12,1.624,7.656,7.957,-0.227,0.017,0.146,0.107,1.350,1.382E-11,-0.500,0.032,1.133,0.030,-0.444,-0.143,0.744
127,299,16,35,50,CONFINED,0.077,1.559E-7,0.108,7.762E-4,2.915,2.948,2.425,0.989,0.005,0.081,0.091,2.302,0.190,-0.167,0.083,0.143,0.024,-0.154,0.003,0.537
138,330,15,36,50,CONFINED,0.066,0.014,0.018,2.249E-11,1.925,4.696,3.422,-0.227,0.007,0.098,0.097,2.035,0.043,-0.136,0.065,1.514,0.033,-0.167,-0.067,0.747
147,341,12,101,112,CONFINED,0.049,0.017,0.017,1.647E-11,3.693,6.340,4.108,-0.227,0.008,0.103,0.087,1.681,2.317E-11,-0.413,0.174,0.164,0.032,-0.267,-0.105,0.813
150,347,11,40,50,CONFINED,0.310,1.773,0.132,2.923E0,5.385,2.920,3.131,1.000,0.010,0.108,0.304,1.906,0.847,-0.385,1.901E-4,0.209,0.048,1.000,0.836,0.498
