PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,(FIT) Velocity,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
2,1,15,0,14,DIRECTED/ACTIVE,3.482E-2,0.458,4.563,0.051,1.424,0.954,0.009,0.170,0.154,2.631,1.187,1.934,0.424,-0.057,0.011,0.993,0.998,0.622
9,12,16,5,20,DIRECTED/ACTIVE,5.16E-2,3.584E-6,4.390,0.767,1.494,0.872,0.101,0.387,0.577,3.096,1.183,0.204,0.131,-0.078,0.041,0.745,0.933,0.615
19,52,11,8,18,DIRECTED/ACTIVE,2.448E-2,0.527,0.131,1.720,1.302,0.724,0.216,0.586,0.680,1.313,1.389,-0.116,0.372,-0.080,0.031,1.000,0.981,0.700
21,59,13,43,55,DIRECTED/ACTIVE,2.191E-2,2.517E-5,4.806,2.843,1.381,0.582,0.117,0.373,0.432,1.436,0.966,-0.391,0.486,-0.008,0.020,0.996,0.993,0.582
22,62,14,4,17,DIRECTED/ACTIVE,8.71E-2,9.937E-6,0.683,2.426,1.503,0.704,0.084,0.347,0.800,1.104,0.895,0.369,0.372,0.033,0.035,0.698,0.927,0.618
24,68,13,0,12,DIRECTED/ACTIVE,2.418E-2,1.973E-5,4.145,2.905,1.315,0.035,0.194,0.516,0.692,1.662,0.791,0.101,0.607,0.014,0.024,0.636,0.837,0.551
25,74,16,57,72,DIRECTED/ACTIVE,4.24E-2,1.031E-5,2.097,2.968,1.298,0.660,0.177,0.499,0.686,1.362,1.156,-0.072,0.522,-0.054,0.029,0.946,0.982,0.610
26,77,13,0,12,DIRECTED/ACTIVE,1.119E-1,0.691,5.092,2.846,1.428,0.959,0.074,0.374,0.737,1.518,1.066,1.842,0.444,-0.012,0.049,0.943,0.887,0.552
33,93,14,0,13,DIRECTED/ACTIVE,1.276E-1,0.806,0.366,4.583,1.379,0.572,0.111,0.439,1.103,1.462,0.930,0.358,0.381,0.024,0.025,0.975,0.975,0.575
41,124,13,18,30,DIRECTED/ACTIVE,6.879E-2,0.691,3.520,5.526,1.415,0.701,0.152,0.475,0.935,1.714,1.065,-0.221,0.373,0.183,0.040,0.998,0.995,0.582
44,129,15,35,49,DIRECTED/ACTIVE,2.655E-2,0.430,1.763,6.805,1.403,0.330,0.133,0.469,0.614,1.741,1.002,-0.026,0.566,-0.064,0.030,0.915,0.890,0.692
48,142,13,2,14,DIRECTED/ACTIVE,1.662E-2,3.893E-6,3.495,6.720,1.350,0.879,0.048,0.300,0.253,1.944,0.448,0.094,0.611,-0.097,0.019,0.305,0.286,0.623
49,145,12,0,11,DIRECTED/ACTIVE,3.433E-2,0.691,3.917,6.927,1.275,0.810,0.228,0.596,0.792,2.563,1.489,0.100,0.504,-0.117,0.022,0.981,0.988,0.661
54,157,21,3,23,DIRECTED/ACTIVE,2.418E-2,0.726,1.461,7.158,1.252,0.088,0.202,0.547,0.823,2.065,1.114,0.189,0.598,-0.048,0.026,0.987,0.940,0.641
57,165,16,10,25,DIRECTED/ACTIVE,7.722E-2,0.510,7.367,7.163,1.498,0.579,0.058,0.280,0.644,1.901,0.818,-0.181,0.204,0.095,0.053,0.866,0.935,0.552
64,182,13,0,12,DIRECTED/ACTIVE,6.868E-2,1.656,6.397,5.431,1.128,0.593,0.288,0.651,1.474,2.091,1.543,0.817,0.571,-0.013,0.066,0.997,0.999,0.820
66,183,13,0,12,DIRECTED/ACTIVE,5.508E-2,1.197,6.652,3.803,1.331,0.872,0.146,0.529,0.896,1.182,1.296,0.399,0.590,-0.061,0.044,1.000,0.986,0.611
77,211,14,9,22,DIRECTED/ACTIVE,7.889E-2,1.235,0.257,4.437,1.466,0.452,0.089,0.390,0.914,1.189,0.919,0.917,0.347,-0.095,0.041,0.898,0.885,0.615
78,213,19,11,29,DIRECTED/ACTIVE,5.541E-2,0.623,0.164,7.124,1.293,0.689,0.087,0.429,0.615,1.173,1.145,0.919,0.462,-0.055,0.033,0.999,0.996,0.614
86,233,15,28,42,DIRECTED/ACTIVE,8.867E-2,7.356E-7,7.837,0.539,1.298,0.778,0.143,0.455,0.973,2.285,0.743,-0.201,0.237,0.295,0.053,0.591,0.675,0.615
