 ,Time(s)
1,0.063
2,1.063
3,2.062
4,2.337
5,3.338
6,4.338
7,5.338
8,6.338
9,7.338
10,8.338
11,9.337
12,10.337
13,11.337
14,12.338
15,13.338
16,14.337
17,15.338
18,16.338
19,17.338
20,18.337
21,19.338
22,20.337
23,21.337
24,22.337
25,23.338
26,24.337
27,25.338
28,26.338
29,27.337
30,28.338
31,29.337
32,30.337
33,31.337
34,32.338
35,33.338
36,34.337
37,35.337
38,36.337
39,37.337
40,38.337
41,39.337
42,40.337
43,41.337
44,42.338
45,43.337
46,44.337
47,45.336
48,46.337
49,47.337
50,48.336
51,49.336
52,50.337
53,51.337
54,52.338
55,53.337
56,54.337
57,55.336
58,56.337
59,57.336
60,58.336
61,59.336
62,60.336
63,61.337
64,62.338
