 ,Time(s)
1,0.043
2,1.043
3,2.043
4,2.317
5,3.318
6,4.318
7,5.318
8,6.318
9,7.318
10,8.318
11,9.318
12,10.318
13,11.318
14,12.318
15,13.318
16,14.318
17,15.318
18,16.317
19,17.318
20,18.317
21,19.317
22,20.318
23,21.317
24,22.317
25,23.317
26,24.318
27,25.318
28,26.317
29,27.318
30,28.317
31,29.317
32,30.318
33,31.318
34,32.316
35,33.318
36,34.317
37,35.317
38,36.317
39,37.317
40,38.317
41,39.316
42,40.318
43,41.317
44,42.317
45,43.318
46,44.316
47,45.317
48,46.317
49,47.317
50,48.317
51,49.317
52,50.317
53,51.317
54,52.317
55,53.317
56,54.317
57,55.317
58,56.317
59,57.316
60,58.317
61,59.317
62,60.317
63,61.317
64,62.317
