 ,Time(s)
1,0.040
2,1.041
3,2.041
4,2.313
5,3.314
6,4.315
7,5.314
8,6.314
9,7.314
10,8.314
11,9.314
12,10.313
13,11.314
14,12.314
15,13.314
16,14.314
17,15.314
18,16.315
19,17.314
20,18.314
21,19.314
22,20.314
23,21.315
24,22.314
25,23.315
26,24.314
27,25.314
28,26.315
29,27.314
30,28.313
31,29.315
32,30.314
33,31.314
34,32.314
35,33.314
36,34.314
37,35.315
38,36.314
39,37.314
40,38.314
41,39.314
42,40.315
43,41.313
44,42.314
45,43.314
46,44.313
47,45.314
48,46.314
49,47.314
50,48.314
51,49.314
52,50.313
53,51.314
54,52.314
55,53.314
56,54.315
57,55.313
58,56.313
59,57.314
60,58.314
61,59.314
62,60.313
63,61.313
64,62.313
