 ,Time(s)
1,0.025
2,1.025
3,2.026
4,2.300
5,3.301
6,4.301
7,5.301
8,6.301
9,7.301
10,8.300
11,9.301
12,10.301
13,11.301
14,12.301
15,13.301
16,14.301
17,15.300
18,16.301
19,17.301
20,18.301
21,19.300
22,20.300
23,21.301
24,22.301
25,23.300
26,24.300
27,25.300
28,26.300
29,27.300
30,28.300
31,29.300
32,30.301
33,31.300
34,32.301
35,33.301
36,34.301
37,35.300
38,36.300
39,37.300
40,38.300
41,39.300
42,40.300
43,41.299
44,42.300
45,43.300
46,44.300
47,45.300
48,46.300
49,47.300
50,48.300
51,49.300
52,50.300
53,51.301
54,52.300
55,53.300
56,54.300
57,55.300
58,56.300
59,57.301
60,58.300
61,59.301
62,60.301
63,61.299
64,62.300
