 ,Time(s)
1,0.058
2,1.059
3,2.059
4,2.332
5,3.332
6,4.333
7,5.332
8,6.333
9,7.332
10,8.333
11,9.332
12,10.332
13,11.332
14,12.333
15,13.333
16,14.332
17,15.332
18,16.333
19,17.333
20,18.333
21,19.332
22,20.332
23,21.332
24,22.332
25,23.333
26,24.332
27,25.333
28,26.333
29,27.332
30,28.332
31,29.333
32,30.333
33,31.332
34,32.332
35,33.332
36,34.332
37,35.333
38,36.333
39,37.333
40,38.332
41,39.332
42,40.332
43,41.332
44,42.332
45,43.333
46,44.332
47,45.331
48,46.332
49,47.332
50,48.332
51,49.332
52,50.332
53,51.331
54,52.332
55,53.332
56,54.332
57,55.333
58,56.332
59,57.333
60,58.332
61,59.332
62,60.332
63,61.333
64,62.331
