 ,Time(s)
1,0.036
2,1.036
3,2.036
4,2.309
5,3.310
6,4.310
7,5.310
8,6.309
9,7.311
10,8.310
11,9.310
12,10.310
13,11.310
14,12.310
15,13.310
16,14.310
17,15.310
18,16.310
19,17.310
20,18.309
21,19.310
22,20.310
23,21.310
24,22.310
25,23.310
26,24.310
27,25.310
28,26.309
29,27.309
30,28.310
31,29.310
32,30.310
33,31.310
34,32.310
35,33.309
36,34.310
37,35.310
38,36.310
39,37.310
40,38.309
41,39.309
42,40.310
43,41.310
44,42.309
45,43.310
46,44.309
47,45.309
48,46.310
49,47.310
50,48.310
51,49.310
52,50.310
53,51.309
54,52.310
55,53.310
56,54.310
57,55.309
58,56.310
59,57.309
60,58.308
61,59.310
62,60.309
63,61.309
64,62.310
