 ,Time(s)
1,0.000
2,1.000
3,2.000
4,2.292
5,2.439
6,2.586
7,2.733
8,2.880
9,3.027
10,3.174
11,3.321
12,3.468
13,3.616
14,3.763
15,3.910
16,4.057
17,4.203
18,4.350
19,4.497
20,4.644
21,4.791
22,4.938
23,5.085
24,5.232
25,5.379
26,5.526
27,5.673
28,5.819
29,5.967
30,6.114
31,6.261
32,6.408
33,6.555
34,6.702
35,6.849
36,6.996
37,7.143
38,7.290
39,7.436
40,7.583
41,7.730
42,7.877
43,8.024
44,8.171
45,8.318
46,8.465
47,8.612
48,8.759
49,8.906
50,9.053
51,9.200
52,9.347
53,9.494
54,9.641
55,9.788
56,9.935
57,10.082
58,10.229
59,10.376
60,10.523
61,10.670
62,10.817
63,10.963
64,11.110
65,11.257
66,11.405
67,11.552
68,11.699
69,11.845
70,11.992
71,12.139
72,12.286
73,12.434
74,12.581
75,12.728
76,12.875
77,13.022
78,13.169
79,13.316
80,13.463
81,13.611
82,13.758
83,13.905
84,14.052
85,14.200
86,14.347
87,14.494
88,14.640
89,14.787
90,14.934
91,15.082
92,15.228
93,15.375
94,15.522
95,15.670
96,15.817
97,15.964
98,16.111
99,16.258
100,16.405
101,16.552
102,16.699
103,16.846
104,16.993
105,17.140
106,17.287
107,17.434
108,17.581
109,17.728
110,17.875
111,18.022
112,18.169
113,18.316
114,18.463
115,18.610
116,18.757
117,18.904
118,19.051
119,19.198
120,19.345
121,19.492
122,19.639
123,19.786
124,19.933
125,20.080
126,20.227
127,20.374
128,20.520
129,20.668
130,20.814
131,20.961
132,21.108
133,21.255
134,21.402
135,21.549
136,21.697
137,21.844
138,21.991
139,22.138
140,22.285
141,22.432
142,22.579
143,22.726
144,22.873
145,23.019
146,23.167
147,23.313
148,23.460
149,23.607
150,23.755
151,23.901
152,24.048
153,24.196
154,24.342
155,24.525
156,24.672
157,24.819
158,24.966
159,25.113
160,25.260
161,25.407
162,25.554
163,25.701
164,25.848
165,25.995
166,26.142
167,26.289
168,26.436
169,26.583
170,26.730
171,26.877
172,27.024
173,27.171
174,27.318
175,27.465
176,27.612
177,27.759
178,27.906
179,28.053
180,28.200
181,28.347
182,28.494
183,28.641
184,28.788
185,28.935
186,29.082
187,29.229
188,29.376
189,29.523
190,29.670
191,29.817
192,29.964
193,30.111
194,30.258
195,30.405
196,30.552
197,30.699
198,30.846
199,30.992
200,31.139
201,31.286
202,31.433
203,31.580
204,31.727
205,31.874
206,32.021
207,32.168
