"mean","sd","n","size","t","dataid"
0.0141611604844037,0.00824275242069896,1307,1,0.0600351989269257,"SG-TPD54_1"
0.0281020435397699,0.0172111265614158,1307,2,0.120070397853851,"SG-TPD54_1"
0.0403401554903022,0.0280118368507601,1307,3,0.180105596780777,"SG-TPD54_1"
0.0523722051556816,0.0412455210149472,1307,4,0.240140795707703,"SG-TPD54_1"
0.0639269656728275,0.0545381528320176,1307,5,0.300175994634628,"SG-TPD54_1"
0.0751844169949927,0.0685284851565451,1307,6,0.360211193561554,"SG-TPD54_1"
0.0867531394596087,0.085827393959005,1307,7,0.42024639248848,"SG-TPD54_1"
0.0964606082381439,0.0949677385696329,1212,8,0.480281591415405,"SG-TPD54_1"
0.103511988957309,0.101470790704086,1127,9,0.540316790342331,"SG-TPD54_1"
0.114964508820743,0.116037817996575,1058,10,0.600351989269257,"SG-TPD54_1"
0.123055528119583,0.125776902254602,993,11,0.660387188196182,"SG-TPD54_1"
0.131108124366797,0.13874194117857,936,12,0.720422387123108,"SG-TPD54_1"
0.13792045102317,0.14776473484266,874,13,0.780457586050034,"SG-TPD54_1"
0.145606891583327,0.162121810001963,814,14,0.840492784976959,"SG-TPD54_1"
0.154375280645287,0.171000491925925,757,15,0.900527983903885,"SG-TPD54_1"
0.160042321460237,0.171080950095286,721,16,0.960563182830811,"SG-TPD54_1"
0.165878373914182,0.173731726265537,681,17,1.02059838175774,"SG-TPD54_1"
0.0154297346708116,0.00934303277687608,1068,1,0.0600351989269257,"SG-TPD54_2"
0.032506713769202,0.0230093658938021,1068,2,0.120070397853851,"SG-TPD54_2"
0.047963217224254,0.0379363961994269,1068,3,0.180105596780777,"SG-TPD54_2"
0.0629843529250695,0.0561184921298686,1068,4,0.240140795707703,"SG-TPD54_2"
0.0779951201624053,0.0771948642792833,1068,5,0.300175994634628,"SG-TPD54_2"
0.0929768163629248,0.0967969323815629,1068,6,0.360211193561554,"SG-TPD54_2"
0.106793035586248,0.116866836390063,1068,7,0.42024639248848,"SG-TPD54_2"
0.117706350703518,0.128895575642345,986,8,0.480281591415405,"SG-TPD54_2"
0.132268740210371,0.148481969631221,908,9,0.540316790342331,"SG-TPD54_2"
0.140889715990266,0.151545356287373,835,10,0.600351989269257,"SG-TPD54_2"
0.148896392786208,0.172174091310726,768,11,0.660387188196182,"SG-TPD54_2"
0.159568882305686,0.181853658294821,708,12,0.720422387123108,"SG-TPD54_2"
0.166455740204734,0.193088646504208,652,13,0.780457586050034,"SG-TPD54_2"
0.17625584564923,0.202021460975422,605,14,0.840492784976959,"SG-TPD54_2"
0.0156474844724037,0.00871227710693152,1259,1,0.0600351989269257,"SG-TPD54_3"
