"jump","dataid"
0.0241628402773015,"SG-TPD54_1"
0.0234693728634985,"SG-TPD54_1"
0.155570866665096,"SG-TPD54_1"
0.0392857149872449,"SG-TPD54_1"
0,"SG-TPD54_1"
0,"SG-TPD54_1"
0,"SG-TPD54_1"
0,"SG-TPD54_1"
0,"SG-TPD54_1"
0,"SG-TPD54_1"
0,"SG-TPD54_1"
0.039285714987245,"SG-TPD54_1"
0.0392857149872449,"SG-TPD54_1"
0,"SG-TPD54_1"
0.0392857149872449,"SG-TPD54_1"
0,"SG-TPD54_1"
0,"SG-TPD54_1"
0.117857144961735,"SG-TPD54_1"
0.0392857149872449,"SG-TPD54_1"
0.0659091518000104,"SG-TPD54_1"
0.0721228772719052,"SG-TPD54_1"
0.0945653686274288,"SG-TPD54_1"
0.0169962424400111,"SG-TPD54_1"
0.106941273459409,"SG-TPD54_1"
0.0464437855256824,"SG-TPD54_1"
0.0966593298978846,"SG-TPD54_1"
0.0622826159402682,"SG-TPD54_1"
0.11920381478569,"SG-TPD54_1"
0.169011824486905,"SG-TPD54_1"
0.0270681435103331,"SG-TPD54_1"
0.0171817254743017,"SG-TPD54_1"
0.0613126851176333,"SG-TPD54_1"
0.0186467779643836,"SG-TPD54_1"
0.0672534295961334,"SG-TPD54_1"
0.226601624528702,"SG-TPD54_1"
0.0802667219363851,"SG-TPD54_1"
0.139987674456969,"SG-TPD54_1"
0.0627244913156812,"SG-TPD54_1"
0.108099905202914,"SG-TPD54_1"
0.12578338634969,"SG-TPD54_1"
0.255567008303865,"SG-TPD54_1"
0.178738731250852,"SG-TPD54_1"
0.2409640327295,"SG-TPD54_1"
0.258207464700402,"SG-TPD54_1"
0.211090764826702,"SG-TPD54_1"
0.192081728688406,"SG-TPD54_1"
0.114495460542993,"SG-TPD54_1"
0.0384022276902975,"SG-TPD54_1"
0.0622715620012459,"SG-TPD54_1"
0.123318178175499,"SG-TPD54_1"
0.0154917847551998,"SG-TPD54_1"
0.0601546518089301,"SG-TPD54_1"
0.0953947597559402,"SG-TPD54_1"
0.113196873930841,"SG-TPD54_1"
0.0121222627776721,"SG-TPD54_1"
0.0407629432073948,"SG-TPD54_1"
0.0396095373970083,"SG-TPD54_1"
0.0487904659744753,"SG-TPD54_1"
0.0487685246514682,"SG-TPD54_1"
0.0265666012859419,"SG-TPD54_1"
0.0325362110008437,"SG-TPD54_1"
0.035258930553063,"SG-TPD54_1"
0.0242317581718911,"SG-TPD54_1"
0.0501446275371535,"SG-TPD54_1"
0.0504947050744234,"SG-TPD54_1"
0.0126104096779096,"SG-TPD54_1"
0.011756140023834,"SG-TPD54_1"
0.065356383559676,"SG-TPD54_1"
0.036954529171182,"SG-TPD54_1"
0.0307266764706082,"SG-TPD54_1"
0.0858080798633006,"SG-TPD54_1"
0.0888677504986432,"SG-TPD54_1"
0.0862910641002287,"SG-TPD54_1"
0.0116309137587016,"SG-TPD54_1"
0.0835064499787506,"SG-TPD54_1"
0.0400349355348995,"SG-TPD54_1"
0.0608572947973564,"SG-TPD54_1"
0.0592581711493313,"SG-TPD54_1"
0.0248552779210807,"SG-TPD54_1"
0.0176183545992047,"SG-TPD54_1"
0.0813675556136439,"SG-TPD54_1"
0.0985208499153407,"SG-TPD54_1"
0.058598012491954,"SG-TPD54_1"
0.12885757967407,"SG-TPD54_1"
0.0161312809320996,"SG-TPD54_1"
0.120820533768057,"SG-TPD54_1"
0.246726926131418,"SG-TPD54_1"
0.153247026409369,"SG-TPD54_1"
0.0498285495822689,"SG-TPD54_1"
0.0153378713902283,"SG-TPD54_1"
0.0866821205036704,"SG-TPD54_1"
0.0281696268714497,"SG-TPD54_1"
0.103224107866507,"SG-TPD54_1"
0.134663198351421,"SG-TPD54_1"
0.0442557132686524,"SG-TPD54_1"
0.0417020375322578,"SG-TPD54_1"
0.1389659752344,"SG-TPD54_1"
0.0848208044125341,"SG-TPD54_1"
0.104214968021879,"SG-TPD54_1"
0.0432009614733281,"SG-TPD54_1"
0.097320613234699,"SG-TPD54_1"
0.128350359411156,"SG-TPD54_1"
0.0420070793687149,"SG-TPD54_1"
0.215444624829333,"SG-TPD54_1"
0.126148352203261,"SG-TPD54_1"
0.0192665781073375,"SG-TPD54_1"
0.123474333173769,"SG-TPD54_1"
0.163119879535057,"SG-TPD54_1"
0.194067149593146,"SG-TPD54_1"
0.0164769574884554,"SG-TPD54_1"
0.0533679224727538,"SG-TPD54_1"
0.136175410844398,"SG-TPD54_1"
0.174319924874143,"SG-TPD54_1"
0.0542549200662542,"SG-TPD54_1"
0.0814869743027173,"SG-TPD54_1"
0.040515973557507,"SG-TPD54_1"
0.0937222913471846,"SG-TPD54_1"
0.118144949453262,"SG-TPD54_1"
0.0901747429780639,"SG-TPD54_1"
0.137285441402588,"SG-TPD54_1"
0.0593855413069865,"SG-TPD54_1"
