"trace","wide","fd","dataid"
"0",0.493054190567548,1.36887865029751,"SG-TPD54_1"
"1",0.15714285994898,1.32107036326529,"SG-TPD54_1"
"10",0.147973018217704,3.00524599226979,"SG-TPD54_1"
"1000",0.846454508606681,1.74286274522548,"SG-TPD54_1"
"1001",0.448529031810572,1.42863225175784,"SG-TPD54_1"
"1003",0.195851473799394,1.67025209152182,"SG-TPD54_1"
"1004",0.361637498482519,1.50872168307432,"SG-TPD54_1"
"1007",0.484820523262914,1.59998939584879,"SG-TPD54_1"
"1008",0.813128061859909,1.72975857139627,"SG-TPD54_1"
"1009",0.438380392272191,1.60717915770234,"SG-TPD54_1"
"1011",0.409763841746375,1.37535687729075,"SG-TPD54_1"
"1012",0.0792960677969342,2.56607541099038,"SG-TPD54_1"
"1013",0.413042692715673,1.87319981275286,"SG-TPD54_1"
"1015",0.591459606518624,1.80189216030054,"SG-TPD54_1"
"1016",0.545814830026166,1.25267959763127,"SG-TPD54_1"
"1017",0.272052423487176,1.31806241952885,"SG-TPD54_1"
"1019",0.362551606712683,2.28419024515531,"SG-TPD54_1"
"1020",0.667857154783164,1.13003389306764,"SG-TPD54_1"
"1021",0.283293319559551,1.52932864855473,"SG-TPD54_1"
"1022",0.516205474459113,1.57950661047151,"SG-TPD54_1"
"1023",0.899481542023977,1.71640038106106,"SG-TPD54_1"
"1024",0.374154395344031,1.65463526360699,"SG-TPD54_1"
"1026",0.304971916472448,1.83997184409342,"SG-TPD54_1"
"1032",0.551313226796432,1.32408198718864,"SG-TPD54_1"
"1033",0.702289598590742,2.0242545659735,"SG-TPD54_1"
"1035",0.196428574936225,1.75647079736603,"SG-TPD54_1"
"1036",0.175693941271308,2.67296950463959,"SG-TPD54_1"
"1037",0.831327919546635,1.73747169043726,"SG-TPD54_1"
"1038",0.312663785538863,1.45116648520485,"SG-TPD54_1"
"1039",0.374424763919219,2.17119114965173,"SG-TPD54_1"
"104",0.169311199635166,1.45461890085547,"SG-TPD54_1"
"1040",0.199702252881619,1.33604263745003,"SG-TPD54_1"
"1042",0.384673692507402,1.46306086278169,"SG-TPD54_1"
"1045",1.06090666365211,1.35396509536366,"SG-TPD54_1"
"1046",1.41411161539397,1.40651753459276,"SG-TPD54_1"
"1047",0.505480237893957,1.09367431072211,"SG-TPD54_1"
"1048",0.314059970186547,1.77701970056625,"SG-TPD54_1"
"1049",0.737236011905207,1.68822365390506,"SG-TPD54_1"
"105",0.514088087461756,1.92181608128159,"SG-TPD54_1"
"1050",1.30222015180314,1.36768061949665,"SG-TPD54_1"
"1051",0.248463064668413,1.88978732340811,"SG-TPD54_1"
"1052",0.534978609351214,1.94403402381514,"SG-TPD54_1"
"1053",0.555566247103865,1.67789746234838,"SG-TPD54_1"
"1055",0.446654621023206,1.75196870017244,"SG-TPD54_1"
"1056",0.423693768314654,1.79179552604047,"SG-TPD54_1"
"1057",0.409215688269349,1.77008629931465,"SG-TPD54_1"
"1059",1.11585626804073,1.43202419144475,"SG-TPD54_1"
"1061",0.369410601138662,1.50528687437274,"SG-TPD54_1"
"1062",0.294590583204803,1.51234257075218,"SG-TPD54_1"
"1063",0.751794264785419,1.60099553747789,"SG-TPD54_1"
"1064",0.411011943084394,1.38517893813547,"SG-TPD54_1"
"1066",0.454864523565307,2.53483397187977,"SG-TPD54_1"
"1069",0.166413684739801,2.53179726781563,"SG-TPD54_1"
"1070",0.629405935154462,1.09822447730548,"SG-TPD54_1"
"1071",0.278868622418021,2.47733086126269,"SG-TPD54_1"
"1072",0.249589123648157,1.27527421064318,"SG-TPD54_1"
"1073",0.805364629643172,1.58913710233312,"SG-TPD54_1"
"1075",0.240672703071151,1.5071335442903,"SG-TPD54_1"
"1076",0.736037605979773,1.30440969483039,"SG-TPD54_1"
"1077",0.2582281325744,1.45903680984663,"SG-TPD54_1"
"1080",0.301333039006489,1.71491572683472,"SG-TPD54_1"
"1081",0.100388062617221,1.88465122884948,"SG-TPD54_1"
"1083",0.196428574936225,1.75647079736603,"SG-TPD54_1"
"1084",0.235714289923469,2.44716852820922,"SG-TPD54_1"
"1085",0.718123151952016,1.59321834649132,"SG-TPD54_1"
"1086",0.0896941139424795,2.10333096821697,"SG-TPD54_1"
"1087",0.800639014382688,1.83667665291829,"SG-TPD54_1"
"1088",0.366052391642183,1.66284246588538,"SG-TPD54_1"
"1089",0.209915252154147,1.45925209611585,"SG-TPD54_1"
"109",0.945290950367405,1.15589754635703,"SG-TPD54_1"
"1090",0.58749051641381,1.83171722917166,"SG-TPD54_1"
"1091",0.23693565758966,2.16945122948967,"SG-TPD54_1"
"1092",0.502168620822252,2.05405591244775,"SG-TPD54_1"
"1093",0.279102750242487,2.06997741977131,"SG-TPD54_1"
