 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,1708.131,1523.949,149.130,1202.490
2,1685.249,1479.198,148.655,1178.735
3,1666.157,1470.254,146.914,1168.843
4,509.828,568.332,144.880,1134.270
5,721.542,714.882,144.856,1127.816
6,858.266,814.691,144.713,1115.476
7,964.077,894.599,144.179,1126.775
8,1040.215,956.873,144.571,1123.238
9,1095.647,997.657,145.406,1118.710
10,1140.696,1034.555,144.737,1116.742
11,1176.453,1062.026,144.553,1118.643
12,1205.138,1091.253,144.236,1118.580
13,1231.078,1115.791,144.918,1117.368
14,1249.846,1136.320,144.545,1118.451
15,1265.208,1150.399,144.629,1116.578
16,1280.202,1170.056,143.892,1116.816
17,1298.782,1183.253,143.599,1119.945
18,1310.894,1195.661,144.336,1113.347
19,1321.333,1203.404,143.709,1115.314
20,1329.489,1212.890,144.397,1116.247
21,1339.005,1215.182,144.316,1119.182
22,1343.664,1225.793,144.219,1117.079
23,1352.732,1234.424,144.377,1117.666
24,1361.307,1241.508,144.519,1118.781
25,1367.293,1249.138,144.771,1118.834
26,1371.717,1257.096,144.670,1117.911
27,1372.256,1258.936,144.723,1115.606
28,1382.845,1260.245,144.898,1116.011
29,1385.417,1262.270,144.793,1115.201
30,1388.494,1262.103,144.825,1113.374
31,1392.793,1267.608,144.662,1111.969
32,1395.961,1272.422,145.229,1112.077
33,1392.887,1276.440,144.783,1112.987
34,1399.058,1282.139,144.760,1112.949
35,1401.389,1283.732,144.519,1110.632
36,1401.780,1279.545,144.721,1110.536
37,1402.606,1285.674,144.471,1114.089
38,1401.788,1285.604,144.264,1107.511
39,1400.561,1295.104,143.903,1109.979
40,1401.983,1294.019,144.710,1108.741
41,1402.175,1293.316,144.606,1106.973
42,1400.109,1289.814,144.274,1104.239
43,1401.274,1292.956,143.953,1108.042
44,1405.313,1294.612,144.178,1108.373
45,1401.185,1294.703,143.868,1107.896
46,1403.081,1293.796,144.411,1107.569
47,1403.319,1293.558,143.906,1107.358
48,1409.378,1290.834,143.039,1102.895
49,1412.079,1296.622,144.471,1107.276
50,1411.268,1297.593,144.661,1104.084
51,1412.555,1296.334,143.317,1104.073
52,1411.693,1300.168,143.677,1106.695
53,1415.285,1304.512,144.281,1104.549
54,1415.267,1294.559,143.357,1106.823
55,1411.806,1298.774,143.875,1107.730
56,1412.732,1300.829,143.998,1108.939
57,1411.406,1300.372,143.839,1103.933
58,1417.005,1304.220,144.466,1105.896
