 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
171,1208.951,1093.855,103.008,924.824
172,1209.485,1094.468,102.842,924.810
173,1205.634,1087.713,102.934,923.925
174,1205.616,1084.973,102.924,920.673
175,1207.854,1092.551,102.785,922.560
176,1208.672,1092.808,102.966,923.967
177,1213.750,1098.889,102.971,925.314
178,1214.325,1109.462,102.867,928.538
179,1217.053,1112.239,103.052,927.777
180,1214.011,1111.091,102.811,929.461
181,1219.913,1117.951,102.969,929.818
182,1221.735,1112.073,102.930,926.277
183,1219.335,1109.456,102.886,925.369
184,1213.009,1100.370,102.899,922.243
185,1212.425,1108.189,102.956,923.992
186,1208.724,1096.032,103.010,921.732
187,1201.453,1080.121,102.935,914.801
188,1205.989,1080.951,102.903,916.567
189,1205.647,1083.784,102.947,920.824
190,1205.270,1084.680,102.858,920.792
191,1205.796,1084.746,102.962,918.958
192,1205.303,1091.838,102.902,918.757
193,1213.430,1098.707,102.803,922.300
194,1212.430,1100.417,102.783,924.054
195,1212.276,1098.666,102.978,922.053
196,1208.991,1090.253,102.822,918.110
197,1204.070,1085.168,102.850,916.460
198,1205.208,1085.206,102.917,913.042
199,1206.028,1093.958,103.042,917.755
200,1202.348,1090.594,102.813,917.794
201,1198.364,1077.370,102.990,912.685
202,1196.558,1082.229,102.942,913.381
203,1203.428,1089.493,102.900,915.837
204,1207.330,1092.622,102.962,918.227
205,1209.020,1095.153,103.091,916.004
206,1203.925,1091.552,102.924,916.091
207,1208.036,1086.371,102.663,914.155
